token,token_id,n_occurrences,n_people,pct_people
LAB_socio13_133,1494,14572558,1709030,0.189289
LAB_db07_889150.0,5427,14510381,366857,0.040632
LAB_tilstand_kode_90003,6129,14464637,415331,0.046001
HEA_speciale_501425,25912,14446206,1517811,0.16811
LAB_db07_782000.0,5519,14304454,649822,0.071973
HEA_atc_C09AA02,9045,14276113,669359,0.074137
HEA_speciale_807109,25900,14251727,4153631,0.460048
HEA_atc_C10AA05,9803,14203352,862343,0.095512
HEA_speciale_800131,29843,13998426,284162,0.031473
LAB_bredt_loen_beloeb_Q6,6195,13872276,3020455,0.33454
EDU_afg_art_21,35874,13675164,3885851,0.43039
EDU_tilg_art_21,35764,13675164,3885851,0.43039
LAB_gron_check_Q10,7816,13591412,3440007,0.381009
HEA_speciale_807156,26060,13548032,3340130,0.369947
HEA_speciale_501509,29097,13443379,3121222,0.345701
HEA_atc_N05CF01,8885,13291285,1034568,0.114587
LAB_tilstand_kode_50000,6125,13138933,1192996,0.132134
LAB_tilstand_kode_90001,6128,13110406,1131966,0.125374
LAB_soc_status_kode_351,5364,13105646,158933,0.017603
LAB_db07_561010.0,5438,13104026,551495,0.061083
LAB_soc_status_kode_611,5328,12875756,927518,0.10273
EDU_dageaktiv_15,39918,12849298,1302091,0.144217
LAB_fravaer_besk_kode_nullified_3,5368,12795124,927371,0.102714
LAB_gron_check_Q9,7815,12733519,3691257,0.408837
LAB_socio_gl_89,1501,12712426,2889889,0.320079
HEA_speciale_807105,25944,12471094,2984341,0.33054
HEA_speciale_501116,29444,12414388,2607452,0.288797
DEM_unknown,621,12411838,6220495,0.68897
HEA_speciale_501150,25929,12362542,3607157,0.399522
HEA_atc_R03AC02,8849,12301548,1238381,0.137161
EDU_course_Matematik,32016,12228309,1407245,0.155864
LAB_bredt_loen_beloeb_Q7,6211,12224074,2913035,0.322642
EDU_dagesyg_1,39989,12117728,1288650,0.142728
HEA_speciale_210102,26076,12004261,2763513,0.306082
LAB_branche_77_91050,4712,11966485,1592663,0.1764
LAB_db07_812100.0,5391,11961288,306395,0.033936
HEA_DW_manual_bin_9,10520,11885592,1726652,0.191241
LAB_socio13_132,1488,11836295,1311235,0.14523
HEA_speciale_800411,26011,11821072,1748197,0.193627
EDU_dageaktiv_22,39917,11544921,1350453,0.149574
HEA_speciale_807189,25945,11529263,2718676,0.301115
LAB_ovrig_overforsel_13_Q2,7599,11528922,3363048,0.372485
HEA_speciale_809001,25955,11479935,2126536,0.235531
LAB_formueindk_brutto_Q11,8145,11414325,4205237,0.465764
HEA_GP_manual_bin_10_15,10523,11256090,4149844,0.459629
HEA_speciale_807177,25964,11114424,2615153,0.289649
DEM_statsb_5999,386,11050919,5525547,0.611999
HEA_urgency_ATA1,10663,10841971,3172894,0.351424
LAB_bredt_loen_beloeb_Q8,6217,10823969,2812871,0.311548
LAB_tilstand_kode_11050,6135,10798689,144837,0.016042
LAB_socio_gl_80,1500,10792071,1171598,0.129764
HEA_speciale_212020,25902,10678703,2943762,0.326046
HEA_atc_G03AA10,9150,10657346,601404,0.06661
HEA_speciale_807126,25957,10614407,260337,0.028834
DEM_manual_bin_antpersf_manual_bin_2,1425,10549515,6046009,0.669645
LAB_off_overforsel_13_Q1,6900,10540841,3060093,0.33893
HEA_atc_A02BC01,8853,10501414,1009209,0.111778
DEM_relation_Child,1461,10473928,4666196,0.516819
HEA_atc_A02BC03,9090,10392904,1033873,0.11451
LAB_formueindk_brutto_Q18,8137,10359527,5293641,0.586314
LAB_korydial_Q1,7804,10345931,1670772,0.185052
SOC_charge_1,41255,10330742,2237545,0.247826
EDU_tilg_art_11,35765,10320200,4490701,0.497382
HEA_atc_G03AA07,9183,10317214,747095,0.082747
LAB_folkefortid_13_Q6,7924,10175764,1925346,0.213248
HEA_speciale_501502,26087,10075423,2722196,0.301505
TIM_AGE_1,939,10026458,8962151,0.992631
LAB_db07_854200.0,5413,9984692,270111,0.029917
LAB_bredt_loen_beloeb_Q45,6257,9977721,2014913,0.223168
LAB_bredt_loen_beloeb_Q46,6274,9954779,1997135,0.221199
TIM_AGE_2,940,9940119,8891441,0.984799
HEA_DW_manual_bin_6,10513,9930829,2522128,0.279346
LAB_soc_status_kode_317,5343,9865891,843780,0.093456
TIM_AGE_3,941,9850354,8816203,0.976466
LAB_assets_Q31,8735,9839213,4272161,0.473177
DEM_manual_bin_antefam_manual_bin_2,1435,9819645,4768297,0.528128
LAB_bredt_loen_beloeb_Q47,6198,9818562,1987527,0.220135
HEA_speciale_040110,25972,9803807,3735900,0.413781
LAB_bredt_loen_beloeb_Q43,6240,9767004,2017537,0.223459
TIM_AGE_4,942,9764408,8743736,0.96844
DEM_manual_bin_antpersf_manual_bin_3,1426,9763719,5356781,0.593307
LAB_db07_433200.0,5397,9725656,142779,0.015814
LAB_bredt_loen_beloeb_Q48,6232,9703988,1965531,0.217699
HEA_speciale_518050,25918,9702902,356196,0.039452
HEA_speciale_190130,26063,9702554,2151178,0.23826
LAB_bredt_loen_beloeb_Q44,6199,9689026,2000669,0.22159
HEA_atc_R03AC03,8926,9684598,1131075,0.125276
LAB_bredt_loen_beloeb_Q9,6236,9683201,2717897,0.301029
TIM_AGE_5,943,9679793,8672029,0.960498
EDU_dageaktiv_16,39920,9675642,1350145,0.14954
EDU_disced_10201020,32668,9672255,3928947,0.435163
EDU_dageaktiv_20,39919,9604649,1252641,0.13874
TIM_AGE_6,944,9596279,8600709,0.952599
HEA_speciale_830501,25959,9591342,2507270,0.277701
LAB_bredt_loen_beloeb_Q49,6210,9576837,1948726,0.215837
HEA_speciale_800120,29230,9525379,2454043,0.271805
EDU_afg_art_11,35869,9515940,4061085,0.449798
TIM_AGE_7,945,9514056,8529851,0.94475
LAB_bredt_loen_beloeb_Q42,6215,9491546,2012261,0.222874
HEA_atc_N05BA04,8876,9462880,744124,0.082418
LAB_soc_status_kode_361,5349,9458558,202295,0.022406
EDU_dageaktiv_21,39922,9444715,1336989,0.148082
HEA_atc_N05BA01,8866,9436183,731327,0.081
TIM_AGE_8,946,9433146,8459591,0.936969
HEA_speciale_501201,31020,9430265,3142072,0.34801
LAB_formueindk_brutto_Q10,8148,9410780,3600199,0.398751
LAB_bredt_loen_beloeb_Q50,6205,9362194,1924797,0.213187
TIM_AGE_9,947,9356714,8392732,0.929563
HEA_speciale_802102,25922,9354932,2233219,0.247347
DEM_statsb_5100,388,9346715,7273289,0.805576
LAB_tilstand_kode_7036,6140,9330636,762150,0.084414
HEA_atc_N02AA01,8916,9324617,1053146,0.116644
LAB_formueindk_brutto_Q1,8169,9296422,2846404,0.315262
TIM_AGE_10,948,9281983,8327063,0.92229
LAB_bredt_loen_beloeb_Q41,6216,9279598,1999262,0.221435
HEA_atc_R03BA02,8958,9250504,889573,0.098527
TIM_AGE_11,949,9208818,8262420,0.91513
LAB_bredt_loen_beloeb_Q40,6242,9158277,2002510,0.221794
HEA_atc_C09AA05,9098,9136132,408513,0.045246
TIM_AGE_12,950,9134080,8195584,0.907728
DEM_manual_bin_antboernf_manual_bin_1,1415,9097440,5338955,0.591333
DEM_manual_bin_antpersf_manual_bin_1,1424,9077527,5773714,0.639486
LAB_bredt_loen_beloeb_Q51,6208,9059523,1893117,0.209678
TIM_AGE_13,951,9059350,8127970,0.900239
DEM_far_foed_adop_unknown,599,9028682,9028682,1.0
DEM_mor_foed_adop_unknown,600,9028682,9028682,1.0
LAB_db07_641900.0,5521,9023856,106409,0.011786
TIM_AGE_14,952,8980969,8056160,0.892285
EDU_course_Engelsk,32012,8927818,1397873,0.154826
HEA_speciale_501506,25901,8914017,2565278,0.284125
TIM_AGE_15,953,8903181,7984609,0.88436
LAB_assets_Q30,8744,8885412,3931442,0.435439
DEM_fm_mark_6,1454,8822216,7593327,0.841023
TIM_AGE_16,954,8821365,7910168,0.876115
EDU_course_level_A,32181,8806884,844839,0.093573
LAB_bredt_loen_beloeb_Q52,6200,8792169,1868319,0.206932
LAB_rentudgpr_Q2,8448,8750230,3307038,0.366281
HEA_speciale_531036,29842,8737690,941761,0.104308
TIM_AGE_17,955,8729858,7832382,0.8675
LAB_bredt_loen_beloeb_Q39,6204,8704176,1989411,0.220343
LAB_assets_Q34,8751,8681322,3834501,0.424702
LAB_bredt_loen_beloeb_Q10,6231,8664195,2625057,0.290746
TIM_AGE_18,956,8629006,7749936,0.858368
LAB_tilstand_kode_15080,6144,8625103,445954,0.049393
EDU_disced_10101020,33109,8619237,1641616,0.181822
LAB_assets_Q29,8743,8581630,3860634,0.427597
HEA_speciale_511019,25925,8527818,862600,0.09554
TIM_AGE_19,957,8515692,7665399,0.849005
HEA_speciale_510103,27680,8510097,1354154,0.149984
DEM_familie_type_5.0,1411,8436432,5286053,0.585473
LAB_db07_872010.0,5561,8383216,173255,0.019189
TIM_AGE_20,958,8378226,7577635,0.839285
LAB_db07_494100.0,5433,8375410,134899,0.014941
LAB_assets_Q28,8749,8286615,3580535,0.396573
LAB_bredt_loen_beloeb_Q53,6286,8276382,1826759,0.202328
LAB_bredt_loen_beloeb_Q54,6256,8234858,1810651,0.200544
LAB_socio13_321,1483,8224538,945590,0.104732
LAB_bredt_loen_beloeb_Q38,6219,8213624,1976139,0.218873
TIM_AGE_21,959,8210462,7462682,0.826553
HEA_atc_C01AA05,8874,8209563,324302,0.035919
EDU_grade_12,32055,8206999,1117703,0.123795
DEM_manual_bin_antpersf_manual_bin_4,1427,8187337,4959084,0.549259
LAB_tilstand_kode_11040,6134,8161225,869975,0.096357
LAB_skatmvialt_13_Q1,8560,8092085,3206227,0.355116
LAB_db07_471130.0,5381,8086245,305157,0.033799
LAB_socio13_139,1482,8049186,2110939,0.233804
HEA_speciale_800301,30345,8031720,2220138,0.245898
TIM_AGE_22,960,8030653,7330662,0.81193
HEA_speciale_501160,28269,8027537,2684643,0.297346
DEM_manual_bin_antboernf_manual_bin_2,1416,8014087,5034791,0.557644
LAB_db07_471120.0,5536,8004495,269544,0.029854
HEA_atc_J01CA08,9004,7949569,2120374,0.234849
LAB_formueindk_brutto_Q28,8136,7919321,3732583,0.413414
HEA_atc_N05CF02,8891,7896466,651441,0.072152
HEA_speciale_830602,26066,7890137,2420650,0.268107
HEA_atc_N06AB06,9133,7881292,617301,0.068371
TIM_AGE_23,961,7858208,7207028,0.798237
EDU_dageialtfra_2,39940,7828635,1238634,0.137189
LAB_bredt_loen_beloeb_Q11,6228,7826547,2546237,0.282016
LAB_bredt_loen_beloeb_Q55,6265,7816579,1756471,0.194543
HEA_atc_M01AB05,8921,7729792,1827755,0.202439
LAB_dispon_13_Q3,6311,7692349,3075199,0.340603
TIM_AGE_24,962,7680817,7079727,0.784137
HEA_speciale_620114,25906,7679033,92899,0.010289
LAB_bredt_loen_beloeb_Q56,6243,7666793,1730430,0.191659
DEM_familie_type_1.0,1408,7658905,5940287,0.657935
EDU_tilg_art_1 ,35766,7650245,3805494,0.421489
HEA_atc_R05DA04,8912,7647174,1339034,0.148309
HEA_,10510,7574632,1900475,0.210493
LAB_folkefortid_13_Q5,7930,7560322,1773963,0.196481
LAB_bredt_loen_beloeb_Q37,6249,7549630,1949268,0.215897
HEA_atc_N06AX11,9758,7532557,577807,0.063997
EDU_dageaktiv_18,39921,7512825,1183241,0.131054
TIM_AGE_25,963,7504683,6953244,0.770128
LAB_formueindk_brutto_Q13,8140,7416903,4258559,0.47167
HEA_speciale_510110,26056,7387330,2971842,0.329156
HEA_atc_H02AB06,8848,7338747,1215308,0.134605
TIM_AGE_26,964,7332418,6828376,0.756298
EDU_udel_29,35739,7318074,3521116,0.389992
EDU_udel_28,35742,7302154,3504862,0.388192
LAB_bredt_loen_beloeb_Q36,6244,7291483,1967974,0.217969
EDU_afg_art_1 ,35870,7280809,3643692,0.403569
HEA_atc_J01CA04,8879,7280670,2880003,0.318984
HEA_atc_N02AA05,9807,7271358,707189,0.078327
LAB_bredt_loen_beloeb_Q57,6220,7257041,1680771,0.186159
DEM_ie_type_1,383,7253440,7253440,0.803378
DEM_opr_land_5100,165,7253426,7253426,0.803376
HEA_speciale_192002,25909,7226750,2086274,0.231072
LAB_bredt_loen_beloeb_Q12,6252,7223451,2473933,0.274008
LAB_db07_432100.0,5532,7177389,93666,0.010374
LAB_assets_Q35,8780,7169927,3347711,0.370786
TIM_AGE_27,965,7166293,6704816,0.742613
HEA_atc_R03AK07,9960,7153612,429651,0.047587
EDU_grade_2,32051,7152670,1028542,0.113919
LAB_bredt_loen_beloeb_Q58,6260,7139713,1657320,0.183562
HEA_atc_B01AA03,9081,7122493,293851,0.032546
HEA_atc_C09DA01,9762,7114928,327593,0.036284
LAB_formueindk_brutto_Q12,8146,7109216,3863350,0.427897
LAB_assets_Q33,8753,7100678,3821540,0.423267
LAB_socio13_410,1484,7097996,2251231,0.249342
LAB_loenmv_13_Q1,6619,7084887,3334675,0.369342
HEA_speciale_802141,26068,7070031,1593531,0.176497
LAB_db07_471900.0,5451,7014854,235264,0.026057
LAB_tilstand_grad_amr_Q10,6193,7014677,1295708,0.14351
LAB_formueindk_brutto_Q14,8142,7009249,4238300,0.469426
TIM_AGE_28,966,7006243,6584124,0.729245
HEA_speciale_501701,25894,6997177,2789834,0.308997
HEA_atc_B01AC04,9867,6932574,414590,0.045919
LAB_db07_889130.0,5474,6873173,181646,0.020119
HEA_atc_M05BA04,9465,6866859,332456,0.036822
TIM_AGE_29,967,6850668,6464028,0.715944
EDU_udel_21,35745,6830458,2781998,0.308129
LAB_bredt_loen_beloeb_Q35,6235,6822775,1957196,0.216775
TIM_YEAR_2001,874,6811091,6379882,0.706624
TIM_YEAR_2000,873,6810913,6361735,0.704614
TIM_YEAR_1999,872,6808631,6342868,0.702524
TIM_YEAR_2002,875,6803284,6391935,0.707959
LAB_bredt_loen_beloeb_Q13,6229,6802471,2410618,0.266996
TIM_YEAR_1998,871,6798014,6317522,0.699717
TIM_YEAR_2003,876,6792538,6400108,0.708864
TIM_YEAR_1997,870,6781785,6288401,0.696492
TIM_YEAR_2004,877,6777755,6404242,0.709322
TIM_YEAR_1996,869,6762403,6257143,0.69303
HEA_speciale_806101,25916,6761481,1457512,0.161431
TIM_YEAR_2005,878,6760382,6407428,0.709675
TIM_YEAR_2006,879,6740787,6408956,0.709844
TIM_YEAR_1995,868,6737843,6222294,0.68917
LAB_tilstand_kode_90002,6145,6722737,178656,0.019788
TIM_YEAR_2007,880,6719083,6408759,0.709822
LAB_bredt_loen_beloeb_Q59,6287,6714513,1598473,0.177044
TIM_YEAR_1994,867,6707961,6182728,0.684787
TIM_AGE_30,968,6700198,6345688,0.702837
TIM_YEAR_2008,881,6695818,6406947,0.709622
HEA_speciale_807122,25962,6683235,1736432,0.192324
TIM_YEAR_1993,866,6678375,6145728,0.680689
HEA_speciale_622001,26253,6677869,68763,0.007616
TIM_YEAR_2009,882,6666378,6398528,0.708689
HEA_atc_S01AA01,8896,6647537,2981005,0.330171
LAB_db07_842200.0,5563,6645359,149919,0.016605
TIM_YEAR_1992,865,6644035,6104084,0.676077
TIM_YEAR_2010,883,6631612,6383673,0.707044
HEA_atc_N03AX09,9414,6616599,154862,0.017152
LAB_bredt_loen_beloeb_Q34,6213,6612862,1961971,0.217304
LAB_db07_855900.0,5418,6611996,207339,0.022964
TIM_YEAR_1991,864,6609896,6063569,0.67159
TIM_YEAR_2011,884,6596974,6369059,0.705425
TIM_YEAR_1990,863,6576513,6023469,0.667148
HEA_atc_D07AB02,8911,6569041,2580837,0.285849
TIM_AGE_31,969,6558728,6232959,0.690351
TIM_YEAR_2012,885,6557829,6351474,0.703477
LAB_db07_412000.0,5422,6547932,135752,0.015036
TIM_YEAR_1989,862,6544851,5983848,0.66276
LAB_bredt_loen_beloeb_Q60,6272,6539081,1576560,0.174617
HEA_GP_manual_bin_50_100,10531,6521370,1663491,0.184245
TIM_YEAR_2013,886,6515614,6330575,0.701163
TIM_YEAR_1988,861,6513478,5945914,0.658558
HEA_speciale_531031,26153,6494772,858901,0.09513
TIM_YEAR_1987,860,6481368,5911216,0.654715
LAB_socio13_135,1487,6474806,1297292,0.143686
LAB_bredt_loen_beloeb_Q33,6262,6469598,1964861,0.217624
TIM_YEAR_2014,887,6469142,6305539,0.69839
LAB_dispon_13_Q4,6303,6458124,3040286,0.336736
TIM_YEAR_1986,859,6448620,5877227,0.650951
TIM_YEAR_2015,888,6424005,6281549,0.695733
TIM_AGE_32,970,6422183,6122273,0.678092
EDU_dageaktiv_19,39924,6395025,1270056,0.140669
LAB_bredt_loen_beloeb_Q14,6269,6388768,2348953,0.260166
TIM_YEAR_2016,889,6376840,6255903,0.692892
EDU_udel_22,35746,6368706,2686294,0.297529
TIM_YEAR_1985,858,6352826,5782010,0.640405
HEA_atc_G03AA09,9151,6339403,421262,0.046658
LAB_assets_Q32,8750,6334647,3366598,0.372878
TIM_YEAR_2017,890,6327714,6228318,0.689837
LAB_skatmvialt_13_Q10,8556,6323372,2725262,0.301845
LAB_folkefortid_13_Q8,7929,6311361,1248492,0.138281
LAB_skatmvialt_13_Q11,8555,6308309,2802207,0.310367
TIM_AGE_33,971,6293961,6017482,0.666485
TIM_YEAR_2018,891,6275179,6196715,0.686337
TIM_YEAR_1984,857,6259565,5689716,0.630182
LAB_rentudgpr_Q3,8443,6257501,2725785,0.301903
TIM_YEAR_2019,892,6217832,6159808,0.682249
DEM_familie_type_4.0,1410,6217492,3484088,0.385891
EDU_dagelovfra_1,39963,6200530,1170764,0.129672
LAB_db07_843000.0,5404,6189261,448382,0.049662
LAB_soc_status_kode_311,5355,6188533,540346,0.059848
HEA_speciale_808920,25981,6180948,1074176,0.118974
TIM_AGE_34,972,6170139,5914834,0.655116
HEA_atc_S01AA13,8870,6170129,3020912,0.334591
TIM_YEAR_1983,856,6169099,5600301,0.620279
TIM_YEAR_2020,893,6161222,6122239,0.678088
LAB_bredt_loen_beloeb_Q61,6250,6160119,1525233,0.168932
HEA_speciale_501501,25954,6155624,2300898,0.254843
LAB_assets_Q27,8739,6152223,3259356,0.361
TIM_YEAR_2021,894,6117924,6092041,0.674743
LAB_bredt_loen_beloeb_Q32,6248,6113156,1965955,0.217746
TIM_YEAR_2022,895,6078751,6064774,0.671723
TIM_YEAR_1982,855,6078375,5510754,0.610361
EDU_course_level_C,32178,6076326,843954,0.093475
DEM_n_siblings_at_birth_0,601,6072105,6072105,0.672535
TIM_AGE_35,973,6051547,5815955,0.644164
HEA_atc_N06AX16,9243,6041132,261912,0.029009
LAB_db07_949100.0,5555,6033194,117505,0.013015
HEA_speciale_830101,26029,6027231,2084062,0.230827
LAB_skatmvialt_13_Q12,8541,6020481,2683741,0.297246
TIM_YEAR_2023,896,6018404,6014789,0.666187
EDU_udel_0,35741,6003762,2158278,0.239047
TIM_YEAR_1981,854,5989036,5422841,0.600624
HEA_atc_N02CC01,9333,5980407,376794,0.041733
TIM_AGE_36,974,5938730,5720893,0.633635
LAB_bredt_loen_beloeb_Q15,6237,5938451,2290648,0.253708
HEA_speciale_510101,28337,5921048,1089562,0.120678
LAB_bredt_loen_beloeb_Q62,6245,5920662,1488221,0.164833
LAB_dispon_13_Q8,6323,5901095,2687184,0.297627
HEA_speciale_440272,25946,5898874,1226824,0.135881
HEA_speciale_440338,26061,5898638,1226815,0.13588
HEA_speciale_440452,25990,5898638,1226810,0.135879
HEA_speciale_440224,26046,5898636,1226811,0.135879
TIM_YEAR_1980,853,5894607,5331970,0.590559
TIM_AGE_37,975,5831530,5630035,0.623572
HEA_speciale_212007,25895,5830710,2318077,0.256746
