prefix,variable,category,n_codes,dst_register,source_tag,lookup_dict,raw_source,intl_standard,en_coverage_pct,da_coverage_pct,official_coverage_pct,dominant_confidence,notes
EDU,dnt,EDU_dnt,7,UDD_NATTEST_OPRINDELIGE:FAG / UDD_NATTEST_GENBEREGNEDE:FAG,none|generated,,,,100,100,0,,
EDU,ects,EDU_ects,100,UDD_KARAKTER_UNIVID_FAG:ECTS,none|generated,,,,100,100,0,,
EDU,fag,EDU_fag,16,,none|generated,,,,100,100,0,,
EDU,field,EDU_field,409,DISCED-15 (KOTRE:UDD / KOTRE:AUDD),raw_edu_field,,EDU_field.txt,,100,100,0,,
EDU,grade,EDU_grade,143,UDFK:GRUNDSKOLEKARAKTER / UDGK:KARAKTER,none|generated|generated,,,,100,7,0,,
EDU,tilg,EDU_tilg,8,KOTRE:TILG_ART,dst_kotre_tilg_art,,,,100,100,0,high,
EDU,udd,EDU_udd,2416,KOTRE:UDD,CSV:EDU_udd,EDU_udd_dict.csv; EDU_udd_dict.pt,,,100,100,0,,
EDU,udel,EDU_udel,25,KOTRE:UDEL,none|generated,,,,100,100,0,high,
EDU,wellbeing,EDU_wellbeing,60,UDD_TRIVSEL_SMAA_KLASSER / UDD_TRIVSEL_STORE_KLASSER,generated:quantile_percentile,EDU_wellbeing_quantile_dict.csv,,,100,100,0,,
HEA,,HEA_,1,LMDB:VOLUME + LMDB:VOLTYPECODE,esundhed:lmdb_voltypecode,,HEA_atc.csv; HEA_groups_of_medicines_text.txt; HEA_icd8.txt; HEA_special2.txt; HEA_speciale_instructions.txt; HEA_speciale_koder_med_tekst_samt_vejledning.csv,,100,100,0,medium,LMDB VOLTYPECODE unit + binned VOLUME ranges (NOT procedure codes)
HEA,DDK,HEA_DDK,18,LMDB:VOLUME + LMDB:VOLTYPECODE,esundhed:lmdb_voltypecode,,,,100,100,0,high,LMDB VOLTYPECODE unit + binned VOLUME ranges (NOT procedure codes)
HEA,DW,HEA_DW,20,LMDB:VOLUME + LMDB:VOLTYPECODE,esundhed:lmdb_voltypecode,,,,100,100,0,high,LMDB VOLTYPECODE unit + binned VOLUME ranges (NOT procedure codes)
HEA,DWG,HEA_DWG,17,LMDB:VOLUME + LMDB:VOLTYPECODE,esundhed:lmdb_voltypecode,,,,100,100,0,high,LMDB VOLTYPECODE unit + binned VOLUME ranges (NOT procedure codes)
HEA,DWK,HEA_DWK,18,LMDB:VOLUME + LMDB:VOLTYPECODE,esundhed:lmdb_voltypecode,,,,100,100,0,high,LMDB VOLTYPECODE unit + binned VOLUME ranges (NOT procedure codes)
HEA,GA,HEA_GA,15,LMDB:VOLUME + LMDB:VOLTYPECODE,esundhed:lmdb_voltypecode,,,,100,100,0,high,LMDB VOLTYPECODE unit + binned VOLUME ranges (NOT procedure codes)
HEA,GI,HEA_GI,5,LMDB:VOLUME + LMDB:VOLTYPECODE,esundhed:lmdb_voltypecode,,,,100,100,0,high,LMDB VOLTYPECODE unit + binned VOLUME ranges (NOT procedure codes)
HEA,GP,HEA_GP,17,LMDB:VOLUME + LMDB:VOLTYPECODE,esundhed:lmdb_voltypecode,,,,100,100,0,high,LMDB VOLTYPECODE unit + binned VOLUME ranges (NOT procedure codes)
HEA,ICD10,HEA_ICD10,15206,LPR_ADM:AKTIONSDIAGNOSE,CSV:HEA_ICD10,HEA_ICD10_dict.csv; HEA_ICD10_dict.pt,,who-icd10,100,100,96,,
HEA,L,HEA_L,12,LMDB:VOLUME + LMDB:VOLTYPECODE,esundhed:lmdb_voltypecode,,,,100,100,0,high,LMDB VOLTYPECODE unit + binned VOLUME ranges (NOT procedure codes)
HEA,MG,HEA_MG,11,LMDB:VOLUME + LMDB:VOLTYPECODE,esundhed:lmdb_voltypecode,,,,100,100,0,high,LMDB VOLTYPECODE unit + binned VOLUME ranges (NOT procedure codes)
HEA,ML,HEA_ML,16,LMDB:VOLUME + LMDB:VOLTYPECODE,esundhed:lmdb_voltypecode,,,,100,100,0,high,LMDB VOLTYPECODE unit + binned VOLUME ranges (NOT procedure codes)
HEA,PK,HEA_PK,2,LMDB:VOLUME + LMDB:VOLTYPECODE,esundhed:lmdb_voltypecode,,,,100,100,0,high,LMDB VOLTYPECODE unit + binned VOLUME ranges (NOT procedure codes)
HEA,ST,HEA_ST,11,LMDB:VOLUME + LMDB:VOLTYPECODE,esundhed:lmdb_voltypecode,,,,100,100,0,high,LMDB VOLTYPECODE unit + binned VOLUME ranges (NOT procedure codes)
HEA,TU,HEA_TU,5,LMDB:VOLUME + LMDB:VOLTYPECODE,esundhed:lmdb_voltypecode,,,,100,100,0,high,LMDB VOLTYPECODE unit + binned VOLUME ranges (NOT procedure codes)
HEA,atc,HEA_atc,1657,LMDB:ATC,raw_atc_enhanced_hierarchical,HEA_atc_dict_comprehensive.csv; HEA_atc_dict_downloaded.csv; HEA_atc_dict_from_raw.csv; HEA_atc_dict_manual.csv,HEA_atc.csv,who-atc,100,100,100,,
HEA,patienttype,HEA_patienttype,4,LPR_ADM:PATTYPE,dst_lpr_pattype,,,,100,100,0,high,
HEA,speciale,HEA_speciale,6134,SYSI:SPECIALE / SSSY:SPECIALE,dual_source_special2_spec6,,HEA_speciale_instructions.txt; HEA_speciale_koder_med_tekst_samt_vejledning.csv,dst-ssr-specialty,100,100,100,medium,6-digit specialty+procedure billing codes; regional 2-aftaler; English re-translated (opus-4-8-medical)
HEA,urgency,HEA_urgency,9,LPR_ADM:INDM,none|generated,,,,100,33,0,high,
LAB,akm,LAB_akm,3,AKM (employment-type indicator),none|generated,,,,100,0,0,,
LAB,arblhumv,LAB_arblhumv,100,IND:ARBLHUMV,generated_pattern,,,,100,100,0,high,
LAB,assets,LAB_assets,100,IND:FORMREST + IND:FORMREST_NY05,manual_update,,,,100,100,0,high,
LAB,branche,LAB_branche,619,AKM:BRANCHE_77,CSV:LAB_branche_from_raw_fixed,LAB_branche_dict_dst.csv; LAB_branche_dict_from_raw.csv,LAB_branche77.txt,,100,100,0,low,
LAB,bredt,LAB_bredt,100,AMRUN:BREDT_LOEN_BELOEB,generated:quantile_percentile,LAB_bredt_quantile_dict.csv,,,100,100,0,high,
LAB,dagpenge,LAB_dagpenge,100,IND:DAGPENGE_KONTANT_13,generated:quantile_percentile,LAB_dagpenge_quantile_dict.csv,,,100,100,0,high,
LAB,db07,LAB_db07,747,AKM:NACE_DB07_13 / AMRUN:ARB_HOVED_BRA_DB07,CSV:LAB_db07_hierarchical,LAB_db07_dict.csv; LAB_db07_dict.pt,,nace2,100,97,99,high,5-digit low-division codes partly recovered via empirical DB93 firm crosswalk; 19 unresolved
LAB,disco,LAB_disco,793,AKM:DISCO_ALLE_INDK_13 (DISCO 2-digit),CSV:LAB_disco_from_raw_hierarchical,LAB_disco_dict_from_raw.csv,LAB_disco.csv; LAB_disco_codes.txt,isco88,100,100,100,,
LAB,disco08,LAB_disco08,756,AKM:DISCO08_* / AMRUN:DISCO_KODE,CSV:LAB_disco08_comprehensive_hierarchical,LAB_disco08_dict_comprehensive.csv; LAB_disco08_dict_dst.csv; LAB_disco08_dict_manual.csv,,isco08,100,99,100,,
LAB,dispon,LAB_dispon,100,IND:DISPON_13,generated:quantile_percentile,LAB_dispon_quantile_dict.csv,,,100,100,0,high,
LAB,erhvervsindk,LAB_erhvervsindk,100,IND:ERHVERVSINDK_13,generated:quantile_percentile,LAB_erhvervsindk_quantile_dict.csv,,,100,100,0,high,
LAB,folkefortid,LAB_folkefortid,10,IND:FOLKEFORTID_13,generated:quantile_percentile,LAB_folkefortid_quantile_dict.csv,,,100,100,0,high,
LAB,formueindk,LAB_formueindk,100,IND:FORMUEINDK_BRUTTO,generated:quantile_percentile,LAB_formueindk_quantile_dict.csv,,,100,100,0,high,
LAB,fravaer,LAB_fravaer,4,AMRUN:FRAVAER_BESK_KODE,raw_lab_fravaer,,LAB_fravaer_besk_kode_nullified.txt,,100,100,0,high,
LAB,gron,LAB_gron,10,IND:GRON_CHECK,generated:quantile_percentile,LAB_gron_quantile_dict.csv,,,100,100,0,high,
LAB,honny,LAB_honny,100,IND:HONNY,manual_update,,,,100,100,0,high,
LAB,kontanthj,LAB_kontanthj,100,IND:KONTANTHJ_13,generated:quantile_percentile,LAB_kontanthj_quantile_dict.csv,,,100,100,0,high,
LAB,korstoett,LAB_korstoett,100,IND:KORSTOETT,generated_pattern,,,,100,100,0,high,
LAB,korydial,LAB_korydial,10,IND:KORYDIAL,generated_pattern,,,,100,100,0,high,
LAB,lejev,LAB_lejev,100,IND:LEJEV_EGEN_BOLIG,generated:quantile_percentile,LAB_lejev_quantile_dict.csv,,,100,100,0,high,
LAB,loenmv,LAB_loenmv,100,IND:LOENMV_13,generated:quantile_percentile,LAB_loenmv_quantile_dict.csv,,,100,100,0,high,
LAB,nace,LAB_nace,871,AKM:NACE_13 (DB93),raw_lab_nace,LAB_nace_dict_comprehensive.csv; LAB_nace_dict_dst.csv; LAB_nace_dict_from_raw.csv; LAB_nace_dict_manual.csv,LAB_nace.txt; LAB_nace_en.txt,nace2-crosswalk,100,100,24,,Danish DB93 (raw/LAB_nace.txt); official English only where a NACE Rev.2 crosswalk exists
LAB,netovskud,LAB_netovskud,100,IND:NETOVSKUD_13,generated:quantile_percentile,LAB_netovskud_quantile_dict.csv,,,100,100,0,high,
LAB,off,LAB_off,100,IND:OFF_OVERFORSEL_13,generated:quantile_percentile,LAB_off_quantile_dict.csv,,,100,100,0,high,
LAB,offpens,LAB_offpens,100,IND:OFFPENS_EFTERLON_13,generated:quantile_percentile,LAB_offpens_quantile_dict.csv,,,100,100,0,high,
LAB,ovrig,LAB_ovrig,300,IND:OVRIG_DAGPENGE_AKAS_13 / OVRIG_KONTANTHJALP_13 / OVRIG_OVERFORSEL_13,generated:quantile_percentile,LAB_ovrig_quantile_dict.csv,,,100,100,0,high,
LAB,perindkialt,LAB_perindkialt,100,IND:PERINDKIALT_13,generated:quantile_percentile,LAB_perindkialt_quantile_dict.csv,,,100,100,0,high,
LAB,privat,LAB_privat,100,IND:PRIVAT_PENSION_13,generated:quantile_percentile,LAB_privat_quantile_dict.csv,,,100,100,0,high,
LAB,qeftlon,LAB_qeftlon,100,IND:QEFTLON,generated_pattern,,,,100,100,0,high,
LAB,rentudgpr,LAB_rentudgpr,100,IND:RENTUDGPR,generated_pattern,,,,100,100,0,high,
LAB,resuink,LAB_resuink,100,IND:RESUINK_13,generated:quantile_percentile,LAB_resuink_quantile_dict.csv,,,100,100,0,high,
LAB,skatmvialt,LAB_skatmvialt,100,IND:SKATMVIALT_13,generated:quantile_percentile,LAB_skatmvialt_quantile_dict.csv,,,100,100,0,high,
LAB,soc,LAB_soc,40,AMRUN:SOC_STATUS_KODE,CSV:LAB_soc_status,,,,100,100,0,,
LAB,socio,LAB_socio,51,AKM:SOCIO_GL,empirical_crosswalk_socio13,,,,100,96,0,low,1976-1990 SOCIO_GL recovered via empirical SOCIO13 crosswalk (crosswalks/empirical/); 2 codes unresolved
LAB,socio13,LAB_socio13,21,AKM:SOCIO13,CSV:LAB_socio13,LAB_socio13_dict.csv; LAB_socio13_dict.pt,,,100,100,0,,
LAB,stip,LAB_stip,10,IND:STIP,generated_pattern,,,,100,100,0,high,
LAB,stoette,LAB_stoette,7,AMRUN:STOETTE_BESK_KODE,raw_lab_stoette,,LAB_stoette_besk_kode_nullified.txt,,100,100,0,high,
LAB,syg,LAB_syg,100,IND:SYG_BARSEL_13,generated:quantile_percentile,LAB_syg_quantile_dict.csv,,,100,100,0,high,
LAB,tilstand,LAB_tilstand,69,AMRUN:TILSTAND_KODE_AMR,raw_lab_tilstand_kode,LAB_tilstand_quantile_dict.csv,LAB_tilstand_kode.txt,,100,78,0,,
LAB,udd,LAB_udd,1,AMRUN:UDD_BESK_KODE,none|generated|generated|generated,,,,100,0,0,,
LAB,underhol,LAB_underhol,100,IND:UNDERHOL,generated_pattern,,,,100,100,0,high,
SOC,afgtypko,SOC_afgtypko,86,KRAF:AFG_AFGTYPKO / KRKO:KON_AFGTYPKO,dst_afgtypko,SOC_afgtypko_dict.csv,SOC_afgtypko.txt,,100,99,0,high,
SOC,ansted,SOC_ansted,32,BUAF:ANSTED_KLAS,CSV:SOC_ansted_klas,,,,100,100,0,,
SOC,betbkod,SOC_betbkod,1,KRAF:AFG_BETBKOD,none|generated|generated|generated,,,,100,0,0,,
SOC,boedeblb,SOC_boedeblb,10,KRAF:AFG_BOEDEBLB,none|generated,,,,100,100,0,,
SOC,bstrfkod,SOC_bstrfkod,3,KRIN:IND_BSTRFKOD,dst_ind_bstrfkod,SOC_bstrfkod_dict.csv,SOC_bstrfkod.txt,,100,100,0,high,
SOC,bstrflgd,SOC_bstrflgd,10,KRAF:AFG_BSTRFLG,none|generated,,,,100,100,0,,
SOC,charge,SOC_charge,1,,none|generated,,,,100,0,0,,
SOC,dagboant,SOC_dagboant,1,KRAF:AFG_DAGBOANT,none|generated,,,,100,100,0,,
SOC,dagbobel,SOC_dagbobel,10,KRAF:AFG_DAGBOBEL,none|generated,,,,100,100,0,,
SOC,end,SOC_end,3,,none|generated,,,,100,0,0,,
SOC,fgslkod,SOC_fgslkod,6,KRIN:IND_FGSLKOD,dst_ind_fgslkod,,,,100,100,0,high,
SOC,frakbkod,SOC_frakbkod,4,KRAF:AFG_FRAKBKOD,dst_afg_frakbkod,,,,100,100,0,high,
SOC,frakkod,SOC_frakkod,186,KRAF:AFG_FRAKKOD,raw_soc_frakkod,,SOC_frakkod.txt,,100,99,0,high,
SOC,ger7,SOC_ger7,938,KRAF/KRKO/KRMS/KRSI/KROF/KRIN :*_GER7,CSV:SOC_ger7_hierarchical,SOC_ger7_dict.csv; SOC_ger7_dict.pt,SOC_ger7_13_to_7_mapping.txt,,100,99,0,,
SOC,haendelse,SOC_haendelse,9,BUAF:HAENDELSE,CSV:SOC_haendelse_from_raw,SOC_haendelse_dict.csv,SOC_haendelse.txt,,100,100,0,high,
SOC,loeslkod,SOC_loeslkod,9,KRIN:IND_LOESLKOD,dst_ind_loeslkod,SOC_loeslkod_dict.csv,SOC_loeslkod.txt,,100,100,0,high,
SOC,overfkod,SOC_overfkod,2,KRIN:IND_OVERFKOD,none|generated|generated|generated,,,,100,0,0,,
SOC,pgf,SOC_pgf,52,BUFO:PFG,CSV:SOC_pgf_from_raw,SOC_pgf_dict.csv,SOC_pgf.txt,,100,98,0,,
SOC,revoke,SOC_revoke,10,KRAF:AFG_FRAKAAR + AFG_FRAKMND,generated:quantile_percentile,SOC_revoke_quantile_dict.csv,,,100,100,0,,
SOC,samtykke,SOC_samtykke,15,BUAF:SAMTYKKE,none|dict_fill,SOC_samtykke_dict.csv,SOC_samtykke.txt,,100,87,0,,
SOC,start,SOC_start,2,,none|generated,,,,100,0,0,,
SOC,ubstrflg,SOC_ubstrflg,10,KRAF:AFG_UBSTRFLG,none|generated,,,,100,100,0,,
SOC,victim,SOC_victim,1,,none|generated,,,,100,0,0,,
SPECIAL,special_tokens,special_tokens,5,(model tokens — not register-derived),vocab_reconciliation,,,,100,0,0,highest,[PAD] [CLS] [SEP] [UNK] [MASK]
