flag,code,category,description_da,description_en,detail
F10_diverge_official,LAB_disco_241100,LAB_disco,Revisions- og regnskabscontrollerarbejde,Auditing and accounting control work,official='Accountants'  r=0.38
F10_diverge_official,LAB_disco_832210,LAB_disco,Hyrevogns- og privatchaufførarbejde eller tilsvarende chaufførarbejde,Taxi driving and private chauffeur work or equivalent driver work,"official='Car, Taxi and Van Drivers'  r=0.43"
F10_diverge_official,LAB_disco_315200,LAB_disco,Skibsførerarbejde,Ship driving work,official='Ships’ Deck Officers and Pilots'  r=0.38
F10_diverge_official,LAB_disco_721400,LAB_disco,Stålkonstruktionsarbejde,Steel construction work,official='Structural Metal Preparers and Erectors'  r=0.32
F10_diverge_official,LAB_disco_511200,LAB_disco,Kontrolarbejde under rejser,Control work during travels,official='Transport Conductors'  r=0.30
F10_diverge_official,LAB_disco_921100,LAB_disco,Manuelt arbejde inden for agerbrug,Manual work within arable farming,official='Crop Farm Labourers'  r=0.23
F10_diverge_official,LAB_disco_512000,LAB_disco,Kokkearbejde (ekskl. køkkenchefarbejde),Cooking work (excluding head chef work),official='Cooks'  r=0.18
F10_diverge_official,LAB_disco_321100,LAB_disco,Teknikerarbejde inden for brug af medicinsk røntgen- og behandlingsudstyr,Technical work related to the use of medical X-ray and treatment equipment,official='Medical Imaging and Therapeutic Equipment Technici'  r=0.44
F10_diverge_official,LAB_disco_931210,LAB_disco,Asfaltarbejde,Asphalt work,official='Civil Engineering Labourers'  r=0.10
F10_diverge_official,LAB_disco_741100,LAB_disco,Elektrikerarbejde,Electrician work,official='Building and Related Electricians'  r=0.45
F10_diverge_official,LAB_disco_722300,LAB_disco,Operatør- og opstillingsarbejde af metalforarbejdningsmaskiner,Operator and setup work for metalworking machines,official='Metal Working Machine Tool Setters and Operators'  r=0.43
F10_diverge_official,LAB_disco_741300,LAB_disco,Installation og reparation af elektrisk ledningsføring inden for forsyningsvirksomhed,Installation and repair of electrical wiring in utility services,official='Electrical Line Installers and Repairers'  r=0.40
F10_diverge_official,LAB_disco_342100,LAB_disco,Sportsudøvere,Sports instructors,official='Athletes and Sports Players'  r=0.40
F10_diverge_official,LAB_disco_311400,LAB_disco,Teknikerarbejde inden for det elektroniske område,Technical work in the electronic field,official='Electronics Engineering Technicians'  r=0.36
F10_diverge_official,LAB_disco_343400,LAB_disco,Køkkenchefarbejde,Kitchen management,official='Chefs'  r=0.26
F10_diverge_official,LAB_disco_311800,LAB_disco,Teknisk tegnearbejde,Technical drawing / drafting work,official='Draughtspersons'  r=0.17
F10_diverge_official,LAB_disco_235100,LAB_disco,"Forskning, udvikling og rådgivning inden for undervisningsmetoder","Research, development and consultation regarding teaching methods",official='Education Methods specialists'  r=0.32
F10_diverge_official,LAB_disco_312100,LAB_disco,Tilsynsførende inden for råstofindvinding,Supervision within raw material extraction,official='Mining Supervisors'  r=0.33
F10_diverge_official,LAB_disco_931290,LAB_disco,"Jord-, kloak- og andet anlægsarbejde","Earthwork, sewer and other installation labor",official='Civil Engineering Labourers'  r=0.34
F10_diverge_official,LAB_disco_921200,LAB_disco,Manuelt arbejde inden for husdyravl,Manual labor in animal husbandry,official='Livestock Farm Labourers'  r=0.29
F10_diverge_official,LAB_disco_214900,LAB_disco,Andet ingeniørarbejde (undtagen elektroteknologi),Other engineering work (excluding electrical engineering),official='Engineering Professionals Not Elsewhere Classified'  r=0.41
F10_diverge_official,LAB_disco_311900,LAB_disco,Andet teknikerarbejde inden for fysisk videnskab og ingeniørvirksomhed,Other technical work in physical science and engineering,official='Physical and Engineering Science Technicians Not E'  r=0.38
F10_diverge_official,LAB_disco_723110,LAB_disco,"Mekanikerarbejde, person- og varevogne",Mechanic work for passenger and freight vehicles,official='Motor Vehicle Mechanics and Repairers'  r=0.45
F10_diverge_official,LAB_disco_931230,LAB_disco,Kabelarbejde,Cable work,official='Civil Engineering Labourers'  r=0.27
F10_diverge_official,LAB_disco_831200,LAB_disco,Tograngering,Train shunting,"official='Railway Brake, Signal and Switch Operators'  r=0.25"
F10_diverge_official,LAB_disco_214200,LAB_disco,Ingeniørarbejde vedrørende bygninger og anlæg,Engineering work concerning buildings and installations,official='Civil Engineers'  r=0.26
F10_diverge_official,LAB_disco_214500,LAB_disco,Ingeniørarbejde inden for kemi,Engineering work in chemistry,official='Chemical Engineers'  r=0.38
F10_diverge_official,LAB_disco_223000,LAB_disco,Arbejde inden for naturmedicin og alternativ behandling,Work in natural medicine and alternative treatment,official='Traditional and Complementary Medicine Professiona'  r=0.35
F10_diverge_official,LAB_disco_611200,LAB_disco,Dyrkning af afgrøder fra træer og buske,Cultivation of crops from trees and shrubs,official='Tree and Shrub Crop Growers'  r=0.43
F10_diverge_official,LAB_disco_815900,LAB_disco,"Andet operatørarbejde ved fremstilling af tekstil-, pels- og læderprodukter","Other operating work in the production of textile, fur, and leather products","official='Textile, Fur and Leather Products Machine Operator'  r=0.43"
F10_diverge_official,LAB_disco_722100,LAB_disco,Smedearbejde,Smithing / blacksmith work,"official='Blacksmiths, Hammersmiths and Forging Press Worker'  r=0.39"
F10_diverge_official,LAB_disco_313300,LAB_disco,Teknisk kontrolarbejde på kemiske behandlingsanlæg,Technical control work on chemical treatment facilities,official='Chemical Processing Plant Controllers'  r=0.41
F10_diverge_official,LAB_disco_341100,LAB_disco,Juridisk arbejde på mellemniveau,Legal work at intermediate level,official='Legal and Related Associate Professionals'  r=0.41
F10_diverge_official,LAB_disco_814100,LAB_disco,Operatørarbejde ved fremstilling af gummiprodukter,Operating work in the production of rubber products,official='Rubber Products Machine Operators'  r=0.36
F10_diverge_official,LAB_disco_812100,LAB_disco,Operatørarbejde ved forarbejdning af metal,Operating work in metal preparatory processing,official='Metal Processing Plant Operators'  r=0.41
F10_diverge_official,LAB_disco_814300,LAB_disco,Operatørarbejde ved fremstilling af papirprodukter,Operating work in the production of paper products,official='Paper Products Machine Operators'  r=0.34
F10_diverge_official,LAB_disco_812200,LAB_disco,Operatørarbejde ved overfladebehandling af metal,Operating work in surface treatment of metal,"official='Metal Finishing, Plating and Coating Machine Opera'  r=0.19"
F10_diverge_official,LAB_disco_422200,LAB_disco,Informationsarbejde på kundekontaktcentre,Information work at customer contact centers,official='Contact Centre Information Clerks'  r=0.39
F10_diverge_official,LAB_disco_732100,LAB_disco,Prepressarbejde og grafisk formfremstilling,Prepress work and graphic form production,official='Pre-press Technicians'  r=0.35
F10_diverge_official,LAB_disco_232010,LAB_disco,Undervisning ved erhvervsuddannelser for unge,Teaching at vocational schools for young people,official='Vocational Education Teachers'  r=0.37
F10_diverge_official,LAB_disco_516200,LAB_disco,Kammertjenerarbejde,Valet work,official='Companions and Valets'  r=0.32
F10_diverge_official,LAB_disco_311110,LAB_disco,Laborantarbejde,Laboratory technician work,official='Chemical and Physical Science Technicians'  r=0.42
F10_diverge_official,LAB_disco_122200,LAB_disco,Ledelse af reklame og PR,Management of advertising and PR,official='Advertising and Public Relations Managers'  r=0.49
F10_diverge_official,LAB_disco_131200,LAB_disco,Ledelse af produktion inden for akvakultur og fiskeri,Management of production in aquaculture and fishing,official='Aquaculture and Fisheries Production Managers'  r=0.48
F10_diverge_official,LAB_disco_235910,LAB_disco,Undervisningsarbejde ikke klassificeret andetsteds (ekskl. medhjælp),Educational work not classified elsewhere (excluding helpers),official='Teaching Professionals Not Elsewhere Classified'  r=0.41
F10_diverge_official,LAB_disco_232020,LAB_disco,Undervisning ved arbejdsmarkedsuddannelser,Training at labor market education programs,official='Vocational Education Teachers'  r=0.44
F10_diverge_official,LAB_disco_311300,LAB_disco,Teknikerarbejde inden for det elektriske område,Technical work in the electrical field,official='Electrical Engineering Technicians'  r=0.36
F10_diverge_official,LAB_disco_213110,LAB_disco,Arbejde inden for biokemi,Work in biochemistry,"official='Biologists, Botanists, Zoologists and Related Prof'  r=0.18"
F10_diverge_official,LAB_disco_722400,LAB_disco,Arbejde med polering og slibning af emner i metal,Polishing and grinding of metal objects work,"official='Metal Polishers, Wheel Grinders and Tool Sharpener'  r=0.43"
F10_diverge_official,LAB_disco_311200,LAB_disco,Teknikerarbejde inden for byggeri- og anlæg,Technical work within construction and installation,official='Civil Engineering Technicians'  r=0.25
F10_diverge_official,LAB_disco_314100,LAB_disco,Teknikerarbejde inden for biovidenskab (undtagen medicinsk område),Technical work within bioscience (except medical area),official='Life Science Technicians (excluding Medical)'  r=0.47
F10_diverge_official,LAB_disco_723190,LAB_disco,"Mekanikerarbejde, andre områder","Mechanic work, other areas",official='Motor Vehicle Mechanics and Repairers'  r=0.42
F10_diverge_official,LAB_disco_322200,LAB_disco,Assisterende arbejde inden for fødselshjælp,Assistant work within maternity care,official='Midwifery Associate Professionals'  r=0.29
F10_diverge_official,LAB_disco_131100,LAB_disco,Ledelse af produktion i landbrug og skovbrug,Production management in agriculture and forestry,official='Agricultural and Forestry Production Managers'  r=0.40
F10_diverge_official,LAB_disco_421100,LAB_disco,Kundebetjening og kassererarbejde i pengeinstitutter,Customer service and cashier work in financial institutions,official='Bank Tellers and Related Clerks'  r=0.31
F10_diverge_official,LAB_disco_341200,LAB_disco,Social rådgivningsarbejde på mellemniveau,Mid-level social counseling work,official='Social Work Associate Professionals'  r=0.33
F10_diverge_official,LAB_disco_214400,LAB_disco,Ingeniørarbejde inden for mekaniske systemer,Engineering work within mechanical systems,official='Mechanical Engineers'  r=0.39
F10_diverge_official,LAB_disco_931330,LAB_disco,Medhjælp ved murerarbejde,Helper work for bricklayers,official='Building Construction Labourers'  r=0.28
F10_diverge_official,LAB_disco_422100,LAB_disco,Rejsebureauarbejde,Travel agency work,official='Travel Consultants and Clerks'  r=0.47
F10_diverge_official,LAB_disco_511110,LAB_disco,Passagerbetjening under rejser,Passenger service during travel,official='Travel Attendants and Travel Stewards'  r=0.35
F10_diverge_official,LAB_disco_342300,LAB_disco,Instruktørarbejde inden for fitness og beslægtede områder,Instruction work within fitness and related areas,official='Fitness and Recreation Instructors and Programme L'  r=0.34
F10_diverge_official,LAB_disco_811300,LAB_disco,Boreanlægsarbejde,Boilermaker work,official='Well Drillers and Borers and Related Workers'  r=0.40
F10_diverge_official,LAB_disco_721500,LAB_disco,Riggerarbejde,Rigger work,official='Riggers and Cable Splicers'  r=0.43
F10_diverge_official,LAB_disco_341300,LAB_disco,Arbejde med tilknytning til religion på mellemniveau,Religious work at intermediate level,official='Religious Associate Professionals'  r=0.49
F10_diverge_official,LAB_disco_811200,LAB_disco,Operatørarbejde ved anlæg til råstofudvinding,Operator work at facilities for raw material extraction,official='Mineral and Stone Processing Plant Operators'  r=0.18
F10_diverge_official,LAB_disco_611100,LAB_disco,Dyrkning af markafgrøder inden for jordbrug,Cultivation of field crops in agriculture,official='Field Crop and Vegetable Growers'  r=0.41
F10_diverge_official,LAB_disco_313100,LAB_disco,Teknisk kontrolarbejde på kraftværker,Technical control work at power plants,official='Power Production Plant Operators'  r=0.34
F10_diverge_official,LAB_disco_931390,LAB_disco,Medhjælp ved andet bygningsarbejde,Helper work for other building trades,official='Building Construction Labourers'  r=0.41
F10_diverge_official,LAB_disco_612200,LAB_disco,Arbejde med opdræt af fjerkræ,Work in raising turkeys,official='Poultry Producers'  r=0.25
F10_diverge_official,LAB_disco_516300,LAB_disco,Bedemandsarbejde,Funeral director work,official='Undertakers and Embalmers'  r=0.30
F10_diverge_official,LAB_disco_312300,LAB_disco,Tilsynsførende inden for bygge- og anlægsvirksomhed,Supervisory Work in Construction and Installation Services,official='Construction Supervisors'  r=0.46
F10_diverge_official,LAB_disco_931220,LAB_disco,Medhjælp med brolæggerarbejde,Assistant Work with Well Drilling,official='Civil Engineering Labourers'  r=0.27
F10_diverge_official,LAB_disco_311130,LAB_disco,Laboratorieteknikerarbejde,Laboratory Technician Work,official='Chemical and Physical Science Technicians'  r=0.42
F10_diverge_official,LAB_disco_511120,LAB_disco,Passagerbetjening i lufthavne og havneterminaler,Passenger service in airports and port terminals,official='Travel Attendants and Travel Stewards'  r=0.40
F10_diverge_official,LAB_disco_311600,LAB_disco,Teknikerarbejde inden for det kemiske område,Technical work in the chemical field,official='Chemical Engineering Technicians'  r=0.32
F10_diverge_official,LAB_disco_931340,LAB_disco,"Beton-, jernbeton- og montagearbejde","Concrete, reinforced concrete, and assembly work",official='Building Construction Labourers'  r=0.26
F10_diverge_official,LAB_disco_313900,LAB_disco,Andet teknisk kontrolarbejde inden for processtyring,Other technical control work within process control,official='Process Control Technicians Not Elsewhere Classifi'  r=0.29
F10_diverge_official,LAB_disco_235920,LAB_disco,Pædagogisk arbejde ikke klassificeret andetsteds (ekskl. medhjælp),Pedagogical work not classified elsewhere (excluding assistants),official='Teaching Professionals Not Elsewhere Classified'  r=0.36
F10_diverge_official,LAB_disco_612900,LAB_disco,Andet arbejde med dyreopdræt,Other work related to animal husbandry,official='Animal Producers Not Elsewhere Classified'  r=0.25
F10_diverge_official,LAB_disco_712100,LAB_disco,Arbejde med tagdækning,Roof covering work,official='Roofers'  r=0.48
F10_diverge_official,LAB_disco_311120,LAB_disco,Assistentarbejde i laboratorier,Laboratory assistant work,official='Chemical and Physical Science Technicians'  r=0.27
F10_diverge_official,LAB_disco_322100,LAB_disco,Assisterende arbejde inden for sygepleje,Auxiliary work in nursing,official='Nursing Associate Professionals'  r=0.25
F10_diverge_official,LAB_disco_514300,LAB_disco,Bedemandsarbejde,Funeral director work,official='Undertakers and embalmers'  r=0.30
F10_diverge_official,LAB_disco_921300,LAB_disco,Manuelt arbejde inden for både agerbrug og husdyravl,Manual work in both agriculture and livestock farming,official='Mixed Crop and Livestock Farm Labourers'  r=0.48
F10_diverge_official,LAB_disco_242200,LAB_disco,Arbejde med virksomhedsstrategi/policy,Work with business strategy/policy,official='Policy Administration Professionals'  r=0.17
F10_diverge_official,LAB_disco_711300,LAB_disco,Stenhuggerarbejde,Stonemason work,"official='Stonemasons, Stone Cutters, Splitters and Carvers'  r=0.42"
F10_diverge_official,LAB_disco_723120,LAB_disco,"Mekanikerarbejde, lastvogne","Mechanic work, trucks",official='Motor Vehicle Mechanics and Repairers'  r=0.42
F10_diverge_official,LAB_disco_412000,LAB_disco,Almindeligt sekretærarbejde,General secretary work,official='Secretaries (general)'  r=0.47
F10_diverge_official,LAB_disco_421300,LAB_disco,Pantelånerarbejde og beslægtede funktioner,Panting loaner work and related functions,official='Pawnbrokers and Money-lenders'  r=0.40
F10_diverge_official,LAB_disco_815500,LAB_disco,Operatørarbejde ved klargøring af pels og læder,Operator work for pelts and leather processing,official='Fur and Leather Preparing Machine Operators'  r=0.45
F10_diverge_official,LAB_disco_931240,LAB_disco,Montage af luftledninger,Assembly of air ducts,official='Civil Engineering Labourers'  r=0.08
F10_diverge_official,LAB_disco_323000,LAB_disco,Assisterende arbejde inden for naturmedicin og alternativ behandling,Assistant work within natural medicine and alternative treatments,official='Traditional and Complementary Medicine Associate P'  r=0.31
F10_diverge_official,LAB_disco_832230,LAB_disco,Varevognschaufførarbejde med salgs- og repræsentationsopgaver,Vehicle driver work with sales and representation tasks,"official='Car, Taxi and Van Drivers'  r=0.23"
F10_diverge_official,LAB_disco_315100,LAB_disco,Teknikerarbejde inden for skibsfart,Technical work within shipping,official='Ships’ Engineers'  r=0.26
F10_diverge_official,LAB_disco_223010,LAB_disco,Jordemoderarbejde,Midwifery work,official='Nursing and midwifery professionals'  r=0.45
F10_diverge_official,LAB_disco_815100,LAB_disco,Operatørarbejde ved forarbejdning af materialer i fiber og tekstil,Operator work in processing materials in fibers and textiles,"official='Fibre Preparing, Spinning and Winding Machine Oper'  r=0.16"
F10_diverge_official,LAB_disco_931320,LAB_disco,Medhjælp ved tagdækningsarbejde,Helper for roof covering work,official='Building Construction Labourers'  r=0.23
F10_diverge_official,LAB_disco_832240,LAB_disco,Varevognschaufførarbejde med renovationsopgaver,Warehouse driver work including renovation tasks,"official='Car, Taxi and Van Drivers'  r=0.28"
F10_diverge_official,LAB_disco_311140,LAB_disco,"Teknikerarbejde inden for geologi, meteorologi og astronomi","Technical work within geology, meteorology and astronomy",official='Chemical and Physical Science Technicians'  r=0.23
F10_diverge_official,LAB_disco_931100,LAB_disco,Manuelt arbejde inden for råstofudvinding,Manual work in raw material extraction,official='Mining and Quarrying Labourers'  r=0.35
F10_diverge_official,LAB_disco_514200,LAB_disco,Kosmetologarbejde og beslægtede funktioner,Cosmetology work and related functions,official='Beauticians and Related Workers'  r=0.49
F10_diverge_official,LAB_disco_931310,LAB_disco,Medhjælp ved isoleringsarbejde,Assistance with insulation work,official='Building Construction Labourers'  r=0.35
F10_diverge_official,LAB_disco_832220,LAB_disco,Varevognschaufførarbejde,Store cart driver work,"official='Car, Taxi and Van Drivers'  r=0.48"
F10_diverge_official,LAB_db07_479111,LAB_db07,"Detailhandel undtagen fra forretninger, stadepladser og markeder (via 479)","Retail trade except from restaurants, stalls and markets (via 479)",official='Retail sale via mail order houses or via Internet'  r=0.25
F10_diverge_official,LAB_db07_422000,LAB_db07,Anlæg af ledningsnet (via 422),Installation of electrical wiring and plumbing (via 422),official='Construction of utility projects'  r=0.34
F10_diverge_official,LAB_db07_12400,LAB_db07,,[Unresolved DB07 code: 12400],official='Manufacture of tobacco products'  r=0.31
F10_diverge_official,LAB_db07_11100,LAB_db07,,[Unresolved DB07 code: 11100],official='Manufacture of beverages'  r=0.27
F10_diverge_official,LAB_db07_479119,LAB_db07,"Detailhandel undtagen fra forretninger, stadepladser og markeder (via 479)","Retail trade except from restaurants, stalls and markets (via 479)",official='Retail sale via mail order houses or via Internet'  r=0.25
F10_diverge_official,LAB_db07_11300,LAB_db07,,[Unresolved DB07 code: 11300],official='Manufacture of beverages'  r=0.27
F10_diverge_official,LAB_db07_21000,LAB_db07,,[Unresolved DB07 code: 21000],official='Manufacture of basic pharmaceutical products and p'  r=0.17
F10_diverge_official,LAB_db07_11900,LAB_db07,,[Unresolved DB07 code: 11900],official='Manufacture of beverages'  r=0.27
F10_diverge_official,LAB_db07_15000,LAB_db07,Læder- og fodtøjsindustri,Leather and footwear manufacturing,official='Manufacture of leather and related products'  r=0.42
F10_diverge_official,LAB_db07_14700,LAB_db07,,[Unresolved DB07 code: 14700],official='Manufacture of wearing apparel'  r=0.17
F10_diverge_official,LAB_db07_14920,LAB_db07,,[Unresolved DB07 code: 14920],official='Manufacture of wearing apparel'  r=0.17
F10_diverge_official,LAB_db07_14610,LAB_db07,,[Unresolved DB07 code: 14610],official='Manufacture of wearing apparel'  r=0.17
F10_diverge_official,LAB_db07_479116,LAB_db07,"Detailhandel undtagen fra forretninger, stadepladser og markeder (via 479)","Retail trade except from restaurants, stalls and markets (via 479)",official='Retail sale via mail order houses or via Internet'  r=0.25
F10_diverge_official,LAB_db07_14620,LAB_db07,,[Unresolved DB07 code: 14620],official='Manufacture of wearing apparel'  r=0.17
F10_diverge_official,LAB_db07_22000,LAB_db07,,[Unresolved DB07 code: 22000],official='Manufacture of rubber and plastic products'  r=0.29
F10_diverge_official,LAB_db07_429000,LAB_db07,Anden anlægsvirksomhed (via 429),Other installation activities (via 429),official='Construction of other civil engineering projects'  r=0.28
F10_diverge_official,LAB_db07_31100,LAB_db07,,[Unresolved DB07 code: 31100],official='Manufacture of furniture'  r=0.19
F10_diverge_official,LAB_db07_12900,LAB_db07,,[Unresolved DB07 code: 12900],official='Manufacture of tobacco products'  r=0.31
F10_diverge_official,LAB_db07_479112,LAB_db07,"Detailhandel undtagen fra forretninger, stadepladser og markeder (via 479)","Retail trade except from restaurants, stalls and markets (via 479)",official='Retail sale via mail order houses or via Internet'  r=0.25
F10_diverge_official,LAB_db07_479113,LAB_db07,"Detailhandel undtagen fra forretninger, stadepladser og markeder (via 479)","Retail trade except from restaurants, stalls and markets (via 479)",official='Retail sale via mail order houses or via Internet'  r=0.25
F10_diverge_official,LAB_db07_12500,LAB_db07,,[Unresolved DB07 code: 12500],official='Manufacture of tobacco products'  r=0.31
F10_diverge_official,LAB_db07_16400,LAB_db07,,[Unresolved DB07 code: 16400],official='Manufacture of wood and of products of wood and co'  r=0.16
F10_diverge_official,LAB_db07_479115,LAB_db07,"Detailhandel undtagen fra forretninger, stadepladser og markeder (via 479)","Retail trade except from restaurants, stalls and markets (via 479)",official='Retail sale via mail order houses or via Internet'  r=0.25
F10_diverge_official,LAB_db07_12800,LAB_db07,,[Unresolved DB07 code: 12800],official='Manufacture of tobacco products'  r=0.31
F10_diverge_official,LAB_db07_479117,LAB_db07,"Detailhandel undtagen fra forretninger, stadepladser og markeder (via 479)","Retail trade except from restaurants, stalls and markets (via 479)",official='Retail sale via mail order houses or via Internet'  r=0.25
F10_diverge_official,LAB_db07_479114,LAB_db07,"Detailhandel undtagen fra forretninger, stadepladser og markeder (via 479)","Retail trade except from restaurants, stalls and markets (via 479)",official='Retail sale via mail order houses or via Internet'  r=0.25
F10_diverge_official,LAB_db07_14910,LAB_db07,,[Unresolved DB07 code: 14910],official='Manufacture of wearing apparel'  r=0.17
F10_diverge_official,LAB_db07_17000,LAB_db07,Papirindustri,Paper manufacturing,official='Manufacture of paper and paper products'  r=0.38
F10_diverge_official,LAB_db07_14500,LAB_db07,,[Unresolved DB07 code: 14500],official='Manufacture of wearing apparel'  r=0.17
F10_diverge_official,LAB_db07_16300,LAB_db07,,[Unresolved DB07 code: 16300],official='Manufacture of wood and of products of wood and co'  r=0.16
F10_diverge_official,LAB_db07_31200,LAB_db07,,[Unresolved DB07 code: 31200],official='Manufacture of furniture'  r=0.19
F10_diverge_official,LAB_db07_12300,LAB_db07,,[Unresolved DB07 code: 12300],official='Manufacture of tobacco products'  r=0.31
F10_diverge_official,LAB_db07_12100,LAB_db07,,[Unresolved DB07 code: 12100],official='Manufacture of tobacco products'  r=0.31
F10_diverge_official,LAB_db07_12600,LAB_db07,,[Unresolved DB07 code: 12600],official='Manufacture of tobacco products'  r=0.31
F10_diverge_official,LAB_db07_12200,LAB_db07,,[Unresolved DB07 code: 12200],official='Manufacture of tobacco products'  r=0.31
F10_diverge_official,LAB_db07_23000,LAB_db07,,[Unresolved DB07 code: 23000],official='Manufacture of other non-metallic mineral products'  r=0.23
F10_diverge_official,LAB_db07_11600,LAB_db07,,[Unresolved DB07 code: 11600],official='Manufacture of beverages'  r=0.27
F10_diverge_official,LAB_db07_14400,LAB_db07,,[Unresolved DB07 code: 14400],official='Manufacture of wearing apparel'  r=0.17
F10_diverge_official,LAB_db07_11200,LAB_db07,,[Unresolved DB07 code: 11200],official='Manufacture of beverages'  r=0.27
F10_diverge_official,LAB_db07_72900,LAB_db07,,[Unresolved DB07 code: 72900],official='Scientific research and development'  r=0.32
F10_diverge_official,LAB_db07_12700,LAB_db07,,[Unresolved DB07 code: 12700],official='Manufacture of tobacco products'  r=0.31
F10_diverge_official,LAB_db07_11400,LAB_db07,,[Unresolved DB07 code: 11400],official='Manufacture of beverages'  r=0.27
F10_diverge_official,LAB_db07_71000,LAB_db07,Arkitekter og rådgivende ingeniører,Architects and consulting engineers,official='Architectural and engineering activities; technica'  r=0.43
F10_diverge_official,LAB_db07_11500,LAB_db07,,[Unresolved DB07 code: 11500],official='Manufacture of beverages'  r=0.27
F10_diverge_official,LAB_nace_174020,LAB_nace,Fremstilling af boligtekstiler,Production of household textiles,"official='Manufacture of made-up textile articles, except ap'  r=0.40"
F10_diverge_official,LAB_nace_702010,LAB_nace,Almennyttige boligselskaber,Non-profit housing associations,official='Rental and operating of own or leased real estate'  r=0.35
F10_diverge_official,LAB_nace_514220,LAB_nace,Engroshandel med fodtøj,Footwear wholesale trade,official='Wholesale of clothing and footwear'  r=0.41
F10_diverge_official,LAB_nace_923200,LAB_nace,"Drift af teater- og koncertsale, kulturhuse mv.","Operation of theaters, concert halls, cultural centers etc.",official='Operation of arts facilities'  r=0.45
F10_diverge_official,LAB_nace_853225,LAB_nace,Aldersintegrerede institutioner,Age-integrated institutions,official='Child day-care activities'  r=0.31
F10_diverge_official,LAB_nace_802100,LAB_nace,"Gymnasier, studenter- og HF-kurser","High schools, student courses, and HF courses",official='General secondary education'  r=0.31
