# id	specialty_en	description_da	auto_en
1546	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, Væksthormon;P	Copenhagen GP Laboratory (KPLL), Væksthormon;p
1547	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, VævTr.Glut.IgA;P	Copenhagen GP Laboratory (KPLL), Vævtr.glut.iga;p
1548	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, VævTr.glut.IgG;P	Copenhagen GP Laboratory (KPLL), Vævtr.glut.igg;p
1562	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, Æble IgE;P	Copenhagen GP Laboratory (KPLL), Æble ige;p
1563	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, Æggeblomme IgE;P	Copenhagen GP Laboratory (KPLL), Æggeblomme ige;p
1564	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, Æggehvide IgE;P	Copenhagen GP Laboratory (KPLL), Æggehvide ige;p
1565	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, Ært IgE;P	Copenhagen GP Laboratory (KPLL), Ært ige;p
1566	Copenhagen GP Laboratory (KPLL)	Københavns Praktiserende Lægers Laboratorium, Ølgær IgE;P	Copenhagen GP Laboratory (KPLL), Ølgær ige;p
1575	Medical Laboratory	Medicinsk Laboratorium, B-KVIKSØLV 12	Medical Laboratory, B-kviksølv 12
1576	Medical Laboratory	Medicinsk Laboratorium, B-KVIKSØLV 21	Medical Laboratory, B-kviksølv 21
1617	Medical Laboratory	Medicinsk Laboratorium, Prøvetagning, 1 prøv	Medical Laboratory, Sample collection, 1 prøv
1701	Medical Laboratory	Medicinsk Laboratorium, S-VÆKSTHORMON	Medical Laboratory, S-væksthormon
1731	Regional laboratories	Omegnslaboratorier, B-Sænkningsreakt. 10	Regional laboratories, B-sænkningsreakt. 10
1742	Regional laboratories	Omegnslaboratorier, F-Helmintes-æg    16	Regional laboratories, F-helmintes-æg 16
1743	Regional laboratories	Omegnslaboratorier, F-Ormeæg og cyster	Regional laboratories, F-ormeæg and cyster
1758	Regional laboratories	Omegnslaboratorier, P-Anti-nukleæ. anti.	Regional laboratories, P-anti-nukleæ. anti.
1863	Regional laboratories	Omegnslaboratorier, Pt-Blodprøvetagn.  6	Regional laboratories, Pt-blodprøvetagn. 6
1868	Regional laboratories	Omegnslaboratorier, Pt-EEG(søvnrytme)240	Regional laboratories, Pt-eeg(søvnrytme)240
1875	Regional laboratories	Omegnslaboratorier, Pt-Hasteprøve     70	Regional laboratories, Pt-hasteprøve 70
1876	Regional laboratories	Omegnslaboratorier, Pt-Kapillærblødn. 10	Regional laboratories, Pt-kapillærblødn. 10
1883	Regional laboratories	Omegnslaboratorier, Pt-Videresend.prøv.4	Regional laboratories, Pt-videresend.prøv.4
1884	Regional laboratories	Omegnslaboratorier, Pt-kapillærresist.10	Regional laboratories, Pt-kapillærresist.10
1939	Statens Serum Institut	Statens Seruminstitut, Alfaføtoprotein (AF	Statens Serum Institut, Alfaføtoprotein (of
1943	Statens Serum Institut	Statens Seruminstitut, Alm.bakt.us., sårse	Statens Serum Institut, Alm.bakt.us., sårse
1946	Statens Serum Institut	Statens Seruminstitut, Alm.bakt.us., øvre	Statens Serum Institut, Alm.bakt.us., øvre
1960	Statens Serum Institut	Statens Seruminstitut, Antinucleære antist	Statens Serum Institut, Antinucleære antist
2001	Statens Serum Institut	Statens Seruminstitut, Cøliaki	Statens Serum Institut, Cøliaki
2002	Statens Serum Institut	Statens Seruminstitut, Cøliaki-vævstypeund	Statens Serum Institut, Cøliaki-vævstypeund
2018	Statens Serum Institut	Statens Seruminstitut, ENA i pakke (møn.8)	Statens Serum Institut, Ena i pakke (møn.8)
2023	Statens Serum Institut	Statens Seruminstitut, Endomysium i Cøliak	Statens Serum Institut, Endomysium i cøliak
2031	Statens Serum Institut	Statens Seruminstitut, Flåtpakke - 4 analy	Statens Serum Institut, Flåtpakke - 4 analy
2032	Statens Serum Institut	Statens Seruminstitut, Flåtpakke - Borreli	Statens Serum Institut, Flåtpakke - borreli
2034	Statens Serum Institut	Statens Seruminstitut, Fostervandsundersøg	Statens Serum Institut, Fostervandsundersøg
2047	Statens Serum Institut	Statens Seruminstitut, Gliadin i Cøliaki p	Statens Serum Institut, Gliadin i cøliaki p
2053	Statens Serum Institut	Statens Seruminstitut, Gær- og skimmelsvam	Statens Serum Institut, Gær- and skimmelsvam
2054	Statens Serum Institut	Statens Seruminstitut, Gærsvampe	Statens Serum Institut, Gærsvampe
2056	Statens Serum Institut	Statens Seruminstitut, HISTON i pakke (møn	Statens Serum Institut, Histon i pakke (møn
2095	Statens Serum Institut	Statens Seruminstitut, Hæmokromatose (HFE)	Statens Serum Institut, Hæmokromatose (hfe)
2097	Statens Serum Institut	Statens Seruminstitut, INF-g påvisning TB	Statens Serum Institut, Inf-g påvisning tb
2148	Statens Serum Institut	Statens Seruminstitut, Mæslinge vaccine 1	Statens Serum Institut, Mæslinge vaccine 1
2184	Statens Serum Institut	Statens Seruminstitut, Prøveforb. til viru	Statens Serum Institut, Prøveforb. to viru
2208	Statens Serum Institut	Statens Seruminstitut, SSA/SSB i pakke (mø	Statens Serum Institut, Ssa/ssb i pakke (mø
2265	Statens Serum Institut	Statens Seruminstitut, Tværstribet muskel	Statens Serum Institut, Tværstribet muskel
2269	Statens Serum Institut	Statens Seruminstitut, Urinprøvesæt, 10 st	Statens Serum Institut, Urinprøvesæt, 10 st
2282	Statens Serum Institut	Statens Seruminstitut, ds-DNA i pakke (møn	Statens Serum Institut, Ds-dna i pakke (møn
2285	Statens Serum Institut	Statens Seruminstitut, ¯-celle antistof (I	Statens Serum Institut, Ø-celle antibody (i
2286	Statens Serum Institut	Statens Seruminstitut, ¯-celle i Diabetes	Statens Serum Institut, Ø-celle i diabetes
2287	Statens Serum Institut	Statens Seruminstitut, ¯stradiol	Statens Serum Institut, Østradiol
2288	Statens Serum Institut	Statens Seruminstitut, ¯strogenstatus	Statens Serum Institut, Østrogenstatus
2289	Statens Serum Institut	Statens Seruminstitut, ¯strogenstatus excl	Statens Serum Institut, Østrogenstatus excl
2302	Dental hygienist service	Tandplejere, tandrensningunder 15 tænder	Dental hygienist service, Tandrensningunder 15 tænder
2303	Dental hygienist service	Tandplejere, tansrensning mindst 15 tænder	Dental hygienist service, Tansrensning mindst 15 tænder
2340	Diagnostic radiology	Diagnost. radiologi, Hals- og Luftrør	Diagnostic radiology, Hals- and luftrør
2350	Diagnostic radiology	Diagnost. radiologi, Intravenøs Cholangio	Diagnostic radiology, Intravenøs cholangio
2367	Diagnostic radiology	Diagnost. radiologi, Nedre abdomen, blære	Diagnostic radiology, Nedre abdomen, blære
2408	Diagnostic radiology	Diagnost. radiologi, ¯vre abdomen	Diagnostic radiology, Øvre abdomen
2424	Dental service	Tandlægehjælp, Hygiejnetillæg	Dental service, Hygiejnetillæg
2431	Dental service	Tandlægehjælp, Kli. undersø,over 25	Dental service, Kli. undersø,over 25
2432	Dental service	Tandlægehjælp, Klin.undersøge.18-25	Dental service, Klin.undersøge.18-25
2437	Dental service	Tandlægehjælp, Kontrol RDU (26år- )	Dental service, Follow-up rdu (26år- )
2438	Dental service	Tandlægehjælp, Kontrol RDU(18-25år)	Dental service, Follow-up rdu(18-25år)
2442	Dental service	Tandlægehjælp, Maximum 1 Måned 1704	Dental service, Maximum 1 måned 1704
2462	Dental service	Tandlægehjælp, Røntgenoptagelse	Dental service, Røntgenoptagelse
2467	Dental service	Tandlægehjælp, Udtrækn. Anden Tand	Dental service, Udtrækn. second tooth
2468	Dental service	Tandlægehjælp, Udtrækn. Flg. Tand	Dental service, Udtrækn. subsequent tooth
2469	Dental service	Tandlægehjælp, Udtrækning pr. tand	Dental service, Udtrækning per tooth
2478	Physiotherapy	Fysioterapi 51, ADL-funktionstræning	Physiotherapy, Adl-funktionstræning
2483	Physiotherapy	Fysioterapi 51, Forundersøgelse A65	Physiotherapy, Forundersøgelse a65
2499	Physiotherapy	Fysioterapi 51, Lokalegodtgørelse	Physiotherapy, Lokalegodtgørelse
2502	Physiotherapy	Fysioterapi 51, Ma-fr 16-20,lø 08-20	Physiotherapy, Ma-fr 16-20,lø 08-20
2503	Physiotherapy	Fysioterapi 51, Ma-fr 20-08,søn/hel	Physiotherapy, Ma-fr 20-08,søn/hel
2509	Physiotherapy	Fysioterapi 51, Opflg. træningstera.	Physiotherapy, Opflg. træningstera.
2517	Physiotherapy	Fysioterapi 51, Strækbehandling	Physiotherapy, Strækbehandling
2519	Physiotherapy	Fysioterapi 51, Tillæg særl.tidskr.	Physiotherapy, Supplement særl.tidskr.
2520	Physiotherapy	Fysioterapi 51, Tlf rådgiv og vejled	Physiotherapy, Tlf rådgiv and vejled
2523	Physiotherapy	Fysioterapi 51, forsøgsord. amt 65	Physiotherapy, Forsøgsord. amt 65
2526	Physiotherapy	Fysioterapi 51, ¯dembehandling	Physiotherapy, Ødembehandling
2527	Physiotherapy	Fysioterapi 51, ¯velsesterapi *hold*	Physiotherapy, Øvelsesterapi *hold*
2528	Physiotherapy	Fysioterapi 51, ¯velsesterapi *indv*	Physiotherapy, Øvelsesterapi *indv*
2530	Eyeglasses	Briller, Sfæ. 4.25 - 6.75	Eyeglasses, Sfæ. 4.25 - 6.75
2531	Eyeglasses	Briller, Sfæ. Plan Til 4.00	Eyeglasses, Sfæ. plan to 4.00
2532	Eyeglasses	Briller, Sfæ. Plan-4 Afstand	Eyeglasses, Sfæ. plan-4 afstand
2540	Chiropractic	Kiropraktik, Opfølg.træningsyd.	Chiropractic, Opfølg.træningsyd.
2543	Chiropractic	Kiropraktik, Suppl. røntgenunder.	Chiropractic, Suppl. røntgenunder.
2550	Chiropractic	Kiropraktik, røntgenteknisk us	Chiropractic, Røntgenteknisk us
2562	Podiatry	Fodterapi, Frem/påsæt 1 ny bøjl	Podiatry, Frem/attach 1 ny bøjl
2575	Podiatry	Fodterapi, Korrektion af 1bøjle	Podiatry, Correction of 1bøjle
2576	Podiatry	Fodterapi, Korrektion af 2bøjle	Podiatry, Correction of 2bøjle
2583	Podiatry	Fodterapi, Værkstedsmoduler	Podiatry, Værkstedsmoduler
2593	Orthonyxia	Ortonyxi, Frem/påsæt 1 ny bøjl	Orthonyxia, Frem/attach 1 ny bøjl
2595	Orthonyxia	Ortonyxi, Følg. modul (m.til.)	Orthonyxia, Følg. modul (m.to.)
2596	Orthonyxia	Ortonyxi, Følg. modul.(u.til.)	Orthonyxia, Følg. modul.(u.to.)
2602	Orthonyxia	Ortonyxi, Korrektion af 1bøjle	Orthonyxia, Correction of 1bøjle
2603	Orthonyxia	Ortonyxi, Korrektion af 2bøjle	Orthonyxia, Correction of 2bøjle
2650	Rehabilitation	Genoptræning, Øfeldt, Ved.fri optræ.1 time	Rehabilitation, Øfeldt, by.fri optræ.1 time
2651	Rehabilitation	Genoptræning, Øfeldt, Ved.fri optræ.? time	Rehabilitation, Øfeldt, by.fri optræ.? time
2671	Foot treatment, scar-tissue patients	Fodbehandling arvævspat., Værkstedstid v indlæ	Foot treatment, scar-tissue patients, Værkstedstid v indlæ
2687	Rheumatology	Reumatologi, Instr. øvelsesterapi	Rheumatology, Instr. øvelsesterapi
2692	Rheumatology	Reumatologi, Mikroskopi ledvæske	Rheumatology, Microscopy ledvæske
