family,code,suffix,own_label_da,own_label_en,own_conf,best_cross_family,best_cross_code,best_cross_label_da,best_cross_label_en,cooc_support,cooc_share,cooc_lift,recommended_label_da,recommended_label_en,recommended_source,recommended_confidence,cross_all,source
branche,LAB_branche_77_29013,77_29013,,,,nace,141200,,,761,0.9461,8280.075,,,none,none,"{""nace"": {""code"": ""141200"", ""n"": 761, ""share"": 0.9461, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_29020,77_29020,,,,nace,143000,,,15,1.0,458910.938,,,none,none,"{""nace"": {""code"": ""143000"", ""n"": 15, ""share"": 1.0, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_29030,77_29030,,,,nace,144000,,,273,0.9927,26124.671,,,none,none,"{""nace"": {""code"": ""144000"", ""n"": 273, ""share"": 0.9927, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_29090,77_29090,,,,nace,145000,,,893,0.5946,7796.567,,,none,none,"{""nace"": {""code"": ""145000"", ""n"": 893, ""share"": 0.5946, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_30000,77_30000,,,,,,,,,,,,,none,none,{},empirical_industry_crosswalk
branche,LAB_branche_77_30001,77_30001,,,,,,,,,,,,,none,none,{},empirical_industry_crosswalk
branche,LAB_branche_77_31111,77_31111,,,,nace,151110,,,30707,0.8732,221.857,,,none,none,"{""nace"": {""code"": ""151110"", ""n"": 30707, ""share"": 0.8732, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_31112,77_31112,,,,nace,151310,,,13736,0.3269,371.077,,,none,none,"{""nace"": {""code"": ""151310"", ""n"": 13736, ""share"": 0.3269, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_31113,77_31113,,,,nace,151120,,,3456,0.9907,1550.093,,,none,none,"{""nace"": {""code"": ""151120"", ""n"": 3456, ""share"": 0.9907, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_31114,77_31114,,,,,,,,,,,,,none,none,{},empirical_industry_crosswalk
branche,LAB_branche_77_31115,77_31115,,,,,,,,,,,,,none,none,{},empirical_industry_crosswalk
branche,LAB_branche_77_31116,77_31116,,,,nace,151130,,,2211,0.915,2874.728,,,none,none,"{""nace"": {""code"": ""151130"", ""n"": 2211, ""share"": 0.915, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_31117,77_31117,,,,nace,151200,,,8169,0.9597,855.617,,,none,none,"{""nace"": {""code"": ""151200"", ""n"": 8169, ""share"": 0.9597, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_31119,77_31119,,,,nace,151390,,,6439,0.7484,315.547,,,none,none,"{""nace"": {""code"": ""151390"", ""n"": 6439, ""share"": 0.7484, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_31121,77_31121,,,,nace,155110,,,22545,0.9325,303.565,,,none,none,"{""nace"": {""code"": ""155110"", ""n"": 22545, ""share"": 0.9325, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_31122,77_31122,,,,,,,,,,,,,none,none,{},empirical_industry_crosswalk
branche,LAB_branche_77_31123,77_31123,,,,nace,155120,,,3072,0.9993,1666.923,,,none,none,"{""nace"": {""code"": ""155120"", ""n"": 3072, ""share"": 0.9993, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_31124,77_31124,,,,nace,155200,,,4460,0.7249,1584.562,,,none,none,"{""nace"": {""code"": ""155200"", ""n"": 4460, ""share"": 0.7249, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_31130,77_31130,,,,nace,153200,,,6653,0.1919,975.335,,,none,none,"{""nace"": {""code"": ""153200"", ""n"": 6653, ""share"": 0.1919, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_31141,77_31141,,,,nace,152020,,,5116,0.9863,1287.715,,,none,none,"{""nace"": {""code"": ""152020"", ""n"": 5116, ""share"": 0.9863, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_31142,77_31142,,,,nace,152010,,,15984,0.9584,429.694,,,none,none,"{""nace"": {""code"": ""152010"", ""n"": 15984, ""share"": 0.9584, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_31151,77_31151,,,,nace,154200,,,1230,0.9171,5496.88,,,none,none,"{""nace"": {""code"": ""154200"", ""n"": 1230, ""share"": 0.9171, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_31152,77_31152,,,,nace,154300,,,849,0.9976,5740.813,,,none,none,"{""nace"": {""code"": ""154300"", ""n"": 849, ""share"": 0.9976, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_31153,77_31153,,,,nace,152030,,,1090,0.9963,6252.675,,,none,none,"{""nace"": {""code"": ""152030"", ""n"": 1090, ""share"": 0.9963, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_31154,77_31154,,,,nace,151140,,,3587,0.1338,2034.282,,,none,none,"{""nace"": {""code"": ""151140"", ""n"": 3587, ""share"": 0.1338, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_31160,77_31160,,,,nace,156100,,,1905,0.9921,3753.096,,,none,none,"{""nace"": {""code"": ""156100"", ""n"": 1905, ""share"": 0.9921, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_31171,77_31171,,,,nace,158110,,,8001,0.9968,858.601,,,none,none,"{""nace"": {""code"": ""158110"", ""n"": 8001, ""share"": 0.9968, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_31172,77_31172,,,,,,,,,,,,,none,none,{},empirical_industry_crosswalk
branche,LAB_branche_77_31173,77_31173,,,,nace,158200,,,8908,0.9608,767.672,,,none,none,"{""nace"": {""code"": ""158200"", ""n"": 8908, ""share"": 0.9608, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_31174,77_31174,,,,nace,158120,,,37869,0.9604,185.728,,,none,none,"{""nace"": {""code"": ""158120"", ""n"": 37869, ""share"": 0.9604, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_31179,77_31179,,,,nace,158500,,,234,0.9872,29227.578,,,none,none,"{""nace"": {""code"": ""158500"", ""n"": 234, ""share"": 0.9872, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_31180,77_31180,,,,nace,158300,,,7056,0.4714,1014.088,,,none,none,"{""nace"": {""code"": ""158300"", ""n"": 7056, ""share"": 0.4714, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_31190,77_31190,,,,nace,158400,,,10366,0.9658,693.237,,,none,none,"{""nace"": {""code"": ""158400"", ""n"": 10366, ""share"": 0.9658, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_31211,77_31211,,,,nace,156200,,,418,0.9976,13318.198,,,none,none,"{""nace"": {""code"": ""156200"", ""n"": 418, ""share"": 0.9976, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_31219,77_31219,,,,nace,158600,,,13412,0.0273,538.633,,,none,none,"{""nace"": {""code"": ""158600"", ""n"": 13412, ""share"": 0.0273, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_31220,77_31220,,,,nace,157120,,,2597,0.1055,2727.776,,,none,none,"{""nace"": {""code"": ""157120"", ""n"": 2597, ""share"": 0.1055, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_31224,77_31224,,,,,,,,,,,,,none,none,{},empirical_industry_crosswalk
branche,LAB_branche_77_31310,77_31310,,,,nace,159100,,,831,1.0,4600.611,,,none,none,"{""nace"": {""code"": ""159100"", ""n"": 831, ""share"": 1.0, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_31330,77_31330,,,,nace,159600,,,9508,0.9666,743.686,,,none,none,"{""nace"": {""code"": ""159600"", ""n"": 9508, ""share"": 0.9666, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_31340,77_31340,,,,nace,159800,,,4442,0.9941,1553.436,,,none,none,"{""nace"": {""code"": ""159800"", ""n"": 4442, ""share"": 0.9941, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_31400,77_31400,,,,nace,160000,,,2486,0.994,2883.553,,,none,none,"{""nace"": {""code"": ""160000"", ""n"": 2486, ""share"": 0.994, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_32111,77_32111,,,,nace,171000,,,1108,0.9061,6324.506,,,none,none,"{""nace"": {""code"": ""171000"", ""n"": 1108, ""share"": 0.9061, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_32112,77_32112,,,,nace,172000,,,1409,1.0,1936.333,,,none,none,"{""nace"": {""code"": ""172000"", ""n"": 1409, ""share"": 1.0, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_32113,77_32113,,,,,,,,,,,,,none,none,{},empirical_industry_crosswalk
branche,LAB_branche_77_32114,77_32114,,,,nace,172000,,,1935,0.8941,1731.192,,,none,none,"{""nace"": {""code"": ""172000"", ""n"": 1935, ""share"": 0.8941, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_32115,77_32115,,,,,,,,,,,,,none,none,{},empirical_industry_crosswalk
branche,LAB_branche_77_32116,77_32116,,,,,,,,,,,,,none,none,{},empirical_industry_crosswalk
branche,LAB_branche_77_32117,77_32117,,,,nace,173000,,,2874,0.952,2360.692,,,none,none,"{""nace"": {""code"": ""173000"", ""n"": 2874, ""share"": 0.952, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_32121,77_32121,,,,,,,,,,,,,none,none,{},empirical_industry_crosswalk
branche,LAB_branche_77_32122,77_32122,,,,,,,,,,,,,none,none,{},empirical_industry_crosswalk
branche,LAB_branche_77_32123,77_32123,,,,nace,174010,,,2778,0.9647,2273.283,,,none,none,"{""nace"": {""code"": ""174010"", ""n"": 2778, ""share"": 0.9647, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_32124,77_32124,,,,,,,,,,,,,none,none,{},empirical_industry_crosswalk
branche,LAB_branche_77_32129,77_32129,,,,nace,174020,,,6499,0.8241,1069.875,,,none,none,"{""nace"": {""code"": ""174020"", ""n"": 6499, ""share"": 0.8241, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_32130,77_32130,,,,nace,177100,,,8320,0.0661,851.555,,,none,none,"{""nace"": {""code"": ""177100"", ""n"": 8320, ""share"": 0.0661, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_32140,77_32140,,,,nace,175100,,,1926,0.9958,3650.562,,,none,none,"{""nace"": {""code"": ""175100"", ""n"": 1926, ""share"": 0.9958, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_32151,77_32151,,,,nace,175210,,,454,0.9714,13984.951,,,none,none,"{""nace"": {""code"": ""175210"", ""n"": 454, ""share"": 0.9714, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_32152,77_32152,,,,nace,175220,,,870,0.9586,8044.279,,,none,none,"{""nace"": {""code"": ""175220"", ""n"": 870, ""share"": 0.9586, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_32190,77_32190,,,,nace,175400,,,2648,0.935,2541.888,,,none,none,"{""nace"": {""code"": ""175400"", ""n"": 2648, ""share"": 0.935, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_32211,77_32211,,,,nace,182220,,,4771,0.4236,1504.024,,,none,none,"{""nace"": {""code"": ""182220"", ""n"": 4771, ""share"": 0.4236, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_32212,77_32212,,,,nace,182230,,,4569,1.0,635.666,,,none,none,"{""nace"": {""code"": ""182230"", ""n"": 4569, ""share"": 1.0, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_32213,77_32213,,,,nace,182210,,,1113,0.982,6375.449,,,none,none,"{""nace"": {""code"": ""182210"", ""n"": 1113, ""share"": 0.982, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_32214,77_32214,,,,nace,182310,,,799,0.9937,8898.325,,,none,none,"{""nace"": {""code"": ""182310"", ""n"": 799, ""share"": 0.9937, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_32215,77_32215,,,,,,,,,,,,,none,none,{},empirical_industry_crosswalk
branche,LAB_branche_77_32219,77_32219,,,,nace,182490,,,6067,0.4833,1150.226,,,none,none,"{""nace"": {""code"": ""182490"", ""n"": 6067, ""share"": 0.4833, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_32291,77_32291,,,,,,,,,,,,,none,none,{},empirical_industry_crosswalk
branche,LAB_branche_77_32292,77_32292,,,,nace,182230,,,7355,0.8893,565.315,,,none,none,"{""nace"": {""code"": ""182230"", ""n"": 7355, ""share"": 0.8893, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_32293,77_32293,,,,,,,,,,,,,none,none,{},empirical_industry_crosswalk
branche,LAB_branche_77_32294,77_32294,,,,nace,183000,,,443,0.833,9087.742,,,none,none,"{""nace"": {""code"": ""183000"", ""n"": 443, ""share"": 0.833, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_32295,77_32295,,,,,,,,,,,,,none,none,{},empirical_industry_crosswalk
branche,LAB_branche_77_32296,77_32296,,,,,,,,,,,,,none,none,{},empirical_industry_crosswalk
branche,LAB_branche_77_32299,77_32299,,,,,,,,,,,,,none,none,{},empirical_industry_crosswalk
branche,LAB_branche_77_32310,77_32310,,,,nace,191000,,,652,0.9479,10544.97,,,none,none,"{""nace"": {""code"": ""191000"", ""n"": 652, ""share"": 0.9479, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_32320,77_32320,,,,nace,183000,,,224,1.0,10910.215,,,none,none,"{""nace"": {""code"": ""183000"", ""n"": 224, ""share"": 1.0, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_32330,77_32330,,,,nace,192000,,,931,0.9119,7374.296,,,none,none,"{""nace"": {""code"": ""192000"", ""n"": 931, ""share"": 0.9119, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_32401,77_32401,,,,nace,193010,,,2606,0.9985,2589.652,,,none,none,"{""nace"": {""code"": ""193010"", ""n"": 2606, ""share"": 0.9985, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_32402,77_32402,,,,nace,193010,,,82,0.7805,2024.299,,,none,none,"{""nace"": {""code"": ""193010"", ""n"": 82, ""share"": 0.7805, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_32403,77_32403,,,,nace,193020,,,356,0.9551,18357.517,,,none,none,"{""nace"": {""code"": ""193020"", ""n"": 356, ""share"": 0.9551, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_32409,77_32409,,,,,,,,,,,,,none,none,{},empirical_industry_crosswalk
branche,LAB_branche_77_33111,77_33111,,,,nace,201010,,,5391,0.9226,1229.513,,,none,none,"{""nace"": {""code"": ""201010"", ""n"": 5391, ""share"": 0.9226, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_33112,77_33112,,,,nace,201020,,,670,0.894,10052.804,,,none,none,"{""nace"": {""code"": ""201020"", ""n"": 670, ""share"": 0.894, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_33113,77_33113,,,,nace,202000,,,4380,0.9404,1597.649,,,none,none,"{""nace"": {""code"": ""202000"", ""n"": 4380, ""share"": 0.9404, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_33114,77_33114,,,,nace,203030,,,23037,0.1069,304.158,,,none,none,"{""nace"": {""code"": ""203030"", ""n"": 23037, ""share"": 0.1069, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_33121,77_33121,,,,nace,204000,,,2472,0.9381,2789.842,,,none,none,"{""nace"": {""code"": ""204000"", ""n"": 2472, ""share"": 0.9381, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_33122,77_33122,,,,,,,,,,,,,none,none,{},empirical_industry_crosswalk
branche,LAB_branche_77_33123,77_33123,,,,nace,205200,,,106,0.8585,68516.645,,,none,none,"{""nace"": {""code"": ""205200"", ""n"": 106, ""share"": 0.8585, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_33191,77_33191,,,,nace,205190,,,4359,0.961,1573.643,,,none,none,"{""nace"": {""code"": ""205190"", ""n"": 4359, ""share"": 0.961, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_33192,77_33192,,,,nace,203010,,,827,0.9541,8491.139,,,none,none,"{""nace"": {""code"": ""203010"", ""n"": 827, ""share"": 0.9541, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_33193,77_33193,,,,nace,205110,,,780,0.9436,8859.819,,,none,none,"{""nace"": {""code"": ""205110"", ""n"": 780, ""share"": 0.9436, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_33194,77_33194,,,,,,,,,,,,,none,none,{},empirical_industry_crosswalk
branche,LAB_branche_77_33195,77_33195,,,,,,,,,,,,,none,none,{},empirical_industry_crosswalk
branche,LAB_branche_77_33196,77_33196,,,,,,,,,,,,,none,none,{},empirical_industry_crosswalk
branche,LAB_branche_77_33197,77_33197,,,,nace,205120,,,209,0.9761,33806.204,,,none,none,"{""nace"": {""code"": ""205120"", ""n"": 209, ""share"": 0.9761, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_33201,77_33201,,,,nace,361110,,,56904,0.2177,122.942,,,none,none,"{""nace"": {""code"": ""361110"", ""n"": 56904, ""share"": 0.2177, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_33202,77_33202,,,,nace,361120,,,1678,0.8683,4225.0,,,none,none,"{""nace"": {""code"": ""361120"", ""n"": 1678, ""share"": 0.8683, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_33203,77_33203,,,,nace,361500,,,1537,0.9941,4625.843,,,none,none,"{""nace"": {""code"": ""361500"", ""n"": 1537, ""share"": 0.9941, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_33209,77_33209,,,,nace,361490,,,769,0.7971,9410.055,,,none,none,"{""nace"": {""code"": ""361490"", ""n"": 769, ""share"": 0.7971, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_34110,77_34110,,,,nace,211200,,,2818,0.9911,2512.926,,,none,none,"{""nace"": {""code"": ""211200"", ""n"": 2818, ""share"": 0.9911, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_34120,77_34120,,,,nace,212100,,,15014,0.7344,446.748,,,none,none,"{""nace"": {""code"": ""212100"", ""n"": 15014, ""share"": 0.7344, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_34154,77_34154,,,,,,,,,,,,,none,none,{},empirical_industry_crosswalk
branche,LAB_branche_77_34191,77_34191,,,,nace,212400,,,157,1.0,46471.994,,,none,none,"{""nace"": {""code"": ""212400"", ""n"": 157, ""share"": 1.0, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_34199,77_34199,,,,nace,212310,,,5541,0.0776,1292.082,,,none,none,"{""nace"": {""code"": ""212310"", ""n"": 5541, ""share"": 0.0776, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_34211,77_34211,,,,nace,222410,,,6187,0.9677,1121.228,,,none,none,"{""nace"": {""code"": ""222410"", ""n"": 6187, ""share"": 0.9677, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_34212,77_34212,,,,nace,222420,,,653,0.9372,10702.264,,,none,none,"{""nace"": {""code"": ""222420"", ""n"": 653, ""share"": 0.9372, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_34221,77_34221,,,,nace,222210,,,16683,0.9582,421.33,,,none,none,"{""nace"": {""code"": ""222210"", ""n"": 16683, ""share"": 0.9582, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_34222,77_34222,,,,nace,222220,,,12713,0.8802,545.028,,,none,none,"{""nace"": {""code"": ""222220"", ""n"": 12713, ""share"": 0.8802, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_34223,77_34223,,,,nace,222230,,,1392,0.9526,5094.272,,,none,none,"{""nace"": {""code"": ""222230"", ""n"": 1392, ""share"": 0.9526, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_34224,77_34224,,,,,,,,,,,,,none,none,{},empirical_industry_crosswalk
branche,LAB_branche_77_34229,77_34229,,,,nace,222100,,,10994,0.1768,640.524,,,none,none,"{""nace"": {""code"": ""222100"", ""n"": 10994, ""share"": 0.1768, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_34230,77_34230,,,,nace,222300,,,3982,0.9754,1730.338,,,none,none,"{""nace"": {""code"": ""222300"", ""n"": 3982, ""share"": 0.9754, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_34240,77_34240,,,,nace,221220,,,56274,0.3258,126.465,,,none,none,"{""nace"": {""code"": ""221220"", ""n"": 56274, ""share"": 0.3258, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_34244,77_34244,,,,,,,,,,,,,none,none,{},empirical_industry_crosswalk
branche,LAB_branche_77_34291,77_34291,,,,nace,221110,,,11025,0.174,629.249,,,none,none,"{""nace"": {""code"": ""221110"", ""n"": 11025, ""share"": 0.174, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_34292,77_34292,,,,nace,221320,,,9888,0.6805,597.273,,,none,none,"{""nace"": {""code"": ""221320"", ""n"": 9888, ""share"": 0.6805, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_34293,77_34293,,,,nace,221330,,,36274,0.0658,196.495,,,none,none,"{""nace"": {""code"": ""221330"", ""n"": 36274, ""share"": 0.0658, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_34299,77_34299,,,,nace,222500,,,7120,0.0923,944.963,,,none,none,"{""nace"": {""code"": ""222500"", ""n"": 7120, ""share"": 0.0923, ""label_da"": """"}}",empirical_industry_crosswalk
branche,LAB_branche_77_35111,77_35111,,,,nace,241100,,,1174,0.9804,6059.533,,,none,none,"{""nace"": {""code"": ""241100"", ""n"": 1174, ""share"": 0.9804, ""label_da"": """"}}",empirical_industry_crosswalk
