code,prefix,database,value,description,description_da,description_da_alt,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level
EDU_field_582010,EDU,field,582010,Maleruddannelser,Maleruddannelser,,Painter programmes,,,translated,raw_edu_field,medium,danish,,
EDU_field_573510,EDU,field,573510,Smede- og svejseuddannelser,Smede- og svejseuddannelser,,Blacksmithing and Forging Training,,,translated,raw_edu_field,medium,danish,,
EDU_field_601515,EDU,field,601515,Landmand mv.,Landmand mv.,,Farmer etc.,,,translated,raw_edu_field,medium,danish,,
EDU_field_553015,EDU,field,553015,Elektrikeruddannelser,Elektrikeruddannelser,,Electrician programmes,,,translated,raw_edu_field,medium,danish,,
EDU_field_553030,EDU,field,553030,El- og energiforsyningsteknik i øvrigt,El- og energiforsyningsteknik i øvrigt,,Other Electrical and Energy Supply Engineering,,,translated,raw_edu_field,medium,danish,,
EDU_field_801520,EDU,field,801520,"Skibsassistent, skibsfører","Skibsassistent, skibsfører",,"Ship Assistant, Ship Master",,,translated,raw_edu_field,medium,danish,,
EDU_field_651010,EDU,field,651010,Social og sundhed u.n.a.,Social og sundhed u.n.a.,,Social and Health Services etc.,,,translated,raw_edu_field,medium,danish,,
EDU_field_702515,EDU,field,702515,"Gastronomi, køkken og catering","Gastronomi, køkken og catering",,"Gastronomy, kitchen and catering",,,translated,raw_edu_field,medium,danish,,
EDU_field_656015,EDU,field,656015,Social- og sundhedsassistance,Social- og sundhedsassistance,,Social and health assistance,,,translated,raw_edu_field,medium,danish,,
EDU_field_403010,EDU,field,403010,Markedsføring og reklame,Markedsføring og reklame,,Marketing and advertising,,,translated,raw_edu_field,medium,danish,,
EDU_field_204015,EDU,field,204015,Underviser i ikke-almene specialefag,Underviser i ikke-almene specialefag,,Teacher of non-compulsory special subjects,,,translated,raw_edu_field,medium,danish,,
EDU_field_602025,EDU,field,602025,Væksthusgartneri,Væksthusgartneri,,Greenhouse gardening,,,translated,raw_edu_field,medium,danish,,
EDU_field_459010,EDU,field,459010,Matematik-økonomi,Matematik-økonomi,,Mathematics-economics,,,translated,raw_edu_field,medium,danish,,
EDU_field_573020,EDU,field,573020,"Maskinteknik, konstruktion og udvikling","Maskinteknik, konstruktion og udvikling",,"Machine engineering, construction and development",,,translated,raw_edu_field,medium,danish,,
EDU_field_405010,EDU,field,405010,Jura og erhvervsret,Jura og erhvervsret,,Law and commercial law,,,translated,raw_edu_field,medium,danish,,
EDU_field_352010,EDU,field,352010,Statskundskab mv.,Statskundskab mv.,,Political science etc.,,,translated,raw_edu_field,medium,danish,,
EDU_field_582045,EDU,field,582045,Bygningskonstruktøruddannelser mv.,Bygningskonstruktøruddannelser mv.,,Building constructor educations etc.,,,translated,raw_edu_field,medium,danish,,
EDU_field_581510,EDU,field,581510,Arkitektur og bygningsdesign,Arkitektur og bygningsdesign,,Architecture and building design,,,translated,raw_edu_field,medium,danish,,
EDU_field_271010,EDU,field,271010,Grafisk-tekniske uddannelser u.n.a.,Grafisk-tekniske uddannelser u.n.a.,,Graphic-technical programs n.a.,,,translated,raw_edu_field,medium,danish,,
EDU_field_703510,EDU,field,703510,"Service, tværfaglige uddannelser","Service, tværfaglige uddannelser",,"Service, interdisciplinary programs",,,translated,raw_edu_field,medium,danish,,
EDU_field_656520,EDU,field,656520,Socialpædagoguddannelser,Socialpædagoguddannelser,,Social pedagogy programs,,,translated,raw_edu_field,medium,danish,,
EDU_field_351510,EDU,field,351510,Samfundsøkonomi,Samfundsøkonomi,,Social economics,,,translated,raw_edu_field,medium,danish,,
EDU_field_582035,EDU,field,582035,Vejbygning og -belægning,Vejbygning og -belægning,,Road construction and surfacing,,,translated,raw_edu_field,medium,danish,,
EDU_field_555020,EDU,field,555020,Kødbranchen,Kødbranchen,,Meat industry,,,translated,raw_edu_field,medium,danish,,
EDU_field_555075,EDU,field,555075,Sadelmageri og auto/møbel polstring,Sadelmageri og auto/møbel polstring,,Saddlery and automotive/furniture upholstery,,,translated,raw_edu_field,medium,danish,,
EDU_field_555090,EDU,field,555090,"Produktfremstilling og proces, tværfaglige uddannelser","Produktfremstilling og proces, tværfaglige uddannelser",,"Product manufacturing and process, interdisciplinary programs",,,translated,raw_edu_field,medium,danish,,
EDU_field_654530,EDU,field,654530,Sundhed og ernæring,Sundhed og ernæring,,Health and nutrition,,,translated,raw_edu_field,medium,danish,,
EDU_field_501015,EDU,field,501015,Programmering og softwareudvikling,Programmering og softwareudvikling,,Programming and software development,,,translated,raw_edu_field,medium,danish,,
EDU_field_601520,EDU,field,601520,"Landbrug, driftsledelse","Landbrug, driftsledelse",,"Agriculture, farm management",,,translated,raw_edu_field,medium,danish,,
EDU_field_654515,EDU,field,654515,Ergo- og fysioterapi,Ergo- og fysioterapi,,Occupational and physical therapy,,,translated,raw_edu_field,medium,danish,,
EDU_field_582050,EDU,field,582050,Bygnings- og anlægsingeniøruddannelser,Bygnings- og anlægsingeniøruddannelser,,Building and construction engineering programs,,,translated,raw_edu_field,medium,danish,,
EDU_field_401510,EDU,field,401510,Regnskab og revision,Regnskab og revision,,Accounting and auditing,,,translated,raw_edu_field,medium,danish,,
EDU_field_581010,EDU,field,581010,Bygge- og anlægsteknik u.n.a.,Bygge- og anlægsteknik u.n.a.,,Construction and building technology n.e.c.,,,translated,raw_edu_field,medium,danish,,
EDU_field_553025,EDU,field,553025,Energiteknologi,Energiteknologi,,Energiteknologi,,,copy-of-da,raw_edu_field,medium,danish,,
EDU_field_652525,EDU,field,652525,Sygepleje og sygeplejevidenskab,Sygepleje og sygeplejevidenskab,,Nursing and nursing science,,,translated,raw_edu_field,medium,danish,,
EDU_field_582020,EDU,field,582020,Tømrer- og bygningssnedkeruddannelser,Tømrer- og bygningssnedkeruddannelser,,Carpentry and building joinery programs,,,translated,raw_edu_field,medium,danish,,
EDU_field_451510,EDU,field,451510,"Biologi, almen biologi","Biologi, almen biologi",,"Biology, general biology",,,translated,raw_edu_field,medium,danish,,
EDU_field_409020,EDU,field,409020,Erhvervsøkonomi med it og informatik,Erhvervsøkonomi med it og informatik,,Business administration with IT and informatics,,,translated,raw_edu_field,medium,danish,,
EDU_field_501095,EDU,field,501095,"Informations- og kommunikationsteknologi, tværfaglige i øvrigt","Informations- og kommunikationsteknologi, tværfaglige i øvrigt",,"Information and communication technologies, interdisciplinary in other fields",,,translated,raw_edu_field,medium,danish,,
EDU_field_555084,EDU,field,555084,Proces- og kvalitetsstyring u.n.a.,Proces- og kvalitetsstyring u.n.a.,,Process and Quality Management NEC,,,translated,raw_edu_field,medium,danish,,
EDU_field_451010,EDU,field,451010,Naturvidenskab u.n.a.,Naturvidenskab u.n.a.,,Natural Sciences NEC,,,translated,raw_edu_field,medium,danish,,
EDU_field_501025,EDU,field,501025,Datalogi,Datalogi,,Computer science,,,translated,raw_edu_field,medium,danish,,
EDU_field_257415,EDU,field,257415,"Engelsk-spansk, erhvervssproglig","Engelsk-spansk, erhvervssproglig",,"English-Spanish, Business Language",,,translated,raw_edu_field,medium,danish,,
EDU_field_574510,EDU,field,574510,"Mekanik, jern og metal, tværfaglige uddannelser","Mekanik, jern og metal, tværfaglige uddannelser",,"Mechanics, Iron and Metal, Interdisciplinary Programs",,,translated,raw_edu_field,medium,danish,,
EDU_field_258010,EDU,field,258010,Litteraturvidenskab,Litteraturvidenskab,,Literature,,,translated,raw_edu_field,medium,danish,,
EDU_field_571510,EDU,field,571510,Gas- og vvs-teknik,Gas- og vvs-teknik,,Gas and Water Supply Technology,,,translated,raw_edu_field,medium,danish,,
EDU_field_582015,EDU,field,582015,Mureruddannelser,Mureruddannelser,,Murer programmes,,,translated,raw_edu_field,medium,danish,,
EDU_field_581525,EDU,field,581525,Landskabsarkitektur og -forvaltning,Landskabsarkitektur og -forvaltning,,Landscape Architecture and Management,,,translated,raw_edu_field,medium,danish,,
EDU_field_651520,EDU,field,651520,Tandlæge og specialtandlæge,Tandlæge og specialtandlæge,,Dentistry and Specialist Dentistry,,,translated,raw_edu_field,medium,danish,,
EDU_field_257410,EDU,field,257410,"Engelsk-tysk, erhvervssproglig","Engelsk-tysk, erhvervssproglig",,"English-German, Business Language",,,translated,raw_edu_field,medium,danish,,
EDU_field_582055,EDU,field,582055,Øvrige bygge- og anlægsuddannelser,Øvrige bygge- og anlægsuddannelser,,Other Construction and Installation Programs,,,translated,raw_edu_field,medium,danish,,
EDU_field_555088,EDU,field,555088,"Teknisk assistent, industri og byggeri","Teknisk assistent, industri og byggeri",,"Technical Assistant, Industry and Construction",,,translated,raw_edu_field,medium,danish,,
EDU_field_702020,EDU,field,702020,Frisøruddannelser,Frisøruddannelser,,Beauty salon courses,,,translated,raw_edu_field,medium,danish,,
EDU_field_555030,EDU,field,555030,"Proces- og kvalitetsstyring, fødevarer","Proces- og kvalitetsstyring, fødevarer",,"Process and quality control, food products",,,translated,raw_edu_field,medium,danish,,
EDU_field_602015,EDU,field,602015,Anlægsgartneri,Anlægsgartneri,,Landscape gardening,,,translated,raw_edu_field,medium,danish,,
EDU_field_409015,EDU,field,409015,Erhvervsøkonomi med sprog og kommunikation,Erhvervsøkonomi med sprog og kommunikation,,Business economics with language and communication,,,translated,raw_edu_field,medium,danish,,
EDU_field_404025,EDU,field,404025,Indkøb og afsætning i engros- og detailhandlen,Indkøb og afsætning i engros- og detailhandlen,,Purchasing and sales in wholesale and retail trade,,,translated,raw_edu_field,medium,danish,,
EDU_field_601530,EDU,field,601530,Jordbrugsvidenskab,Jordbrugsvidenskab,,Agronomy,,,translated,raw_edu_field,medium,danish,,
EDU_field_553520,EDU,field,553520,"Tele-, data- og it-teknologi mv.","Tele-, data- og it-teknologi mv.",,"Telecommunications, data and IT technology etc.",,,translated,raw_edu_field,medium,danish,,
EDU_field_653510,EDU,field,653510,Audiologi- og neurofysiologiassistenter,Audiologi- og neurofysiologiassistenter,,Audiology and neurophysiology assistants,,,translated,raw_edu_field,medium,danish,,
EDU_field_257610,EDU,field,257610,"Erhverssprog, sprog uoplyst","Erhverssprog, sprog uoplyst",,"Business languages, language unspecified",,,translated,raw_edu_field,medium,danish,,
EDU_field_751515,EDU,field,751515,Politi,Politi,,Politi,,,copy-of-da,raw_edu_field,medium,danish,,
EDU_field_255210,EDU,field,255210,Engelsk,Engelsk,,English,,,translated,raw_edu_field,medium,danish,,
EDU_field_552015,EDU,field,552015,Kemisk teknik og industri,Kemisk teknik og industri,,Chemical engineering and industry,,,translated,raw_edu_field,medium,danish,,
EDU_field_355510,EDU,field,355510,Bibliotekskundskab,Bibliotekskundskab,,Library science,,,translated,raw_edu_field,medium,danish,,
EDU_field_575010,EDU,field,575010,Plastindustri,Plastindustri,,Plastindustri,,,copy-of-da,raw_edu_field,medium,danish,,
EDU_field_553515,EDU,field,553515,Automatik og proces,Automatik og proces,,Automation and process control,,,translated,raw_edu_field,medium,danish,,
EDU_field_501090,EDU,field,501090,"IT og elektronik, tværfaglige uddannelser","IT og elektronik, tværfaglige uddannelser",,"IT and electronics, interdisciplinary programs",,,translated,raw_edu_field,medium,danish,,
EDU_field_555025,EDU,field,555025,Bageri og konfekture,Bageri og konfekture,,Bakery and confectionery,,,translated,raw_edu_field,medium,danish,,
EDU_field_652520,EDU,field,652520,Sundhedspleje og sundhedsvidenskab,Sundhedspleje og sundhedsvidenskab,,Health care and health sciences,,,translated,raw_edu_field,medium,danish,,
EDU_field_553010,EDU,field,553010,El- og energiforsyningsteknik u.n.a.,El- og energiforsyningsteknik u.n.a.,,Electrical and energy supply technology n.e.c.,,,translated,raw_edu_field,medium,danish,,
EDU_field_601510,EDU,field,601510,Landbrug u.n.a.,Landbrug u.n.a.,,"Agriculture, unspecified",,,translated,raw_edu_field,medium,danish,,
EDU_field_409010,EDU,field,409010,Erhvervsøkonomi med jura,Erhvervsøkonomi med jura,,Business economics with law,,,translated,raw_edu_field,medium,danish,,
EDU_field_257810,EDU,field,257810,Dansk,Dansk,,Danish,,,translated,raw_edu_field,medium,danish,,
EDU_field_572510,EDU,field,572510,"Cykel-, knallert- og motorcykelmekanik","Cykel-, knallert- og motorcykelmekanik",,"Bicycle, air rifle, and motorcycle mechanics",,,translated,raw_edu_field,medium,danish,,
EDU_field_404030,EDU,field,404030,Logistik mv. i engros- og detailhandlen,Logistik mv. i engros- og detailhandlen,,Logistics etc. in wholesale and retail trade,,,translated,raw_edu_field,medium,danish,,
EDU_field_651510,EDU,field,651510,Tandpleje og assistance i tandklinik,Tandpleje og assistance i tandklinik,,Dental hygiene and assistance in dental clinics,,,translated,raw_edu_field,medium,danish,,
EDU_field_574025,EDU,field,574025,Entreprenør- og landbrugsmaskiner,Entreprenør- og landbrugsmaskiner,,Entrepreneurship and agricultural machinery,,,translated,raw_edu_field,medium,danish,,
EDU_field_455010,EDU,field,455010,Geografi,Geografi,,Geography,,,translated,raw_edu_field,medium,danish,,
EDU_field_251010,EDU,field,251010,Humanistisk u.n.a.,Humanistisk u.n.a.,,Humanistisk u.n.a.,,,copy-of-da,raw_edu_field,medium,danish,,
EDU_field_402510,EDU,field,402510,Offentlig- og privat administration og ledelse,Offentlig- og privat administration og ledelse,,Public and private administration and management,,,translated,raw_edu_field,medium,danish,,
EDU_field_251515,EDU,field,251515,Religion og religionsvidenskab,Religion og religionsvidenskab,,Religion and Religious Studies,,,translated,raw_edu_field,medium,danish,,
EDU_field_801530,EDU,field,801530,Maskinist,Maskinist,,Engine operator,,,translated,raw_edu_field,medium,danish,,
EDU_field_654520,EDU,field,654520,Fodterapi,Fodterapi,,Fodterapi,,,copy-of-da,raw_edu_field,medium,danish,,
EDU_field_572015,EDU,field,572015,Finmekanik i øvrigt,Finmekanik i øvrigt,,"Precision Mechanics, various",,,translated,raw_edu_field,medium,danish,,
EDU_field_304010,EDU,field,304010,Musikuddannelse u.n.a.,Musikuddannelse u.n.a.,,"Music Education, various",,,translated,raw_edu_field,medium,danish,,
EDU_field_271015,EDU,field,271015,"Grafisk, mediegrafik","Grafisk, mediegrafik",,"Graphic, mediegrafik",,,translated,raw_edu_field,medium,danish,,
EDU_field_271030,EDU,field,271030,"Grafisk, bogbinderi","Grafisk, bogbinderi",,"Graphic, bogbinderi",,,translated,raw_edu_field,medium,danish,,
EDU_field_253510,EDU,field,253510,Konserverings- og restaureringsteknik,Konserverings- og restaureringsteknik,,Conservation and Restoration Techniques,,,translated,raw_edu_field,medium,danish,,
EDU_field_253515,EDU,field,253515,Konservatoruddannelse,Konservatoruddannelse,,Konservator programme,,,translated,raw_edu_field,medium,danish,,
EDU_field_573035,EDU,field,573035,Værktøjsteknik,Værktøjsteknik,,Tool Technology,,,translated,raw_edu_field,medium,danish,,
EDU_field_701515,EDU,field,701515,Bygningsservice,Bygningsservice,,Building services,,,translated,raw_edu_field,medium,danish,,
EDU_field_654010,EDU,field,654010,Bioanalyse mv.,Bioanalyse mv.,,"Bioanalysis, etc.",,,translated,raw_edu_field,medium,danish,,
EDU_field_657015,EDU,field,657015,Erhvervsvejledning og personlig rådgivning mv.,Erhvervsvejledning og personlig rådgivning mv.,,"Career Guidance and Personal Counseling, etc.",,,translated,raw_edu_field,medium,danish,,
EDU_field_803020,EDU,field,803020,"Chauffør, persontransport","Chauffør, persontransport",,"Driver, Passenger Transport",,,translated,raw_edu_field,medium,danish,,
EDU_field_702525,EDU,field,702525,Tjeneruddannelser,Tjeneruddannelser,,Tjener programmes,,,translated,raw_edu_field,medium,danish,,
EDU_field_555055,EDU,field,555055,"Proces- og kvalitetsstyring, non-food produkter","Proces- og kvalitetsstyring, non-food produkter",,"Process and Quality Control, Non-Food Products",,,translated,raw_edu_field,medium,danish,,
EDU_field_602515,EDU,field,602515,"Jordbrug, tværfaglige uddannelser i øvrigt","Jordbrug, tværfaglige uddannelser i øvrigt",,"Agriculture, Interdisciplinary Programs, various",,,translated,raw_edu_field,medium,danish,,
EDU_field_602020,EDU,field,602020,Produktionsgartneri,Produktionsgartneri,,Production horticulture,,,translated,raw_edu_field,medium,danish,,
EDU_field_574035,EDU,field,574035,Flyteknik,Flyteknik,,Aeronautical engineering,,,translated,raw_edu_field,medium,danish,,
EDU_field_257425,EDU,field,257425,"Engelsk-fransk, erhvervssproglig","Engelsk-fransk, erhvervssproglig",,"English-French, vocational language",,,translated,raw_edu_field,medium,danish,,
EDU_field_257210,EDU,field,257210,"Engelsk, erhvervssproglig","Engelsk, erhvervssproglig",,"English, vocational language",,,translated,raw_edu_field,medium,danish,,
EDU_field_404020,EDU,field,404020,Handel med fast ejendom,Handel med fast ejendom,,Real estate trade,,,translated,raw_edu_field,medium,danish,,
EDU_field_555065,EDU,field,555065,Tekstil- og beklædningsindustri,Tekstil- og beklædningsindustri,,Textile and clothing industry,,,translated,raw_edu_field,medium,danish,,
EDU_field_351010,EDU,field,351010,Samfundsvidenskab u.n.a.,Samfundsvidenskab u.n.a.,,Social sciences NEC,,,translated,raw_edu_field,medium,danish,,
EDU_field_254015,EDU,field,254015,Arkæologi klassisk,Arkæologi klassisk,,Classical archaeology,,,translated,raw_edu_field,medium,danish,,
EDU_field_254510,EDU,field,254510,Filosofi,Filosofi,,Philosophy,,,translated,raw_edu_field,medium,danish,,
EDU_field_302010,EDU,field,302010,Designer u.n.a.,Designer u.n.a.,,Designer u.n.a.,,,copy-of-da,raw_edu_field,medium,danish,,
EDU_field_256020,EDU,field,256020,Mellemøstens sprog og samfund i øvrigt,Mellemøstens sprog og samfund i øvrigt,,Middle Eastern languages and societies (via 51),,,translated,raw_edu_field,medium,danish,,
EDU_field_604015,EDU,field,604015,Veterinær og veterinærvidenskab,Veterinær og veterinærvidenskab,,Veterinary science,,,translated,raw_edu_field,medium,danish,,
EDU_field_354030,EDU,field,354030,Film- og medievidenskab,Film- og medievidenskab,,Film and media studies,,,translated,raw_edu_field,medium,danish,,
EDU_field_271025,EDU,field,271025,"Grafisk, foto","Grafisk, foto",,"Graphic, foto",,,translated,raw_edu_field,medium,danish,,
EDU_field_801510,EDU,field,801510,Søfart u.n.a.,Søfart u.n.a.,,Maritime affairs NEC,,,translated,raw_edu_field,medium,danish,,
EDU_field_751030,EDU,field,751030,Søværnet,Søværnet,,Navy,,,translated,raw_edu_field,medium,danish,,
EDU_field_555015,EDU,field,555015,Mejeriindustri,Mejeriindustri,,Mejeriindustri,,,copy-of-da,raw_edu_field,medium,danish,,
EDU_field_601525,EDU,field,601525,Jordbrugsteknologi,Jordbrugsteknologi,,Agricultural technology,,,translated,raw_edu_field,medium,danish,,
EDU_field_271515,EDU,field,271515,"Film, tv og medie, produktionsteknisk","Film, tv og medie, produktionsteknisk",,"Film, TV and media, production technology",,,translated,raw_edu_field,medium,danish,,
EDU_field_123020,EDU,field,123020,Gymnasial supplering,Gymnasial supplering,,Gymnasial supplering,,,copy-of-da,raw_edu_field,medium,danish,,
EDU_field_308015,EDU,field,308015,"Skuespil, teaterinstruktion mv.","Skuespil, teaterinstruktion mv.",,"Acting, theater instruction etc.",,,translated,raw_edu_field,medium,danish,,
EDU_field_257225,EDU,field,257225,"Fransk, erhvervssproglig","Fransk, erhvervssproglig",,"French, vocational language",,,translated,raw_edu_field,medium,danish,,
EDU_field_581515,EDU,field,581515,Landinspektøruddannelser,Landinspektøruddannelser,,Inspector training programs,,,translated,raw_edu_field,medium,danish,,
EDU_field_751520,EDU,field,751520,Fængselsvæsen,Fængselsvæsen,,Prison system,,,translated,raw_edu_field,medium,danish,,
EDU_field_303515,EDU,field,303515,"Kunsthåndværk/design, keramik og glas","Kunsthåndværk/design, keramik og glas",,"Art craftsmanship/design, ceramics and glass",,,translated,raw_edu_field,medium,danish,,
EDU_field_255015,EDU,field,255015,"Humanistisk, tværfaglige uddannelser i øvrigt","Humanistisk, tværfaglige uddannelser i øvrigt",,"Humanities, interdisciplinary programs otherwise",,,translated,raw_edu_field,medium,danish,,
EDU_field_801010,EDU,field,801010,Transport u.n.a.,Transport u.n.a.,,Transport u.n.a.,,,copy-of-da,raw_edu_field,medium,danish,,
EDU_field_256430,EDU,field,256430,Eskimologi,Eskimologi,,Eskimology,,,translated,raw_edu_field,medium,danish,,
EDU_field_257430,EDU,field,257430,"Engelsk-italiensk, erhvervssproglig","Engelsk-italiensk, erhvervssproglig",,"English-Italian, vocational language",,,translated,raw_edu_field,medium,danish,,
EDU_field_352530,EDU,field,352530,Politologiske uddannelser i øvrigt,Politologiske uddannelser i øvrigt,,Political science programs otherwise,,,translated,raw_edu_field,medium,danish,,
EDU_field_751525,EDU,field,751525,Beredskab og redningstjeneste,Beredskab og redningstjeneste,,Emergency preparedness and rescue services,,,translated,raw_edu_field,medium,danish,,
EDU_field_655010,EDU,field,655010,Farmakonom- og apoteksuddannelser,Farmakonom- og apoteksuddannelser,,Pharmacy and pharmaceutical training programs,,,translated,raw_edu_field,medium,danish,,
EDU_field_309015,EDU,field,309015,Dramaturgi,Dramaturgi,,Dramaturgy,,,translated,raw_edu_field,medium,danish,,
EDU_field_355010,EDU,field,355010,Journalistik,Journalistik,,Journalism,,,translated,raw_edu_field,medium,danish,,
EDU_field_751025,EDU,field,751025,Hæren,Hæren,,Army,,,translated,raw_edu_field,medium,danish,,
EDU_field_254010,EDU,field,254010,Arkæologi forhistorisk,Arkæologi forhistorisk,,Prehistoric archaeology,,,translated,raw_edu_field,medium,danish,,
EDU_field_252025,EDU,field,252025,Litteraturhistorie,Litteraturhistorie,,Literary history,,,translated,raw_edu_field,medium,danish,,
EDU_field_355520,EDU,field,355520,Informationsvidenskab og kulturforvaltning,Informationsvidenskab og kulturforvaltning,,Information science and cultural administration,,,translated,raw_edu_field,medium,danish,,
EDU_field_555040,EDU,field,555040,Træ- og møbelindustri,Træ- og møbelindustri,,Wood and furniture industry,,,translated,raw_edu_field,medium,danish,,
EDU_field_453015,EDU,field,453015,Fødevarevidenskab,Fødevarevidenskab,,Food science,,,translated,raw_edu_field,medium,danish,,
EDU_field_201015,EDU,field,201015,"Studier i lærings-, udviklings- og forandringsprocesser","Studier i lærings-, udviklings- og forandringsprocesser",,"Studies in learning, development, and change processes",,,translated,raw_edu_field,medium,danish,,
