Tilstandskode

Antal personer	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008
15035 : Arbejdsmarkedsydelse	.	.	28	3.411	5.715	.	.	.	.	.	.
15070 : Feriedagpenge	319	415	293	399	511	445	845	772	656	364	472
15080 : Ledige kontanthjælpsmodtagere	13.181	15.731	17.401	17.137	15.335	27.440	17.815	14.376	12.084	11.988	8.750
15100 : Ledighedsydelse mellem fleksjob	2.829	2.991	3.004	3.171	3.077	2.952	3.309	3.822	3.104	4.330	3.029
15110 : Ledighedsydelse i visitationsperioden før første fleksjob	10.501	10.462	9.683	8.484	9.031	9.847	9.156	8.804	8.071	5.781	4.938
15120 : Ledighedsydelse under ferie	9	9	17	21	23	21	16	23	31	11	9
15130 : Ledighedsydelse under barsel og sygdom	.	.	.	253	272	247	271	373	409	487	406
15140 : Ledighedsydelse efter ustøttet beskæftigelse	.	.	.	.	.	.	.	.	.	.	1
15800 : Syge på dagpenge eller arbejdsmarkedsydelse	1.836	1.783	1.807	1.713	.	.	.	.	.	.	.
16010 : Efterløn	41.540	53.250	62.593	72.122	81.035	89.161	94.112	103.008	113.175	120.441	126.316
16030 : Fleksydelse	2.805	3.721	4.408	5.243	5.691	6.313	6.157	6.019	5.469	4.681	3.396
17005 : Jobafklaringsforløb	15.554	14.244	12.720	9.054	2.515	.	.	.	.	.	.
17024 : Ressourceforløb	20.712	19.396	16.200	12.782	7.061	1.577	.	.	.	.	.
17025 : Førtidspension	181.467	183.127	187.123	192.742	200.184	208.732	215.312	216.912	216.647	214.869	211.628
17050 : Kontanthjælp	70.538	74.805	79.051	83.683	86.718	85.985	82.199	74.233	64.194	59.910	52.927
17090 : Introduktionsydelse	5.380	6.158	8.465	7.078	3.900	2.515	1.968	1.458	1.210	1.043	947
17100 : SU	159.141	5.963	5.160	8.656	5.857	5.707	5.559	5.140	4.942	4.661	3.947
19998 : Øvrige uden for arbejdsstyrken og børn	.	.	.	.	48	45	6	11	6	7	14
20000 : Lønmodtager	2.702.100	2.654.197	2.609.908	2.562.731	2.523.632	2.497.212	2.487.402	2.498.529	2.502.934	2.520.956	2.635.444
30000 : Selvstændig	189.651	189.760	190.649	191.957	191.284	191.648	192.060	194.263	195.802	198.773	202.675
40000 : Medarbejdende ægtefælle	4.195	4.376	4.516	4.721	4.924	5.088	5.378	5.626	5.806	5.995	6.695
50000 : Igangværende uddannelse, elevregistret	.	851.825	854.203	861.008	869.353	859.477	850.514	839.460	823.486	802.019	766.609
51000 : Udenlandske studerende	9.861	5.062	7.686	5.415	5.845	5.096	5.520	5.702	4.169	5.374	5.171
70000 : Igangværende uddannelse, kursistregistret	.	33.255	34.260	32.597	30.736	31.030	28.486	28.695	32.943	31.945	25.545
80000 : Igangværende uddannelse, produktionsskoleelev	.	3.323	4.538	4.710	4.531	4.917	4.945	4.798	4.878	4.449	3.518
90001 : Folkepension	.	973.250	957.087	939.444	921.387	901.166	878.796	852.905	821.430	797.308	776.156
90002 : Tjenestemandspension	.	4.864	4.923	4.860	4.885	4.779	4.783	4.800	4.946	4.859	4.848
90003 : Anden pension	.	4.090	3.674	3.283	3.242	3.167	3.097	3.174	3.325	3.474	3.526
99999 : Øvrige uden for arbejdsstyrken og børn	2.234.792	515.532	514.323	505.131	502.652	501.554	503.751	509.325	518.059	525.597	523.662
