SPEC6,SPEC6_TXT,SPEC4_TXT,SPEC3_TXT,SPEC6_FRA,SPEC6_TIL
288192,Kørselsgodtgør. II,Undersøg. Af Gravide,Profylakse,1/1/2006,12/31/2006
288201,1.Undersøgelse,Børneundersøgelser,Profylakse,1/1/2006,12/31/2006
288202,2.Undersøgelse,Børneundersøgelser,Profylakse,1/1/2006,12/31/2006
288203,3.Undersøgelse,Børneundersøgelser,Profylakse,1/1/2006,12/31/2006
288204,4.Undersøgelse,Børneundersøgelser,Profylakse,1/1/2006,12/31/2006
288205,5.Undersøgelse,Børneundersøgelser,Profylakse,1/1/2006,12/31/2006
288206,6.Undersøgelse,Børneundersøgelser,Profylakse,1/1/2006,12/31/2006
288207,7.Undersøgelse,Børneundersøgelser,Profylakse,1/1/2006,12/31/2006
288208,8.Undersøgelse,Børneundersøgelser,Profylakse,1/1/2006,12/31/2006
288209,9.Undersøgelse,Børneundersøgelser,Profylakse,1/1/2006,12/31/2006
288210,Undersøgelse,Børneundersøgelser,Profylakse,1/1/2006,12/31/2006
288211,1.Undersøgelse,Børneundersøgelser,Profylakse,1/1/2006,12/31/2006
288212,2.Undersøgelse,Børneundersøgelser,Profylakse,1/1/2006,12/31/2006
288213,3.Undersøgelse,Børneundersøgelser,Profylakse,1/1/2006,12/31/2006
288214,4.Undersøgelse,Børneundersøgelser,Profylakse,1/1/2006,12/31/2006
288215,5.Undersøgelse,Børneundersøgelser,Profylakse,1/1/2006,12/31/2006
288216,6.Undersøgelse,Børneundersøgelser,Profylakse,1/1/2006,12/31/2006
288217,7.Undersøgelse,Børneundersøgelser,Profylakse,1/1/2006,12/31/2006
288291,svangerskabsforb.p-p,Børneundersøgelser,Profylakse,1/1/2006,12/31/2006
288292,Svangersk. spiral,Børneundersøgelser,Profylakse,1/1/2006,12/31/2006
288293,Kontrol svanger.forb,Børneundersøgelser,Profylakse,1/1/2006,12/31/2006
288294,Telefonkons.,Børneundersøgelser,Profylakse,1/1/2006,12/31/2006
288311,1.Kighostevaccinat.,Børnevaccinationer,Profylakse,1/1/2006,12/31/2006
288312,2.Kighostevaccinat.,Børnevaccinationer,Profylakse,1/1/2006,12/31/2006
288313,3.Kighostevaccinat.,Børnevaccinationer,Profylakse,1/1/2006,12/31/2006
288314,HepaB  vac barn 1mdr,Børnevaccinationer,Profylakse,1/1/2006,12/31/2006
288315,HepaB vac barn 2mdr,Børnevaccinationer,Profylakse,1/1/2006,12/31/2006
288316,HepaB vac barn 12mdr,Børnevaccinationer,Profylakse,1/1/2006,12/31/2006
288317,Vachon hepB ej us/ko,Børnevaccinationer,Profylakse,1/1/2006,12/31/2006
288318,Hep.B. ikke smittede,Børnevaccinationer,Profylakse,1/1/2006,12/31/2006
288319,Heb.B.smittede samle,Børnevaccinationer,Profylakse,1/1/2006,12/31/2006
288321,1.Di-Te-Pol-Vaccinat,Børnevaccinationer,Profylakse,1/1/2006,12/31/2006
288322,2.Di-Te-Pol-Vaccinat,Børnevaccinationer,Profylakse,1/1/2006,12/31/2006
288323,3.Di-Te-Pol-Vaccinat,Børnevaccinationer,Profylakse,1/1/2006,12/31/2006
288325,di-te-ki-pol vacc.,Børnevaccinationer,Profylakse,1/1/2006,12/31/2006
288331,1.Orale Poliovaccin.,Børnevaccinationer,Profylakse,1/1/2006,12/31/2006
288332,2.Orale Poliovaccin.,Børnevaccinationer,Profylakse,1/1/2006,12/31/2006
288333,3.Orale Poliovaccin.,Børnevaccinationer,Profylakse,1/1/2006,12/31/2006
288341,Di-Te-Ki-Pol-vac.3md,Børnevaccinationer,Profylakse,1/1/2006,12/31/2006
288342,Di-Te-Ki-Pol-vac.5md,Børnevaccinationer,Profylakse,1/1/2006,12/31/2006
288343,Di-Te-Ki-Pol-vac.12m,Børnevaccinationer,Profylakse,1/1/2006,12/31/2006
288401,Vaccinat. Inden 2 År,Mfr-Vaccinationer,Profylakse,1/1/2006,12/31/2006
288402,Vaccinat. 11-12 År,Mfr-Vaccinationer,Profylakse,1/1/2006,12/31/2006
288403,Vaccinat.  2-10 År,Mfr-Vaccinationer,Profylakse,1/1/2006,12/31/2006
288410,"Tillæg tolk, profyl.",Mfr-Vaccinationer,Profylakse,1/1/2006,12/31/2006
288501,Antistofundersøgelse,Vacc. R.Hunde Kvinde,Profylakse,1/1/2006,12/31/2006
288502,Vaccination 18 År,Vacc. R.Hunde Kvinde,Profylakse,1/1/2006,12/31/2006
288503,Vaccination  Kvinder,Vacc. R.Hunde Kvinde,Profylakse,1/1/2006,12/31/2006
288601,MFR-vaccinat. 1 år,,Profylakse,1/1/2006,12/31/2006
288612,MFR-vaccinat. 12 år,,Profylakse,1/1/2006,12/31/2006
288618,tlf. henv. forældre,,Profylakse,1/1/2006,12/31/2006
288701,Tillæg v. MFR-vacc.,Profylakse,Profylakse,1/1/2006,12/31/2006
288705,Till. v. Di-Te-vacc.,Profylakse,Profylakse,1/1/2006,12/31/2006
288706,Tillæg.vac.Di-Te-Ki,Profylakse,Profylakse,1/1/2006,12/31/2006
288801,Vacc. kv. røde hunde,,Profylakse,1/1/2006,12/31/2006
288901,Tillæg til vacc.hon.,Profylakse Kørsel,Profylakse,1/1/2006,12/31/2006
288920,Infl.vacc. over 65år,Profylakse Kørsel,Profylakse,1/1/2006,12/31/2006
288921,Infl.vacc. 65år hjem,Profylakse Kørsel,Profylakse,1/1/2006,12/31/2006
288991,Kørselsgodtg. I,Profylakse Kørsel,Profylakse,1/1/2006,12/31/2006
288992,Kørselsgodtg. II,Profylakse Kørsel,Profylakse,1/1/2006,12/31/2006
289001,Kørselsgodtgør.  I,Kørselsgodtgørelse,Kørselsgodtgørelse,1/1/2006,12/31/2006
289002,Kørselsgodtgør. II,Kørselsgodtgørelse,Kørselsgodtgørelse,1/1/2006,12/31/2006
289998,"pseudo, recpct.trope",,Kørselsgodtgørelse,1/1/2006,12/31/2006
289999,pseudoydelse enheder,,Kørselsgodtgørelse,1/1/2006,12/31/2006
303160,Op.årekn.hø.b.ex lys,,,1/1/2006,12/31/2006
303161,Op.årekn.lysken hø.b,,,1/1/2006,12/31/2006
303260,Op.årekn.ve.b.ex lys,,,1/1/2006,12/31/2006
303261,Op.årekn.lysken ve.b,,,1/1/2006,12/31/2006
313135,Fjer. tumor u.sutur,,,1/1/2006,12/31/2006
430101,Total IgE,Total IgE,Diagnoselaboratoriet,1/1/2006,12/31/2006
430201,All.sp.IgE pr.aller.,Allergenspec. IgE,Diagnoselaboratoriet,1/1/2006,12/31/2006
430202,All.sp.IgE pr. panel,Allergenspec. IgE,Diagnoselaboratoriet,1/1/2006,12/31/2006
430203,Bi-el. Hvepseall.IgE,Allergenspec. IgE,Diagnoselaboratoriet,1/1/2006,12/31/2006
430204,Erhvervsallergener,Allergenspec. IgE,Diagnoselaboratoriet,1/1/2006,12/31/2006
430205,Penicillin G eller V,Allergenspec. IgE,Diagnoselaboratoriet,1/1/2006,12/31/2006
430206,Spec. opg. pat.miljø,Allergenspec. IgE,Diagnoselaboratoriet,1/1/2006,12/31/2006
430207,Medsendt materiale,Allergenspec. IgE,Diagnoselaboratoriet,1/1/2006,12/31/2006
430301,Histaminfr. 1-3 all.,Histaminfrigør. test,Diagnoselaboratoriet,1/1/2006,12/31/2006
430302,Histaminfr. fg. all.,Histaminfrigør. test,Diagnoselaboratoriet,1/1/2006,12/31/2006
430303,Kontrolpatient,Histaminfrigør. test,Diagnoselaboratoriet,1/1/2006,12/31/2006
430401,Præcip. antistoffer,Præcip. antistoffer,Diagnoselaboratoriet,1/1/2006,12/31/2006
430402,Præ.antis. materiale,Præcip. antistoffer,Diagnoselaboratoriet,1/1/2006,12/31/2006
430501,Kv. hunde-allerg.mv.,Støvanalyse,Diagnoselaboratoriet,1/1/2006,12/31/2006
430601,Kv. øvrige dyrehår,Støvanalyse,Diagnoselaboratoriet,1/1/2006,12/31/2006
430701,Påv.luftb.mikros.1pl,Miljøanalyse,Diagnoselaboratoriet,1/1/2006,12/31/2006
430702,Påv.luftb.mikros.4pl,Miljøanalyse,Diagnoselaboratoriet,1/1/2006,12/31/2006
430703,Gebyr udsend. plader,Miljøanalyse,Diagnoselaboratoriet,1/1/2006,12/31/2006
430801,Påv. støvb. mikrosv.,Miljøanalyse,Diagnoselaboratoriet,1/1/2006,12/31/2006
430901,Bi-el. Hvepseall.IgG,Allerg.spec. IgG,Diagnoselaboratoriet,1/1/2006,12/31/2006
431001,Måling endotoxin,Miljø-og serumanaly.,Miljø-og serumanaly.,1/1/2006,12/31/2006
431101,MOD kvantiter. støv,MOD kv. støv,Miljø-og serumanaly.,1/1/2006,12/31/2006
431201,Påv. bakterier,Påv. bakterier,Miljø-og serumanaly.,1/1/2006,12/31/2006
431301,Allergyscreen,Allergy screen,Miljø-og serumanaly.,1/1/2006,12/31/2006
431401,"Mundstykke,filter mv",Opsamling af støv,Miljø-og serumanaly.,1/1/2006,12/31/2006
431501,Pr. ekstra filter,Opsamling af støv,Miljø-og serumanaly.,1/1/2006,12/31/2006
440108,Acetylcho.rec.Ab,KPLL,KPLL,1/1/2006,12/31/2006
440109,ACTH;P,KPLL,KPLL,1/1/2006,12/31/2006
440110,ALAT;P,KPLL,KPLL,1/1/2006,12/31/2006
440111,"Bicarbonat,st;vB",KPLL,KPLL,1/1/2006,12/31/2006
440112,Albumin;P,KPLL,KPLL,1/1/2006,12/31/2006
440113,Albumin (el.);P,KPLL,KPLL,1/1/2006,12/31/2006
440114,Suppl. Albumin (el.f,KPLL,KPLL,1/1/2006,12/31/2006
440115,Aldolase;P,KPLL,KPLL,1/1/2006,12/31/2006
440116,Aldosteron;P,KPLL,KPLL,1/1/2006,12/31/2006
440118,Aluminium,KPLL,KPLL,1/1/2006,12/31/2006
440120,Aminosyrer frakt.  -,KPLL,KPLL,1/1/2006,12/31/2006
440121,Amiodaron;P,KPLL,KPLL,1/1/2006,12/31/2006
440122,Amitriptylin;P,KPLL,KPLL,1/1/2006,12/31/2006
440123,Amoxapin,KPLL,KPLL,1/1/2006,12/31/2006
440124,Amylase;P,KPLL,KPLL,1/1/2006,12/31/2006
440125,"à-Amylase,frakt. - u",KPLL,KPLL,1/1/2006,12/31/2006
440126,"Amylase,panc.;P",KPLL,KPLL,1/1/2006,12/31/2006
440127,Androgen-status,KPLL,KPLL,1/1/2006,12/31/2006
440128,Androstendion;P,KPLL,KPLL,1/1/2006,12/31/2006
440129,ACE1;P,KPLL,KPLL,1/1/2006,12/31/2006
440130,DNA Ab;P,KPLL,KPLL,1/1/2006,12/31/2006
440131,ENA-antistof;P,KPLL,KPLL,1/1/2006,12/31/2006
440132,HIV 1+2 Ab;P,KPLL,KPLL,1/1/2006,12/31/2006
440133,ANA granulocyt,KPLL,KPLL,1/1/2006,12/31/2006
440134,ANA;P,KPLL,KPLL,1/1/2006,12/31/2006
440135,"HIV Ab,konf.;P",KPLL,KPLL,1/1/2006,12/31/2006
440136,HIV-antistof,KPLL,KPLL,1/1/2006,12/31/2006
440137,Antitrypsin;P,KPLL,KPLL,1/1/2006,12/31/2006
440138,Antitrombin;P,KPLL,KPLL,1/1/2006,12/31/2006
440139,Ascorbat;P,KPLL,KPLL,1/1/2006,12/31/2006
440140,ASAT;P,KPLL,KPLL,1/1/2006,12/31/2006
440141,HIV 1+2 Antistof,KPLL,KPLL,1/1/2006,12/31/2006
440142,Beta-Globulin;P,KPLL,KPLL,1/1/2006,12/31/2006
440143,"Barbiturater, kval.",KPLL,KPLL,1/1/2006,12/31/2006
440144,HIV Antistof,KPLL,KPLL,1/1/2006,12/31/2006
440145,Basisk Frakt.;P,KPLL,KPLL,1/1/2006,12/31/2006
440146,Bas.fosfatase;P,KPLL,KPLL,1/1/2006,12/31/2006
440148,Basofilocytter;B,KPLL,KPLL,1/1/2006,12/31/2006
440149,e-Basofilt punkt.,KPLL,KPLL,1/1/2006,12/31/2006
440151,Bilirubin;P,KPLL,KPLL,1/1/2006,12/31/2006
440152,"Bilirubin,frakt.",KPLL,KPLL,1/1/2006,12/31/2006
440154,Binyrebark Ab;P,KPLL,KPLL,1/1/2006,12/31/2006
440155,Blodtype AB0+RH,KPLL,KPLL,1/1/2006,12/31/2006
440156,BNP;P,KPLL,KPLL,1/1/2006,12/31/2006
440157,Borrelia Ab,KPLL,KPLL,1/1/2006,12/31/2006
440158,Bly;B,KPLL,KPLL,1/1/2006,12/31/2006
440159,C Peptid;P,KPLL,KPLL,1/1/2006,12/31/2006
440160,CRP;P,KPLL,KPLL,1/1/2006,12/31/2006
440161,C1-est.inhib.;P,KPLL,KPLL,1/1/2006,12/31/2006
440162,Blodtype AB0+RH,KPLL,KPLL,1/1/2006,12/31/2006
440163,Cadmium:P,KPLL,KPLL,1/1/2006,12/31/2006
450482,V'ksthormon,Phenytoin,Medicinsk Laborator.,1/1/2006,12/31/2006
450483,Widals reaktion,Phenytoin,Medicinsk Laborator.,1/1/2006,12/31/2006
450484,Vasopressin,Phenytoin,Medicinsk Laborator.,1/1/2006,12/31/2006
450485,Vitamin E,Phenytoin,Medicinsk Laborator.,1/1/2006,12/31/2006
450490,Yersinia-as,Phenytoin,Medicinsk Laborator.,1/1/2006,12/31/2006
450491,Zink,Phenytoin,Medicinsk Laborator.,1/1/2006,12/31/2006
450492,Estradiol,Phenytoin,Medicinsk Laborator.,1/1/2006,12/31/2006
450493,"Osteoporoseprofil,",Phenytoin,Medicinsk Laborator.,1/1/2006,12/31/2006
450494,?striol(+gravid)   -,Phenytoin,Medicinsk Laborator.,1/1/2006,12/31/2006
450496,?strogenstatus,Phenytoin,Medicinsk Laborator.,1/1/2006,12/31/2006
450498,Diverse tests,Phenytoin,Medicinsk Laborator.,1/1/2006,12/31/2006
450499,Herlev diverse,Phenytoin,Medicinsk Laborator.,1/1/2006,12/31/2006
450500,Faderskabssag,Faderskabssag,Medicinsk Laborator.,1/1/2006,12/31/2006
450504,Mikroalbumin,Faderskabssag,Medicinsk Laborator.,1/1/2006,12/31/2006
450505,U-creatininium,Faderskabssag,Medicinsk Laborator.,1/1/2006,12/31/2006
450506,U-Album.rat.mikr,Faderskabssag,Medicinsk Laborator.,1/1/2006,12/31/2006
450507,dU-Albuminmikro,Faderskabssag,Medicinsk Laborator.,1/1/2006,12/31/2006
450508,U-Albumin,Faderskabssag,Medicinsk Laborator.,1/1/2006,12/31/2006
450511,U-Amylase,Faderskabssag,Medicinsk Laborator.,1/1/2006,12/31/2006
450513,U-Aminosyre m.m.,Faderskabssag,Medicinsk Laborator.,1/1/2006,12/31/2006
450515,U-Amphetaminum,Faderskabssag,Medicinsk Laborator.,1/1/2006,12/31/2006
450519,U-Bakt.dyrk+res,Faderskabssag,Medicinsk Laborator.,1/1/2006,12/31/2006
450520,Bakt. dyrk. + udv. r,Faderskabssag,Medicinsk Laborator.,1/1/2006,12/31/2006
450521,u-Bakt.-us.-anaer.,Faderskabssag,Medicinsk Laborator.,1/1/2006,12/31/2006
450522,U-Barbiturater  -  u,Faderskabssag,Medicinsk Laborator.,1/1/2006,12/31/2006
450523,U-Bence Jones us,Faderskabssag,Medicinsk Laborator.,1/1/2006,12/31/2006
450524,U-Benzodiazepin.,Faderskabssag,Medicinsk Laborator.,1/1/2006,12/31/2006
450525,U-Bakt.dyrk.resA,Faderskabssag,Medicinsk Laborator.,1/1/2006,12/31/2006
450526,U-Narkot.-screen,Faderskabssag,Medicinsk Laborator.,1/1/2006,12/31/2006
450527,U-Bilirubiner,Faderskabssag,Medicinsk Laborator.,1/1/2006,12/31/2006
450529,dU-Bly,Faderskabssag,Medicinsk Laborator.,1/1/2006,12/31/2006
450535,Calcium,Faderskabssag,Medicinsk Laborator.,1/1/2006,12/31/2006
450536,dU-Calcium,Faderskabssag,Medicinsk Laborator.,1/1/2006,12/31/2006
450538,U-Cystin,Faderskabssag,Medicinsk Laborator.,1/1/2006,12/31/2006
450540,U-Cannabioler,Faderskabssag,Medicinsk Laborator.,1/1/2006,12/31/2006
450541,dU-Cortisol fri,Faderskabssag,Medicinsk Laborator.,1/1/2006,12/31/2006
450543,U-Creatininium,Faderskabssag,Medicinsk Laborator.,1/1/2006,12/31/2006
450544,Creatinin-clear.,Faderskabssag,Medicinsk Laborator.,1/1/2006,12/31/2006
450545,"U-Cylindre,korn.",Faderskabssag,Medicinsk Laborator.,1/1/2006,12/31/2006
450547,"U-Cylindre,ery.",Faderskabssag,Medicinsk Laborator.,1/1/2006,12/31/2006
450549,U-Delta-Aminole.,Faderskabssag,Medicinsk Laborator.,1/1/2006,12/31/2006
450554,u-Diazepamum,Faderskabssag,Medicinsk Laborator.,1/1/2006,12/31/2006
450558,U-Trichomonas,Faderskabssag,Medicinsk Laborator.,1/1/2006,12/31/2006
450559,U-Epithelceller,Faderskabssag,Medicinsk Laborator.,1/1/2006,12/31/2006
450561,U-Ery.(mikrosk.),Faderskabssag,Medicinsk Laborator.,1/1/2006,12/31/2006
450563,u-Ethanol,Faderskabssag,Medicinsk Laborator.,1/1/2006,12/31/2006
450567,dU-Glucose,Faderskabssag,Medicinsk Laborator.,1/1/2006,12/31/2006
450569,U-Glucose(stix),Faderskabssag,Medicinsk Laborator.,1/1/2006,12/31/2006
450575,U-Hemoglobin,Faderskabssag,Medicinsk Laborator.,1/1/2006,12/31/2006
450578,dU-5-Hydroxyind.,Faderskabssag,Medicinsk Laborator.,1/1/2006,12/31/2006
450579,dU-Hydroxyprolin,Faderskabssag,Medicinsk Laborator.,1/1/2006,12/31/2006
450580,dU-Kalium-ion,Faderskabssag,Medicinsk Laborator.,1/1/2006,12/31/2006
450581,dU-kalium-ion,Faderskabssag,Medicinsk Laborator.,1/1/2006,12/31/2006
450582,Suppl.-dU-5-HIAA,Faderskabssag,Medicinsk Laborator.,1/1/2006,12/31/2006
450583,U-Kalium-ion,Faderskabssag,Medicinsk Laborator.,1/1/2006,12/31/2006
450584,U-Choriongonado.,Faderskabssag,Medicinsk Laborator.,1/1/2006,12/31/2006
450585,dU-Kviks>lv,Faderskabssag,Medicinsk Laborator.,1/1/2006,12/31/2006
450587,dU-17-hydroxycor,Faderskabssag,Medicinsk Laborator.,1/1/2006,12/31/2006
450589,dU-Katekolaminer,Faderskabssag,Medicinsk Laborator.,1/1/2006,12/31/2006
450590,U-Benz.ec.Cocain,Faderskabssag,Medicinsk Laborator.,1/1/2006,12/31/2006
450591,dU-17-Oxosteroid,Faderskabssag,Medicinsk Laborator.,1/1/2006,12/31/2006
450601,Urin rel.massef.,Medicinsk Laborator.,Medicinsk Laborator.,1/1/2006,12/31/2006
450607,U-Leucocyt.-est.,Medicinsk Laborator.,Medicinsk Laborator.,1/1/2006,12/31/2006
450608,U-Leucoc. (mik.),Medicinsk Laborator.,Medicinsk Laborator.,1/1/2006,12/31/2006
450609,dU-Magnesium,Medicinsk Laborator.,Medicinsk Laborator.,1/1/2006,12/31/2006
450613,U-Methylketon,Medicinsk Laborator.,Medicinsk Laborator.,1/1/2006,12/31/2006
450617,U-Mykologisk us.,Medicinsk Laborator.,Medicinsk Laborator.,1/1/2006,12/31/2006
450619,U-Myoglobin,Medicinsk Laborator.,Medicinsk Laborator.,1/1/2006,12/31/2006
450620,dU-Oxalat,Medicinsk Laborator.,Medicinsk Laborator.,1/1/2006,12/31/2006
450621,dU-natrium-ion,Medicinsk Laborator.,Medicinsk Laborator.,1/1/2006,12/31/2006
450622,U-Nitrit,Medicinsk Laborator.,Medicinsk Laborator.,1/1/2006,12/31/2006
450623,U-Natrium-ion,Medicinsk Laborator.,Medicinsk Laborator.,1/1/2006,12/31/2006
450624,dU-Natrium-ion,Medicinsk Laborator.,Medicinsk Laborator.,1/1/2006,12/31/2006
450625,U-Parasit(m?dy.),Medicinsk Laborator.,Medicinsk Laborator.,1/1/2006,12/31/2006
450626,U-Osmolalitet,Medicinsk Laborator.,Medicinsk Laborator.,1/1/2006,12/31/2006
450630,dU-Phosphat,Medicinsk Laborator.,Medicinsk Laborator.,1/1/2006,12/31/2006
450631,Phosphat,Medicinsk Laborator.,Medicinsk Laborator.,1/1/2006,12/31/2006
450633,U-Porphobilinog.,Medicinsk Laborator.,Medicinsk Laborator.,1/1/2006,12/31/2006
450634,U-Porphyrinerfr,Medicinsk Laborator.,Medicinsk Laborator.,1/1/2006,12/31/2006
450635,U-Porphyriner,Medicinsk Laborator.,Medicinsk Laborator.,1/1/2006,12/31/2006
450636,u-Protein fr.v.elfo.,Medicinsk Laborator.,Medicinsk Laborator.,1/1/2006,12/31/2006
450637,U-albumin,Medicinsk Laborator.,Medicinsk Laborator.,1/1/2006,12/31/2006
450640,U-pH,Medicinsk Laborator.,Medicinsk Laborator.,1/1/2006,12/31/2006
450642,U-Protein,Medicinsk Laborator.,Medicinsk Laborator.,1/1/2006,12/31/2006
450643,U-Protein(stix),Medicinsk Laborator.,Medicinsk Laborator.,1/1/2006,12/31/2006
450645,U-Glucose (tol.  0 m,Medicinsk Laborator.,Medicinsk Laborator.,1/1/2006,12/31/2006
450646,U-Glucose (tol.120 m,Medicinsk Laborator.,Medicinsk Laborator.,1/1/2006,12/31/2006
450647,U-protein (morgen) U,Medicinsk Laborator.,Medicinsk Laborator.,1/1/2006,12/31/2006
450648,U-glucose (morgen) U,Medicinsk Laborator.,Medicinsk Laborator.,1/1/2006,12/31/2006
450649,U-methylketon (morge,Medicinsk Laborator.,Medicinsk Laborator.,1/1/2006,12/31/2006
450650,U-hemoglobin (morgen,Medicinsk Laborator.,Medicinsk Laborator.,1/1/2006,12/31/2006
450651,U-protein (aften)  U,Medicinsk Laborator.,Medicinsk Laborator.,1/1/2006,12/31/2006
450652,U-glucose (aften) U,Medicinsk Laborator.,Medicinsk Laborator.,1/1/2006,12/31/2006
450653,U-methylketon (AFTEN,Medicinsk Laborator.,Medicinsk Laborator.,1/1/2006,12/31/2006
450654,U-hemoglobin (aften),Medicinsk Laborator.,Medicinsk Laborator.,1/1/2006,12/31/2006
