Value set
D281700. TXT_AFGTYPKO - Type of decision or sanction (RP) Valid from 	Valid for 	Code 	Text
		99 	Rpl p.723, paragraph 4 cf. paragraph 3
		101 	Laid down the ud.warning (§265 gek.74262)
		104 	Injunctions according to dog law (gerk.89151)
		110 	Driving licence frak.gr.gyd.dragk, etc.
		118 	Decommitted as obsolete, cf. section 93 of the Criminal Code (all codes)
		121 	Transferred to abroad (all German codes)
		10 	Ended in court
		30 	Unenlightened
		31 	Indictment omitted (Faroese) is not included in the count.
		35 	Charge baseless (Faroese) is not included in a count.
		34 	Charge baseless criminal law, rtpl. 721.1.1
		16 	Decreekeeping of fine/disqualification of the right to drive small moped
		17 	Extrajudicial adoption of a fine/disqualification of the right to drive small moped
		14 	Internal court district of fine and disqualification
		18 	Extrajudicial adoption of a fine and disqualification of rights
		100 	Laid out without restraining order
		70 	Judgment without a hearing
		200 	Decree-Feas of the decommissioned by the right of vehicles to be driven by heavy-duty (assumed by DST on the basis of FP = 52)
		201 	Out-of-court adoption fine/exported right to drive heavy-duty vehicles (assumed by DST on the basis of FP code = 53)
		202 	Decree-General adoption of fine/driver's right and the right to drive heavy-duty vehicles (formed by DST from FP code = 54)
		80 	Sentencing for a residence ban, cf. section 79 (a) of the Criminal Code
		60 	Prohibition of residence by judgment, cf. section 79 (a), paragraph. 2
		89 	Contact ban by judgment, cf. section 79 (a), paragraph. 3
		90 	Travel ban by judgment, cf. section 79 (e) of the Criminal Code
