Value set
D460022. TXT_DB93_TIMES - Industry for essential employment, from 1992 to 2007 (AKM) Valid from 	Valid for 	Code 	Text
01-01-1992 	31-12-2002 	223300 	Reproduction of computer media
01-01-2003 		223300 	Reproduction of IT media
01-01-1992 		231000 	Manufacture of coke, etc.
01-01-1992 		232000 	Manufacture of refined petroleum products
01-01-1992 		233000 	Reprocessing of nuclear fuel
01-01-1992 		241100 	Manufacture of industrial gases
01-01-1992 		241200 	Preparation of dyes and pigments
01-01-1992 		241300 	Preparation of other inorganic basic chemicals
01-01-1992 		241400 	Manufacture of other basic organic chemicals
01-01-1992 		241500 	Manufacture of fertilizers, etc.
01-01-1992 		241600 	Manufacture of basic plastics
01-01-1992 		241700 	Manufacture of synthetic rubber
01-01-1992 		242000 	Manufacture of pesticides and other agrochemical products
01-01-1992 		243000 	Manufacture of paints, varnishes, inks, etc. and sealing materials
01-01-1992 		244100 	Manufacture of pharmaceutical raw materials
01-01-1992 		244200 	Pharmaceutical product factories
01-01-1992 		245110 	Soap and detergent factories
01-01-2003 		245120 	Manufacture of waxes and cleaning products
01-01-1992 	31-12-2002 	245120 	Polishing and cleaning agents
01-01-1992 	31-12-2002 	245200 	Manufacture of perfumes and toilet preparations
01-01-2003 		245200 	Manufacture of perfume, hair shampoo, toothpaste, etc.
01-01-1992 		246100 	Manufacture of explosives, etc.
01-01-1992 		246200 	Lim factories
01-01-1992 		246300 	Manufacture of essential oils
01-01-1992 		246400 	Manufacture of photochemical products
01-01-1992 		246500 	Production of unrecorded media
01-01-1992 		246600 	Manufacture of other chemical products
01-01-1992 		247000 	Manufacture of man-made fibres
01-01-1992 		251100 	Manufacture of rubber tyres and rubber hoses
01-01-2003 		251200 	Volcanization
01-01-1992 	31-12-2002 	251200 	Volcanic Institutions
01-01-1992 		251300 	Manufacture of other rubber products
01-01-1992 		252110 	Manufacture of plates, sheets, film and other flat forms of plastics
01-01-1992 		252120 	Manufacture of plastic pipes and tubes
01-01-1992 		252130 	Manufacture of plastic rods and profiles
01-01-1992 		252200 	Manufacture of plastic packaging
01-01-1992 		252310 	Manufacture of plastic sanitary articles
01-01-1992 		252390 	Manufacture of other plastic building articles
01-01-1992 		252410 	Manufacture of plastic office and school articles
01-01-1992 		252420 	Manufacture of plastic tableware and kitchenware
01-01-1992 		252490 	Manufacture of other plastic products
01-01-1992 		261100 	Production of flat glass
01-01-1992 		21200 	Forming and processing of flat glass
01-01-1992 		261300 	Preparation of bottles, drinking glasses, etc.
01-01-2003 		261400 	Manufacture of fibreglass and certain products thereof
01-01-1992 	31-12-2002 	261400 	Glass wool factories
01-01-1992 		261500 	Manufacture and processing of glass
01-01-1992 		262100 	Manufacture of ceramic household articles and ornaments
01-01-1992 		262200 	Manufacture of ceramic sanitary warehousing
01-01-1992 		262300 	Manufacture of ceramic insulators and insulation parts
01-01-1992 		226400 	Manufacture of other ceramic products for technical use
01-01-1992 		262500 	Manufacture of other ceramic products
01-01-1992 		262600 	Manufacture of heat-insulating and refractory ceramic products
01-01-1992 		263000 	Manufacture of tiles and tiles
01-01-1992 		264000 	Tileworks
01-01-1992 		265100 	Cement factories
01-01-1992 		265200 	Calciumworks
01-01-1992 		265300 	Manufacture of plaster
01-01-1992 		266110 	Concrete product factories
01-01-1992 		266120 	Concrete element factories
01-01-1992 		266200 	Manufacture of plaster construction materials
01-01-1992 		266300 	Manufacture of ready-mixed concrete
01-01-1992 		266400 	Mortar works
01-01-1992 		266500 	Manufacture of fibre cement products
01-01-1992 		266600 	Manufacture of other concrete, plaster and cement products
01-01-1992 		267000 	Stonemasons
01-01-1992 		268100 	Manufacture of abrasives
01-01-1992 		268210 	Asphalt and roofing felt factories
01-01-1992 		268220 	Stone wool factories
01-01-1992 		268290 	Manufacture of other non-metallic mineral products
01-01-2003 		271000 	Manufacture of pig irons and crude steel and iron alloys
01-01-1992 	31-12-2002 	271000 	Iron and steelworks
01-01-1992 		272100 	Manufacture of cast iron or steel pipes
01-01-1992 		272200 	Manufacture of iron or steel pipes (excl. cast pipes)
01-01-1992 		273100 	Milking of iron and steel
01-01-1992 		273200 	Cold rolling of iron or steel bands
01-01-1992 		273300 	Cold treatment of iron or steel
01-01-1992 		273400 	Wooden drawing of steel
01-01-1992 		273500 	Other workings of iron or steel
01-01-1992 		274100 	Manufacture of precious metals
01-01-2003 		274200 	Manufacture of aluminium and components thereof
01-01-1992 	31-12-2002 	274200 	Manufacture and first working of aluminium
01-01-2003 		274300 	Manufacture of lead, zinc and tin and its components
01-01-1992 	31-12-2002 	274300 	Manufacture and first processing of lead, zinc and tin
01-01-2003 		274400 	Manufacture of copper and components thereof
01-01-1992 	31-12-2002 	274400 	Manufacture and first working of copper
01-01-2003 		274500 	Manufacture of other non-ferrous metals and components thereof
01-01-1992 	31-12-2002 	274500 	Manufacture and first working of other non-ferrous metals
01-01-1992 		275100 	Casting of iron products
01-01-1992 		275200 	Casting of steel products
01-01-1992 		275300 	Casting of light metal products
01-01-1992 		275400 	Casting of other non-ferrous metal products
01-01-1992 		281100 	Manufacture of metal structures and parts thereof
01-01-1992 		281200 	Manufacture of doors and windows and its frames of iron or metal
01-01-1992 		282100 	Manufacture of tanks and containers of iron/steel and metal
01-01-1992 		282200 	Manufacture of radiators and boilers for central heating systems
01-01-1992 		283000 	Manufacture of steam boilers other than central heating boilers
01-01-1992 		284000 	Forging, pressing, lowering and rolling metal; powder metallurgy
01-01-2003 		285100 	Surface treatment of metal
01-01-1992 	31-12-2002 	285100 	Surface treatment of metal on a contractual basis (wage work)
01-01-2003 		285200 	General machine processing processes
01-01-1992 	31-12-2002 	285200 	General machine processing operations on a contract basis (wage work)
01-01-1992 		286100 	Manufacture of cutlery, cutting and cutting tools
01-01-1992 		286200 	Manufacture of hand tools
01-01-1992 		286310 	Locking Factories
01-01-1992 		286320 	Manufacture of metal fittings
01-01-1992 		287100 	Manufacture of metal barrels and similar containers
01-01-2003 		287200 	Manufacture of cans, etc. and closing devices of metal
01-01-1992 	31-12-2002 	287200 	Manufacture of cans, etc.
01-01-1992 		287300 	Manufacture of threaded products
01-01-1992 		287400 	Manufacture of bolts, screws, nuts, chains and springs
01-01-1992 		287510 	Manufacture of metal signs
01-01-1992 		287520 	Manufacture of metal sanitary and household articles
01-01-1992 		287590 	Manufacture of other finished metal products
01-01-1992 		291110 	Ship engine factories
01-01-1992 		291120 	Repair of ship engines
01-01-1992 		291190 	Manufacture of other engines and turbines
01-01-1992 		291210 	Manufacture of air pumps and compressors
01-01-1992 		291220 	Manufacture of liquid pumps
01-01-1992 		291230 	Manufacture of hydraulic and pneumatic machinery
01-01-1992 		291300 	Manufacture of taps and valves
01-01-1992 		291400 	Manufacture of axles, bearings and exchanges
01-01-1992 		292100 	Manufacture of furnaces and heating units
01-01-1992 		292210 	Manufacture of belt conveyors and lifts
01-01-1992 		292220 	Manufacture of cranes, waist and hoists
01-01-1992 		292230 	Manufacture of trucks
01-01-1992 		292290 	Manufacture of other handling equipment
01-01-1996 		292310 	Manufacture of refrigeration and freezers for commercial use
01-01-1992 	31-12-1995 	292310 	Manufacture of refrigeration and freezers for industrial use
01-01-1996 		292320 	Manufacture of ventilation and air conditioning systems for commercial use
01-01-1992 	31-12-1995 	292320 	Manufacture of ventilation and air conditioning systems for industrial use
01-01-1992 		292410 	Weight factories
01-01-1992 		292420 	Manufacture of packaging machinery
01-01-1992 		292430 	Manufacture of high-pressure cleaners, fire extinguishers, sandblowers, etc.
01-01-1992 		292490 	Manufacture of vending machines, heat exchangers, centrifuges, etc.
01-01-1992 		293100 	Manufacture of tractors
01-01-1992 		293210 	Manufacture of harvesting machines, etc.
01-01-1992 		293220 	Manufacture of agricultural tillage machinery
01-01-1992 	31-12-2002 	293230 	Manufacture of agricultural machinery or forestry
01-01-2003 		293230 	Manufacture of agricultural machinery for agricultural, gardens and forestry
01-01-1992 	31-12-2002 	293240 	Repair of agricultural and forestry machinery
01-01-2003 		293240 	Repair of agricultural, garden and forestry machinery
01-01-1992 	31-12-2002 	294000 	Manufacture of machine tools
01-01-2002 		294100 	Manufacture of handheld motor-powered tools
01-01-2002 		294200 	Manufacture of other metalworking machine tools
01-01-2002 		294300 	Manufacture of other machine tools n.e.c.
01-01-1992 		295100 	Manufacture of machinery for the metal industry
01-01-1992 		295210 	Manufacture of machinery for the manufacture of mortar, cement, concrete and concrete products
01-01-1992 		295290 	Manufacture of machinery for construction work, etc.
01-01-1992 		295310 	Manufacture of dairy machines
01-01-1992 		295320 	Manufacture of machinery for the treatment of grain
01-01-1992 		295330 	Manufacture of machinery for the sugar industry and bakery machinery
01-01-1992 		295340 	Manufacture of machinery for the processing of meat, poultry, fish and shellfish
01-01-2003 		295390 	Manufacture of other machinery for the food, beverage and tobacco industries
01-01-1992 	31-12-2002 	295390 	Manufacture of other machinery for the nutrient and beverage industry
01-01-1992 		295400 	Manufacture of machinery for the cladding and leather industry
01-01-1992 		295500 	Manufacture of machinery for paper and paperboard industry
01-01-1992 		295610 	Manufacture of moulds
01-01-1996 		295620 	Manufacture of drying plants
01-01-1992 	31-12-1995 	295620 	Manufacture of drying plants used for agricultural products
01-01-1992 		295690 	Manufacture of industrial machinery
01-01-1992 		296000 	Manufacture of weapons and ammunition
01-01-1996 		297110 	Manufacture of refrigerators and freezers for domestic use
01-01-1992 	31-12-1995 	297110 	Manufacture of refrigerators and freezers for domestic use
01-01-1992 		297120 	Manufacture of domestic electric cookers, cooking appliances and ovens for domestic use
01-01-1992 		297130 	Manufacture of household dishwasher, washing machines
01-01-1992 		297190 	Manufacture of vacuum cleaners, water heaters, electric radiators, coffee machines, etc. for domestic use
01-01-1992 		297200 	Manufacture of non-electrical household appliances and wood-burning stoves
01-01-1992 		300100 	Manufacture of office machinery
01-01-2003 		300200 	Manufacture of computers and other IT equipment
01-01-1992 	31-12-2002 	300200 	Manufacture of computer machines and other computer equipment
01-01-1992 	31-12-2002 	311010 	Manufacture of electric motors and generators
01-01-2003 		311010 	Manufacture of electric motors and generators
01-01-1992 		311020 	Manufacture of generator sets with internal combustion engine, etc.
01-01-1992 		311030 	Manufacture of transformers and converters
01-01-1992 	31-12-2002 	311040 	Manufacture of wind turbines
01-01-2003 		311040 	Manufacture of wind turbines and parts thereof
01-01-1992 		312010 	Manufacture of electrical distribution and control panels
01-01-1992 		312090 	Manufacture of electrical switches, relays, fuses, etc.
01-01-1992 		313000 	Manufacture of insulated wires and cables
01-01-1992 		314000 	Accumulator and dry element factories
01-01-1992 		315000 	Manufacture of luminaires, etc.
01-01-1992 	31-12-1995 	316100 	Manufacture of other electrical equipment for engines and vehicles
01-01-1996 		316100 	Manufacture of other electrical equipment for engines and vehicles n.e.s.
01-01-1992 		316210 	Manufacture of electric traffic control equipment
01-01-1992 		316220 	Electromechanical workshops
01-01-1992 		316290 	Manufacture of other electrical and electronic equipment
01-01-1992 		321010 	Manufacture of printed and integrated circuits
01-01-1992 		321090 	Manufacture of semiconductor components, capacitors, resistors, etc.
01-01-1992 		322010 	Manufacture of radio-telegraphy and radio-telephony apparatus
01-01-1992 		322020 	Manufacture of telephone apparatus and fax machines
01-01-1992 		323010 	Manufacture of radios, televisions, etc.
01-01-1992 		323020 	Manufacture of speakers, etc.
01-01-1992 		323030 	Manufacture of antennas and antenna systems
01-01-1992 	31-12-2002 	331010 	Manufacture of needles and syringes
01-01-2003 		331010 	Manufacture of needles, syringes, catheters and infusion sets
01-01-1992 		331020 	Manufacture of hearing aids and parts thereof
01-01-1992 		331030 	Manufacture of electrodiagnostic apparatus
01-01-1992 		331040 	Manufacture of fixtures for medical and dental use
01-01-1992 		331090 	Manufacture of X-ray apparatus, dental apparatus, respiratory apparatus, orthopedic articles, prostheses, etc.
01-01-1992 		332010 	Manufacture of navigational equipment
01-01-1992 		332020 	Manufacture of appliances for measuring consumption, pressure, etc. in liquids and gases
01-01-1992 		332030 	Manufacture of apparatus for measuring or checking electrical quantities
01-01-1992 		332040 	Manufacture of instruments and apparatus for use in physical or chemical analyses
01-01-1992 		332090 	Manufacture of other measuring and control equipment
01-01-1992 		333000 	Manufacture of equipment for industrial process control systems
01-01-1992 		334010 	Manufacture of lenses and optical instruments, etc.
01-01-1992 		334020 	Manufacture of reproductive cameras
01-01-1992 		334090 	Manufacture of photographic and cinematographic equipment
01-01-1992 		335000 	Manufacture of watches
01-01-1992 		341000 	Car factories
01-01-1992 		342000 	Body factories
01-01-1992 		343000 	Manufacture of parts and accessories for motor vehicles
01-01-2003 		351100 	Construction and repair of ships
01-01-1992 	31-12-2002 	351100 	Shipyards
01-01-2003 		351200 	Building and repair of boats
01-01-1992 	31-12-2002 	351200 	Boat Construction
01-01-1992 		352000 	Manufacture of locomotives and railway wagons, etc.
01-01-1992 		353000 	Aircraft factories and workshops
01-01-1992 		354100 	Manufacture of motorcycles and mopeds
01-01-1992 		354200 	Manufacture of bicycles
01-01-1992 		354300 	Manufacture of invalid vehicles
01-01-1992 		355000 	Manufacture of other means of transport
01-01-1992 		361110 	Manufacture of chairs and other seating
01-01-1992 		361120 	Furniture Upholstery
01-01-1992 	31-12-2002 	361200 	Manufacture of office and shop furniture except chairs
01-01-2003 		361200 	Manufacture of office, shopware and storage furniture except chairs
01-01-2003 		361300 	Manufacture of kitchen elements and furniture, etc.
01-01-1992 	31-12-2002 	361300 	Manufacture of kitchen furniture, etc.
01-01-1992 		361410 	Manufacture of other furniture for homes
01-01-1992 		361490 	Mower paintings, deacidification of furniture, etc.
01-01-1992 		361500 	Mattress factories
01-01-1992 		362100 	Manufacture of coins and medals
01-01-1992 		362210 	Gold and silverware factories
01-01-1992 		362220 	Gold and silversmith workshops and jewels
01-01-1992 		363000 	Manufacture of musical instruments
01-01-1992 	31-12-2002 	364000 	Manufacture of sports props
01-01-2003 		364000 	Manufacture of sports props
01-01-1992 		The 365000 	Manufacture of toys and games
01-01-1992 		366100 	Manufacture of bijouteri products
01-01-1992 		366200 	Brush factories
01-01-1992 		366310 	Candlesbuks
01-01-1992 		366390 	Manufacture of other products
01-01-1992 		371000 	Recycling of metal waste products
01-01-1992 		372000 	Recycling of non-metallic waste products
01-01-1992 	31-12-2002 	401000 	Electricity supply
01-01-2002 		401100 	Production of electricity
01-01-2002 		401200 	Transmission of electricity
01-01-2002 		401300 	Distribution and trade of electricity
01-01-1992 	31-12-2002 	402000 	Gas supply
01-01-2002 		402100 	Manufacture of gas
01-01-2002 		402200 	Distribution and trading of gas through pipelines
01-01-1992 		403000 	Heat supply
01-01-1992 		410000 	Water supply
01-01-1992 		451100 	Demolition and ground labour contractors
01-01-1992 		451200 	Funding studies
01-01-2003 		452100 	Construction contractors (except deduction and
01-01-1992 	31-12-2002 	452100 	Construction contractors (other than demolition and groundwork contractors)
01-01-1992 		452200 	Roofing business
01-01-1992 		452510 	Masonry stores
01-01-1992 		452520 	Bridgelayers
01-01-1992 		452530 	Sewer masters
01-01-1992 		452540 	Scaffolding shops
01-01-1992 		452590 	Construction and construction that requires specialisation in general
01-01-2003 		453100 	Electrical installation
01-01-1992 	31-12-2002 	453100 	Electrical installation stores
01-01-1992 		453200 	Insulation business
01-01-1992 		453300 	plumbers and plumbing shops
01-01-1992 		454100 	Stukumkere
01-01-1992 		454200 	Carpentry and building joiner stores
01-01-1992 		454310 	Flooring and wall cladding
01-01-1992 		454320 	Floor planing and floor sanding
01-01-1992 		454410 	Paintings
01-01-1992 		454420 	Glazier stores
01-01-1992 		454500 	Other completion work, moreover
01-01-1992 		455000 	Rental of construction equipment with operating staff
01-01-1992 	31-12-2002 	501010 	Wholesale of Cars
01-01-2003 		501010 	Wholesale trade in cars, etc.
01-01-1992 		501020 	Retail trade in cars
01-01-1992 		501030 	Wholesale and retail trade services of caravans, etc.
01-01-1992 		502010 	Auto Repair Workshops
01-01-1992 		502020 	Bodywork workshops (platesmiths)
01-01-1992 		502030 	Autoelectricians
01-01-1992 		502040 	Undercarriage treatment
01-01-1992 		502050 	Auto paintings
01-01-1992 		502060 	Tyre service
01-01-1992 		502090 	Autoservice by the way
01-01-1992 		503010 	Wholesale trade services with spare parts and accessories for cars, etc.
01-01-1992 		503020 	Retail trade services of spare parts and accessories for cars, etc. (auto equipment stores)
01-01-1992 		504000 	Wholesale and retail trade services of motorcycles, spare parts and accessories and their repair and maintenance
01-01-1992 		505010 	Service stations without kiosk sales
01-01-1992 		505020 	Service stations with kiosk sales
01-01-1992 		511100 	Agricultural machinery trade services in agricultural, agricultural products, live animals, textile materials and semi-finished products
01-01-1992 		511200 	Agency trade in fuels, ores, metals and chemical products for industry
01-01-1992 		511300 	Agency trade in timber and other building materials
01-01-1992 		511400 	Agency trade in machinery, technical equipment, ships and aeroplanes
01-01-1992 		511500 	Agency trade in furniture, household goods and hardware
01-01-1992 		511600 	Agricultural trade services in textiles, clothing, footwear and leather goods
01-01-1992 		511710 	Fish Auctions
01-01-2003 		511790 	Other Agency trade in food, drink and tobacco products
01-01-1992 	31-12-2002 	511790 	Other agency trade in food and enjoyment services
01-01-1992 		511800 	Agency trade with other specialized assortment
01-01-1992 		511900 	Mixed range agency trade
01-01-1992 		512100 	Wholesale trade in cereals, seed and feedingstuffs
01-01-1992 		512200 	Wholesale of flowers and plants
01-01-1992 		512300 	Wholesale trade in live animals
01-01-1992 		512400 	Wholesale trade in raw hides, skins and leather
01-01-1992 		512500 	Wholesale trade in raw tobacco
01-01-1992 		513100 	Wholesale trade in fruit and vegetables
01-01-1992 		513200 	Wholesale trade services in meat and meat products
01-01-1992 		513300 	Wholesale trade services in dairy products, eggs, edible oils and fats
01-01-1992 		513410 	Wholesale trade in beer and mineral water
01-01-1992 		513420 	Wholesale trade in wine and spirits
01-01-1992 		513490 	Wholesale trade in fruit and vegetable juices, etc.
01-01-1992 		513500 	Wholesale trade in tobacco products
01-01-2003 		513600 	Wholesale trade in bread, cakes, sugar, chocolate and sugar products, e.g. sweets
01-01-1992 	31-12-2002 	513600 	Wholesale trade in sugar, chocolate and sugar
01-01-1992 		513700 	Wholesale trade in coffee, tea, cocoa and spices
01-01-1992 	31-12-1995 	513800 	Non-specialised wholesale trade of nutrient and remedials
01-01-1992 		513810 	Wholesale trade services in fish and fish products
01-01-1992 	31-12-2002 	513820 	Wholesale trade in bread, cakes and biscuits
01-01-1992 		513830 	Wholesale trade in health food products
01-01-2003 		513890 	Other specialised wholesale trade in food, drink and tobacco products
01-01-1992 	31-12-2002 	513890 	Other specialised wholesale trade in food and enjoyment products
01-01-2003 		513900 	Non-specialised wholesale trade in food, drink and tobacco products
01-01-1992 	31-12-2002 	513900 	Non-specialised wholesale trade of nutrient and remedials
