category,rows,empty_en,official_en,mojibake,danish_chars_in_en,src_who_icd10,src_who_atc,src_nace2,src_isco08,src_isco88,src_isco08_crosswalk
HEA_DW,20,0,0,0,0,0,0,0,0,0,0
HEA_DWG,17,0,0,0,0,0,0,0,0,0,0
HEA_DWK,18,0,0,0,0,0,0,0,0,0,0
HEA_GA,15,0,0,0,0,0,0,0,0,0,0
HEA_GI,5,0,0,0,0,0,0,0,0,0,0
HEA_GP,17,0,0,0,0,0,0,0,0,0,0
HEA_ICD10,15206,0,14601,0,1,14601,0,0,0,0,0
HEA_L,12,0,0,0,0,0,0,0,0,0,0
HEA_MG,11,0,0,0,0,0,0,0,0,0,0
HEA_ML,16,0,0,0,0,0,0,0,0,0,0
HEA_PK,2,0,0,0,0,0,0,0,0,0,0
HEA_ST,11,0,0,0,0,0,0,0,0,0,0
HEA_TU,5,0,0,0,0,0,0,0,0,0,0
HEA_atc,1657,0,1656,0,0,0,1656,0,0,0,0
HEA_patienttype,4,0,0,0,0,0,0,0,0,0,0
HEA_speciale,6134,0,0,0,89,0,0,0,0,0,0
HEA_urgency,9,0,0,0,0,0,0,0,0,0,0
LAB_akm,3,0,0,0,0,0,0,0,0,0,0
LAB_arblhumv,100,0,0,0,0,0,0,0,0,0,0
LAB_assets,100,0,0,0,0,0,0,0,0,0,0
LAB_branche,619,0,0,0,0,0,0,0,0,0,0
LAB_bredt,100,0,0,0,0,0,0,0,0,0,0
LAB_dagpenge,100,0,0,0,100,0,0,0,0,0,0
LAB_db07,747,0,743,0,0,0,0,743,0,0,0
LAB_disco,793,0,791,0,0,0,0,0,0,623,168
LAB_disco08,756,0,756,0,0,0,0,0,756,0,0
LAB_dispon,100,0,0,0,0,0,0,0,0,0,0
LAB_erhvervsindk,100,0,0,0,0,0,0,0,0,0,0
LAB_folkefortid,10,0,0,0,10,0,0,0,0,0,0
LAB_formueindk,100,0,0,0,0,0,0,0,0,0,0
LAB_fravaer,4,0,0,0,0,0,0,0,0,0,0
LAB_gron,10,0,0,0,0,0,0,0,0,0,0
LAB_honny,100,0,0,0,0,0,0,0,0,0,0
LAB_kontanthj,100,0,0,0,0,0,0,0,0,0,0
LAB_korstoett,100,0,0,0,0,0,0,0,0,0,0
LAB_korydial,10,0,0,0,0,0,0,0,0,0,0
LAB_lejev,100,0,0,0,0,0,0,0,0,0,0
LAB_loenmv,100,0,0,0,0,0,0,0,0,0,0
LAB_nace,871,0,209,0,0,0,0,0,0,0,0
LAB_netovskud,100,0,0,0,0,0,0,0,0,0,0
LAB_off,100,0,0,0,0,0,0,0,0,0,0
LAB_offpens,100,0,0,0,100,0,0,0,0,0,0
LAB_ovrig,300,0,0,0,300,0,0,0,0,0,0
LAB_perindkialt,100,0,0,0,0,0,0,0,0,0,0
LAB_privat,100,0,0,0,0,0,0,0,0,0,0
LAB_qeftlon,100,0,0,0,100,0,0,0,0,0,0
LAB_rentudgpr,100,0,0,0,0,0,0,0,0,0,0
LAB_resuink,100,0,0,0,0,0,0,0,0,0,0
LAB_skatmvialt,100,0,0,0,0,0,0,0,0,0,0
LAB_soc,40,0,0,0,0,0,0,0,0,0,0
LAB_socio,51,0,0,0,1,0,0,0,0,0,0
LAB_socio13,21,0,0,0,1,0,0,0,0,0,0
LAB_stip,10,0,0,0,0,0,0,0,0,0,0
LAB_stoette,7,0,0,0,0,0,0,0,0,0,0
LAB_syg,100,0,0,0,0,0,0,0,0,0,0
LAB_tilstand,69,0,0,0,1,0,0,0,0,0,0
LAB_udd,1,0,0,0,0,0,0,0,0,0,0
LAB_underhol,100,0,0,0,0,0,0,0,0,0,0
SOC_afgtypko,86,0,0,0,0,0,0,0,0,0,0
SOC_ansted,32,0,0,0,0,0,0,0,0,0,0
SOC_betbkod,1,0,0,0,0,0,0,0,0,0,0
SOC_boedeblb,10,0,0,0,0,0,0,0,0,0,0
SOC_bstrfkod,3,0,0,0,0,0,0,0,0,0,0
SOC_bstrflgd,10,0,0,0,0,0,0,0,0,0,0
SOC_charge,1,0,0,0,0,0,0,0,0,0,0
SOC_dagboant,1,0,0,0,0,0,0,0,0,0,0
SOC_dagbobel,10,0,0,0,0,0,0,0,0,0,0
SOC_end,3,0,0,0,0,0,0,0,0,0,0
SOC_fgslkod,6,0,0,0,0,0,0,0,0,0,0
SOC_frakbkod,4,0,0,0,0,0,0,0,0,0,0
SOC_frakkod,186,0,0,0,2,0,0,0,0,0,0
SOC_ger7,938,0,0,0,0,0,0,0,0,0,0
SOC_haendelse,9,0,0,0,0,0,0,0,0,0,0
SOC_loeslkod,9,0,0,0,0,0,0,0,0,0,0
SOC_overfkod,2,0,0,0,0,0,0,0,0,0,0
SOC_pgf,52,0,0,0,0,0,0,0,0,0,0
SOC_revoke,10,0,0,0,0,0,0,0,0,0,0
SOC_samtykke,15,0,0,0,0,0,0,0,0,0,0
SOC_start,2,0,0,0,0,0,0,0,0,0,0
SOC_ubstrflg,10,0,0,0,0,0,0,0,0,0,0
SOC_victim,1,0,0,0,0,0,0,0,0,0,0
special_tokens,5,0,0,0,0,0,0,0,0,0,0
