ydelsesnr,description_da,region,agreement
4384,Tidsforbrug pr. påbegyndt 10 min.,Hovedstaden,Bornholm lokalaftale
4418,Terminalydelse,Sjælland,Terminalydelse (honorar A-/B-vagt)
4435,Video-/telekonference pr. påbegyndt 10 min.,Syddanmark,Alvorligt syge og døende / videokonference
4442,Forebyggelse af indlæggelse — hjemmebesøg op til 4 km,Syddanmark,Forebyggelse af indlæggelser
4443,Forebyggelse af indlæggelse — hjemmebesøg 5-8 km,Syddanmark,Forebyggelse af indlæggelser
4444,Forebyggelse af indlæggelse — hjemmebesøg 9-12 km,Syddanmark,Forebyggelse af indlæggelser
4445,Forebyggelse af indlæggelse — hjemmebesøg 13-16 km,Syddanmark,Forebyggelse af indlæggelser
4446,Forebyggelse af indlæggelse — hjemmebesøg 17-20 km,Syddanmark,Forebyggelse af indlæggelser
4447,Forebyggelse af indlæggelse — hjemmebesøg 21+ km,Syddanmark,Forebyggelse af indlæggelser
4460,Socialmedicinsk hjemmebesøg op til 4 km,Syddanmark,Socialmedicinsk hjemmebesøg
4461,Socialmedicinsk hjemmebesøg 5-8 km,Syddanmark,Socialmedicinsk hjemmebesøg
4462,Socialmedicinsk hjemmebesøg 9-12 km,Syddanmark,Socialmedicinsk hjemmebesøg
4463,Socialmedicinsk hjemmebesøg 13-16 km,Syddanmark,Socialmedicinsk hjemmebesøg
4464,Socialmedicinsk hjemmebesøg 17-20 km,Syddanmark,Socialmedicinsk hjemmebesøg
4465,Socialmedicinsk hjemmebesøg 21+ km,Syddanmark,Socialmedicinsk hjemmebesøg
4503,Honorering for fremsendelse af digitale billeder til speciallæger i dermato-venerologi,Midtjylland,Teledermatologi
4584,Sygebesøg palliativ aftale op til 4 km,Midtjylland,Palliativ aftale
4585,Sygebesøg palliativ aftale 5-8 km,Midtjylland,Palliativ aftale
4586,Sygebesøg palliativ aftale 9-12 km,Midtjylland,Palliativ aftale
4587,Sygebesøg palliativ aftale 13-16 km,Midtjylland,Palliativ aftale
4588,Sygebesøg palliativ aftale 17-20 km,Midtjylland,Palliativ aftale
4589,Sygebesøg palliativ aftale fra 21 km,Midtjylland,Palliativ aftale
4590,Tidstillægsmodul,Midtjylland,Palliativ aftale
4591,Planlægningsmøde,Midtjylland,Palliativ aftale
4592,Samtale med pårørende,Midtjylland,Palliativ aftale
4593,Skema SPICT,Midtjylland,Palliativ aftale
4594,Skema sygebesøg palliativ aftale,Midtjylland,Palliativ aftale
4609,Krisesamtale,Syddanmark,Samtaleterapi og krisesamtaler
4610,Samtaleterapi,Syddanmark,Samtaleterapi og krisesamtaler
4612,Type 2-diabetes DD2 model 1 (komplet indrullering),National,DD2-projekt
4614,Type 2-diabetes DD2 model 3 (henvisning),National,DD2-projekt
4615,Type 2-diabetes DD2 model 4 (delvis indrullering / blodprøve),National,DD2-projekt
4616,Samtaleterapi — tillæg pr. ekstra person,Syddanmark,Samtaleterapi
4620,Tidsforbrugstillæg 15 min.,Syddanmark,Alvorligt syge og døende
4621,Tidsforbrugstillæg 20 min.,Syddanmark,Alvorligt syge og døende
4622,Tidsforbrugstillæg 25 min.,Syddanmark,Alvorligt syge og døende
4623,Tidsforbrugstillæg 30 min.,Syddanmark,Alvorligt syge og døende
4624,Tidsforbrugstillæg 35 min.,Syddanmark,Alvorligt syge og døende
4625,Tidsforbrugstillæg 40 min.,Syddanmark,Alvorligt syge og døende
4626,Tidsforbrugstillæg 45+ min.,Syddanmark,Alvorligt syge og døende
4657,Samtale med pårørende,Syddanmark,Alvorligt syge og døende / palliation
4658,Samtale med pårørende (opfølgning),Syddanmark,Alvorligt syge og døende
4659,Honorar pr. påbegyndt time (udskrivningskonference),Syddanmark,Udskrivningskonference
4660,Afstandstillæg op til 4 km,Syddanmark,Udskrivningskonference
4661,Afstandstillæg 5-8 km,Syddanmark,Udskrivningskonference
4662,Afstandstillæg 9-12 km,Syddanmark,Udskrivningskonference
4663,Afstandstillæg 13-16 km,Syddanmark,Udskrivningskonference
4664,Afstandstillæg 17-20 km,Syddanmark,Udskrivningskonference
4665,Afstandstillæg 21+ km,Syddanmark,Udskrivningskonference
4666,Afstandstillæg længere distance,Syddanmark,Udskrivningskonference
4669,Alvorligt syge og døende — fremmøde,Syddanmark,Alvorligt syge og døende
4670,Alvorligt syge og døende — i lægens konsultation,Syddanmark,Alvorligt syge og døende
4676,Opfølgning efter indlæggelse — i lægens konsultation,Syddanmark,Opfølgning efter indlæggelse
4680,Hjemmebesøg alvorligt syge op til 4 km,Syddanmark,Alvorligt syge og døende
4681,Hjemmebesøg alvorligt syge 5-8 km,Syddanmark,Alvorligt syge og døende
4682,Hjemmebesøg alvorligt syge 9-12 km,Syddanmark,Alvorligt syge og døende
4683,Hjemmebesøg alvorligt syge 13-16 km,Syddanmark,Alvorligt syge og døende
4684,Hjemmebesøg alvorligt syge 17-20 km,Syddanmark,Alvorligt syge og døende
4685,Hjemmebesøg alvorligt syge 21+ km,Syddanmark,Alvorligt syge og døende
4687,Alvorligt syge og døende — via telefon pr. 10 min.,Syddanmark,Alvorligt syge og døende
4688,Opfølgning efter indlæggelse — besøg op til 4 km,Syddanmark,Opfølgning efter indlæggelse
4689,Opfølgning efter indlæggelse — besøg 5-8 km,Syddanmark,Opfølgning efter indlæggelse
4690,Opfølgning efter indlæggelse — besøg 9-12 km,Syddanmark,Opfølgning efter indlæggelse
4691,Opfølgning efter indlæggelse — besøg 13-16 km,Syddanmark,Opfølgning efter indlæggelse
4692,Opfølgning efter indlæggelse — besøg 17-20 km,Syddanmark,Opfølgning efter indlæggelse
4693,Opfølgning efter indlæggelse — besøg 21+ km,Syddanmark,Opfølgning efter indlæggelse
7101,Laboratorieydelse (vagttid),Midtjylland,Laboratorieydelser vagttid
7108,Laboratorieydelse (vagttid),Midtjylland,Laboratorieydelser vagttid
7109,Laboratorieydelse (vagttid),Midtjylland,Laboratorieydelser vagttid
7120,Laboratorieydelse (vagttid),Midtjylland,Laboratorieydelser vagttid
7136,Laboratorieydelse (vagttid),Midtjylland,Laboratorieydelser vagttid
7156,Laboratorieydelse (vagttid),Midtjylland,Laboratorieydelser vagttid
7402,Allergiudredning,Syddanmark,Allergiudredning ved priktest
7403,HbA1c-undersøgelse,Hovedstaden,HbA1c rammeaftale
8189,Blodprøvetagning fra åre inkl. præp. og centrifugering (ø-læger),Sjælland,Blodprøvetagning ø-læger
9001,Kørselsgodtgørelse pr. km,Hovedstaden,Demensaftalen
