description_da,n_rows,sample_value,specialty_code,specialty_name_en,spec4_txt,spec3_txt,plo_fuller,current_bad_en
"Anæsthesiologi, Anæstæsi med intubation 61-120 min",1,13024,1,Anaesthesiology,,,,"Anesthesiology, Anesthesia with Intubation 61-120 min"
"Anæsthesiologi, Anæstæsi med intubation over 120 min",1,13025,1,Anaesthesiology,,,,"Anesthesiology, Anesthesia with intubation over 120 min"
"Anæsthesiologi, Bedøvelse GrI    *1*",1,13110,1,Anaesthesiology,,,,"Anesthesiology, Bedside Level I   *1*"
"Anæsthesiologi, Bedøvelse GrI  *flg*",1,13210,1,Anaesthesiology,,,,"Anesthesiology, Patient Movement Grade I *follows*"
"Anæsthesiologi, Bedøvelse GrII   *1*",1,13120,1,Anaesthesiology,,,,"Anesthesiology, Transfer Level II *1*"
"Anæsthesiologi, Bedøvelse GrII *flg*",1,13220,1,Anaesthesiology,,,,"Anesthesiology, Movement Grade II *follow-up*"
"Anæsthesiologi, Bedøvelse GrIII  *1*",1,13130,1,Anaesthesiology,,,,"Anesthesiology, Movement Disorder GrIII  *1*"
"Anæsthesiologi, Bedøvelse GrIII*flg*",1,13230,1,Anaesthesiology,,,,"Anesthesiology, Movement disorder Grade III*follow-up*"
"Anæsthesiologi, Bedøvelse GrIV   *1*",1,13140,1,Anaesthesiology,,,,"Anesthesiology, Surgery GrIV *1*"
"Anæsthesiologi, Bedøvelse GrIV *flg*",1,13240,1,Anaesthesiology,,,,"Anesthesiology, Movement Grade IV *flg*"
"Anæsthesiologi, Besøg",1,11401,1,Anaesthesiology,,,,"Anesthesiology, Visit"
"Anæsthesiologi, Bistand til øjen/øre",1,13020,1,Anaesthesiology,,,,"Anesthesiology, Assistance to male/female"
"Anæsthesiologi, E-mail kons",1,10235,1,Anaesthesiology,,,,"Anesthesiology, Email consultation"
"Anæsthesiologi, E-mail konsultation",1,10105,1,Anaesthesiology,,,,"Anesthesiology, Email Consultation"
"Anæsthesiologi, I.V. Reg. Sympat.Bl.",1,12633,1,Anaesthesiology,,,,"Anesthesiology, IV Regional Sympathetic Block"
"Anæsthesiologi, Injekt. i epiduralr.",1,12635,1,Anaesthesiology,,,,"Anesthesiology, Epidural injection."
"Anæsthesiologi, Injektion i bursae",1,12626,1,Anaesthesiology,,,,"Anesthesiology, Injection into bursa"
"Anæsthesiologi, Intraart. injektion.",1,12621,1,Anaesthesiology,,,,"Anesthesiology, Intra-articular injection."
"Anæsthesiologi, Kortvarig anæstæsi med intubation",1,13022,1,Anaesthesiology,,,,"Anesthesiology, Brief anesthesia with intubation"
"Anæsthesiologi, Kortvarig anæstæsi med maske",1,13021,1,Anaesthesiology,,,,"Anesthesiology, Short-term anesthesia with mask"
"Anæsthesiologi, Kørselsgodtgør.  I",1,19001,1,Anaesthesiology,,,,"Anesthesiology, Certification of fitness for work I"
"Anæsthesiologi, Ledningsbl./nervebl.",1,12622,1,Anaesthesiology,,,,"Anesthesiology, Conduction block/nerve block."
"Anæsthesiologi, Længvar. anæstesi A",1,15002,1,Anaesthesiology,,,,"Anesthesiology, Long-term anesthesia A"
"Anæsthesiologi, Manipulationsbeh.",1,12623,1,Anaesthesiology,,,,"Anesthesiology, Manipulative treatment"
"Anæsthesiologi, Muskelblokader",1,12611,1,Anaesthesiology,,,,"Anesthesiology, muscle block"
"Anæsthesiologi, Neurolytiske blokad.",1,12636,1,Anaesthesiology,,,,"Anesthesiology, Neurolytic block."
"Anæsthesiologi, Paravertebal blokade",1,12637,1,Anaesthesiology,,,,"Anesthesiology, Paravertebral block"
"Anæsthesiologi, Perivertebral. blok.",1,12634,1,Anaesthesiology,,,,"Anesthesiology, Paravertebral block"
"Anæsthesiologi, Pt-Ekg  3 Ext.Afl. 6",1,17155,1,Anaesthesiology,,,,"Anesthesiology, Pt EKG 3 Extended Lead 6"
"Anæsthesiologi, Senere Kons. Smerte.",1,10130,1,Anaesthesiology,,,,"Anesthesiology, Later Consultation Pain"
"Anæsthesiologi, Sympaticusblo.(cer.)",1,12631,1,Anaesthesiology,,,,"Anesthesiology, Sympathetic Block (cer.)"
"Anæsthesiologi, Sympaticusblo.(lum.)",1,12632,1,Anaesthesiology,,,,"Anesthesiology, Sympathetic Block(lumbar)"
"Anæsthesiologi, Tlf. Kons. Smerte.",1,10201,1,Anaesthesiology,,,,"Anesthesiology, Telephone Consultation Pain"
"Anæsthesiologi, Tlf.rådg.prakt.læge",1,10205,1,Anaesthesiology,,,,"Anesthesiology, Telephone consultation by practitioner"
"Anæsthesiologi, Tolk ifm. kons.  3",1,15310,1,Anaesthesiology,,,,"Anesthesiology, Interpreter with consultation 3"
"Anæsthesiologi, Transcutan nervesti.",1,12625,1,Anaesthesiology,,,,"Anesthesiology, Transcutaneous nerve stimulation."
"Anæsthesiologi, Triggerpunktblokade",1,12620,1,Anaesthesiology,,,,"Anesthesiology, Trigger point block"
"Anæsthesiologi, Udvid. Lungefunktpr.",1,13010,1,Anaesthesiology,,,,"Anesthesiology, Extended Lung Function Test"
"Anæsthesiologi, Udvidet 1. kons. smertebehandling",1,10112,1,Anaesthesiology,,,,"Anesthesiology, Expanded Initial Pain Management Consultation"
"Anæsthesiologi, Ukendt",4,13150,1,Anaesthesiology,,,,"Anesthesiology, Unknown"
"Anæsthesiologi, læ anæ.ifm ørelægebi",2,15001,1,Anaesthesiology,,,,"Anesthesiology, larynx and including ear-nose-throat"
"Anæsthesiologi, tillæg for tolk",1,10161,1,Anaesthesiology,,,,"Anesthesiology, Accompaniment for interpreter"
"Anæsthesiologi, tolkebistand",1,12161,1,Anaesthesiology,,,,"Anesthesiology, Interpreter assistance"
"Anæsthesiologi, ukendt",1,10114,1,Anaesthesiology,,,,"Anesthesiology, unknown"
"Klinisk kemi, 1. Kons.",1,110110,11,Clinical chemistry,Konsultation,Klinisk Kemi,,"Clinical chemistry, 1. Consultation."
"Klinisk kemi, 2. Kons.",1,110120,11,Clinical chemistry,Konsultation,Klinisk Kemi,,"Clinical chemistry, 2nd Consultation"
"Klinisk kemi, Senere Kons.",1,110130,11,Clinical chemistry,Konsultation,Klinisk Kemi,,"Clinical chemistry, Later Consultation"
"Klinisk kemi, Tlf. Kons.",1,110201,11,Clinical chemistry,Tlf. Konsultation,Klinisk Kemi,,"Clinical chemistry, Telephone Consultation"
"Ørelægevagt Kbh., Besøg",1,150101,15,"ENT on-call, Copenhagen",Besøg,Ørelægevagt Kbh.,,"Ear Doctor On-call Copenhagen, Visit"
"Ørelægevagt KAK, 1. Konsultation",1,160101,16,"ENT on-call, KAK",Konsultation,Ørelægevagt KAK,,"Ear Nose Throat Emergency, First Consultation"
"Ørelægevagt KAK, Gennem-Sk. Trommeh.",2,163003,16,"ENT on-call, KAK",Operationer,Operationer,,"Ear care duty, ENT, Through-Stapedial Reflex"
"Ørelægevagt KAK, Impedansaudiometri",1,162002,16,"ENT on-call, KAK",Undersøg. Og Biopsi,Undersøg. Og Biopsi,,"Ear doctor on call KAK, Impedance audiometry"
"Ørelægevagt KAK, Kaust. Beh. Næsen",1,163002,16,"ENT on-call, KAK",Operationer,Operationer,,"Ear Doctor Guard KAK, Caustic Treatment Nose"
"Ørelægevagt KAK, Paracentese",2,163022,16,"ENT on-call, KAK",Operationer,Operationer,,"Ear Doctor Shift KAK, Paracentesis"
"Ørelægevagt KAK, Punkt. Af Kæbehule",2,163001,16,"ENT on-call, KAK",Operationer,Operationer,,"ENT On-call Service KAK, Puncturing of Ear Drum"
"Ørelægevagt KAK, Senere Konsultation",1,160102,16,"ENT on-call, KAK",Konsultation,Ørelægevagt KAK,,"Ear Doctor Guard KAK, Later Consultation"
"Ørelægevagt KAK, Streptokokantigent.",1,162015,16,"ENT on-call, KAK",Undersøg. Og Biopsi,Undersøg. Og Biopsi,,"Ear Clinic On-call Service KAK, Streptococcal Antigen Test"
"Ørelægevagt KAK, Und. af hør. v. t/s",1,162020,16,"ENT on-call, KAK",Undersøg. Og Biopsi,Undersøg. Og Biopsi,,"Ear Clinic On-call Service KAK, Investigation of hearing via telephone/short stay"
"Neurokirurgi, 1. Kons.",1,170110,17,Neurosurgery,Konsultation,Neurokirurgi,,"Neurosurgery, 1st Consultation"
"Neurokirurgi, 2. Kons.",1,170120,17,Neurosurgery,Konsultation,Neurokirurgi,,"Neurosurgery, 2nd Consultation"
"Neurokirurgi, Senere Kons.",1,170130,17,Neurosurgery,Konsultation,Neurokirurgi,,"Neurosurgery, Later Consultation"
"Neurokirurgi, Tlf. Kons.",1,170201,17,Neurosurgery,Tlf. Konsultation,Neurokirurgi,,"Neurosurgery, Tel. Consultation"
"Neuromedicin, (procedure not documented)",24,185816,18,Neurology,,,,"Neurology, (procedure not documented)"
"Neuromedicin, 1. Kons.",1,180110,18,Neurology,Konsultation,Neuromedicin,,"Neurology, 1st Consult."
"Neuromedicin, 1. Konsult. Pg.3 A20",1,185320,18,Neurology,"Telefonkonsultation, møder","Telefonkonsultation, møder",,"Neurology, 1. Konsult. Pg.3 A20"
"Neuromedicin, 2. Kons.",1,180120,18,Neurology,Konsultation,Neuromedicin,,"Neurology, 2nd Consultation"
"Neuromedicin, Afstandstillæg",1,181101,18,Neurology,Afstandstillæg,Besøg og Afst.tillæg,,"Neurology, Distance consultation"
"Neuromedicin, Besøg",1,181401,18,Neurology,Besøg,Besøg og Afst.tillæg,,"Neurology, Visit"
"Neuromedicin, E-mail kons.",1,180105,18,Neurology,Konsultation,Neuromedicin,,"Neurology, Email consultation"
"Neuromedicin, Elektroenc. M/søvnk.",1,182125,18,Neurology,Særydelser,Særydelser,,"Neurology, Electroencephalogram monitoring"
"Neuromedicin, Elektroencephalog.",1,182124,18,Neurology,Særydelser,Særydelser,,"Neurology, Elektroencephalog."
"Neuromedicin, Email konsultation",1,180107,18,Neurology,Konsultation,Neuromedicin,,"Neurology, Email Consultation"
"Neuromedicin, Ingen tekst tilgængelig",6,185810,18,Neurology,,,,"Neurology, (no text available)"
"Neuromedicin, Kørselsgodtgør.  I",1,189001,18,Neurology,Kørselsgodtgørelse,Kørselsgodtgørelse,,"Neurology, Mileage reimbursement I"
"Neuromedicin, Neurokir. 1.Kons.",1,180210,18,Neurology,Konsultation M.V.,Neuromedicin,,"Neurology, Neurosurgery Initial Consultation"
"Neuromedicin, Neurokir. 2.Kons.",1,180220,18,Neurology,Konsultation M.V.,Neuromedicin,,"Neurology, Neurosurgery 2nd Consultation"
"Neuromedicin, Neurokir. 3.Kons.",1,180230,18,Neurology,Konsultation M.V.,Neuromedicin,,"Neurology, Neurosurgery 3 Consultations"
"Neuromedicin, Neurokir. Tlf. Kons.",1,180301,18,Neurology,Neurokir. Tlf. Kons.,Neuromedicin,,"Neurology, Neurosurgery Telephone Consultation"
"Neuromedicin, Sen. kons.  Pg.3 A20",1,185322,18,Neurology,"Telefonkonsultation, møder","Telefonkonsultation, møder",,"Neurology, Senior consultation.  Pg.3 A20"
"Neuromedicin, Senere Kons.",1,180130,18,Neurology,Konsultation,Neuromedicin,,"Neurology, Later Consultation"
"Neuromedicin, Tlf. Kons.",1,180201,18,Neurology,Konsultation M.V.,Neuromedicin,,"Neurology, Tel. Consult."
"Neuromedicin, Tlf.rådg.prakt.læge",2,180207,18,Neurology,Konsultation M.V.,Neuromedicin,,"Neurology, Telephone consultation with practicing doctor"
"Neuromedicin, Tolk ifm. kons.  3",1,185310,18,Neurology,"Telefonkonsultation, møder","Telefonkonsultation, møder",,"Neurology, Interpreter with consultation 3"
"Neuromedicin, tillæg for tolk",1,180161,18,Neurology,Konsultation,Neuromedicin,,"Neurology, Accompaniment for interpreter"
"Neuromedicin, tolkebistand",1,182161,18,Neurology,Særydelser,Særydelser,,"Neurology, tolkebistand"
"Øjenlægehjælp, (ingen tekst tilgængelig)",1,197136,19,Ophthalmology service,Øjenlægehjælp,Øjenlægehjælp,,"Eye Care, (no text available)"
"Øjenlægehjælp, (procedure not documented)",70,195036,19,Ophthalmology service,,,,"Eye care, (procedure not documented)"
"Øjenlægehjælp, 1.Konsultation",1,190110,19,Ophthalmology service,Konsultation,Øjenlægehjælp,,"Ophthalmological assistance, 1st Consultation"
"Øjenlægehjælp, 1.kon gråstær op A35",1,195013,19,Ophthalmology service,Ydelser Rammeaftaler,Ydelser Rammeaftaler,,"Ophthalmology Help, 1st Consultation grossly op A35"
"Øjenlægehjælp, 2002 frit.loft/B080",1,195800,19,Ophthalmology service,2002 frit.loft/B080,Ydelser Rammeaftaler,,"Eye care, 2002 open Loft/B080"
"Øjenlægehjælp, 3-aftale grå stær",1,196445,19,Ophthalmology service,Ov.Yd. Efterstær 1.,Overgangsydelser,,"Ophthalmology Help, 3-Visit Glaucoma"
"Øjenlægehjælp, Afstandstillæg",1,191101,19,Ophthalmology service,Afstandstillæg,Afstandstillæg,,"Eye Care, Distance Vision"
"Øjenlægehjælp, Automat. Perimetri",1,192004,19,Ophthalmology service,Tillægsydelser,Tillægsydelser,,"Ophthalmological assistance, Automated perimeter"
"Øjenlægehjælp, Beh. Efterst. YAG Fg",1,193603,19,Ophthalmology service,Følg. operationer,Operationer,,"Eye care, Treatment Posterior YAG Laser"
"Øjenlægehjælp, Beh. Efterstær YAG 1",2,193503,19,Ophthalmology service,Operat. og undersøg.,Operationer,,"Eye outpatient assistance, Treatment Posterior YAG 1"
"Øjenlægehjælp, Beh. Grøn St. Yag Fg",1,193604,19,Ophthalmology service,Følg. operationer,Operationer,,"Eye care assistance, Treatment Green Nd:YAG laser"
"Øjenlægehjælp, Beh. Grøn Stær YAG 1",2,193504,19,Ophthalmology service,Operat. og undersøg.,Operationer,,"Ophthalmology help, Treatment Green Nd:YAG laser 1"
"Øjenlægehjælp, Beh.Grøn Stær YAG Fg",1,195105,19,Ophthalmology service,Flg. Ope. Rammeaft.,Ydelser Rammeaftaler,,"Eye Care Assistance, Treatment Group Green Nd:YAG Laser FG"
"Øjenlægehjælp, Beh.ef.stær YAGlaser",1,195009,19,Ophthalmology service,Ydelser Rammeaftaler,Ydelser Rammeaftaler,,"Eye medical assistance, Treatment with Nd:YAG laser"
"Øjenlægehjælp, Besøg",1,190401,19,Ophthalmology service,Besøg,Øjenlægehjælp,,"Eye Care, Visit"
"Øjenlægehjælp, Biopsi",1,192101,19,Ophthalmology service,Tillægsydelser,Tillægsydelser,,"Eye Care, Biopsy"
"Øjenlægehjælp, CCT screening, amt65",1,195021,19,Ophthalmology service,Ydelser Rammeaftaler,Ydelser Rammeaftaler,,"Ophthalmology Help, CCT Screening, county65"
"Øjenlægehjælp, Diagn. Nethindeløsn.",1,192002,19,Ophthalmology service,Tillægsydelser,Tillægsydelser,,"Eye care, Diagnosis of eyelid disorder NOS"
"Øjenlægehjælp, Diagn.kontrol.P.Van.",1,195010,19,Ophthalmology service,Ydelser Rammeaftaler,Ydelser Rammeaftaler,,"Eye Care, Diagnostic Control PVR"
"Øjenlægehjælp, Email kons",1,190105,19,Ophthalmology service,Konsultation,Øjenlægehjælp,,"Ophthalmological Help, Email Consultation"
"Øjenlægehjælp, Fjern. Fremmedleg.An",2,194002,19,Ophthalmology service,Operationer Analog.,Operationer Analog.,,"Eye care, Removal Foreign Object"
"Øjenlægehjælp, Fjern. Fremmedlegeme",2,193002,19,Ophthalmology service,Operationer,Operationer,,"Eye Help, Removal of Foreign Body"
"Øjenlægehjælp, Fjern. Pterygium",2,193008,19,Ophthalmology service,Operationer,Operationer,,"Eye Help, Excision of Pterygium"
"Øjenlægehjælp, Fjern. Pterygium  An",1,194108,19,Ophthalmology service,Flg. Operation Anal.,Operationer Analog.,,"Ophthalmological Assistance, Removal of Pterygium An"
"Øjenlægehjælp, Fjern. Pterygium An.",1,194008,19,Ophthalmology service,Operationer Analog.,Operationer Analog.,,"Eye Care, Remote Pterygium An."
"Øjenlægehjælp, Fjern. Sut. Hornh.An",2,194003,19,Ophthalmology service,Operationer Analog.,Operationer Analog.,,"Ophthalmologic Aid, Removal Sut Hornern An"
"Øjenlægehjælp, Fjern. Sutur. Hornh.",2,193103,19,Ophthalmology service,Flg. Operation,Operationer,,"Eye Care, Removal Sutures Cornea"
"Øjenlægehjælp, Fjern. Tåresækken",1,193011,19,Ophthalmology service,Operationer,Operationer,,"Eye Medical Help, Remote. Eye Examination"
"Øjenlægehjælp, Fjern. Xanthelasm.An",2,194004,19,Ophthalmology service,Operationer Analog.,Operationer Analog.,,"Ophthalmic assistance, Removal Xanthelasma eye"
"Øjenlægehjælp, Fjern. Xanthelasmata",2,193004,19,Ophthalmology service,Operationer,Operationer,,"Eye medical assistance, Removal of xanthelasma"
"Øjenlægehjælp, Fjernelse Af ¯je An.",1,194013,19,Ophthalmology service,Operationer Analog.,Operationer Analog.,,"Eye care, Removal of foreign body from eye."
"Øjenlægehjælp, Fluangiografi",1,193506,19,Ophthalmology service,Operat. og undersøg.,Operationer,,"Eye Medical Help, Fluorescein Angiography"
"Øjenlægehjælp, Fotokoa. Kammerv.A20",1,196120,19,Ophthalmology service,Ov.Yd. Foto.Kammerv.,Overgangsydelser,,"Ophthalmological help, Photocoagulation Chamber V.A20"
"Øjenlægehjælp, Fotokoa.kammervin.Fg",1,193602,19,Ophthalmology service,Følg. operationer,Operationer,,"Eye Help, Photokeratoscopy Camera Visit Follow-up"
"Øjenlægehjælp, Fotokoag. Kammervin.",2,193502,19,Ophthalmology service,Operat. og undersøg.,Operationer,,"Eye Medical Help, Photo Coagulation Retina"
"Øjenlægehjælp, Fundusfoto",3,193505,19,Ophthalmology service,Operat. og undersøg.,Operationer,,"Eye Medical Help, Fundus Photography"
"Øjenlægehjælp, Glaucomvurder. M.v.",1,192003,19,Ophthalmology service,Tillægsydelser,Tillægsydelser,,"Eye Physician Help, Glaucoma Assessment Etc."
"Øjenlægehjælp, Grå Stær 1. Ak. 20",1,196220,19,Ophthalmology service,Ov.Yd. Grå Stær 1.Op,Overgangsydelser,,"Eye care, Glaucoma Screening 1st Episode 20"
"Øjenlægehjælp, Grå Stær 1. Ak. 25",1,196225,19,Ophthalmology service,Ov.Yd. Grå Stær 1.Op,Overgangsydelser,,"Eye Care, Gr St Near 1. Non-Acute 25"
"Øjenlægehjælp, Grå Stær 1. Ak. 30",1,196230,19,Ophthalmology service,Ov.Yd. Grå Stær 1.Op,Overgangsydelser,,"Eye Care, Group Screening 1st Level 30"
"Øjenlægehjælp, Grå Stær 1. Ak. 42",2,196242,19,Ophthalmology service,Ov.Yd. Grå Stær 1.Op,Overgangsydelser,,"Eye Medical Help, Glaucoma Screening 1st Appointment 42"
"Øjenlægehjælp, Grå Stær 1. Ak. 50",1,196250,19,Ophthalmology service,Ov.Yd. Grå Stær 1.Op,Overgangsydelser,,"Eye care, General Ophthalmology 1st Level 50"
"Øjenlægehjælp, Grå Stær 1. Ak. 80",1,196280,19,Ophthalmology service,Ov.Yd. Grå Stær 1.Op,Overgangsydelser,,"Eye Care, Gr St Near 1. Acute 80"
"Øjenlægehjælp, Grå Stær Ak.15",5,196205,19,Ophthalmology service,Ov.Yd. Grå Stær 1.Op,Overgangsydelser,,"Eye doctor assistance, Ear Nose Throat Clinic Ak.15"
"Øjenlægehjælp, Grå Stær Fg. Ak. 42",1,196342,19,Ophthalmology service,Ov.Yd. Grå Stær Fg.,Overgangsydelser,,"Eye care, Department of Ophthalmology Academic 42"
"Øjenlægehjælp, Grå stær",2,196415,19,Ophthalmology service,Ov.Yd. Efterstær 1.,Overgangsydelser,,"Eye Care, Major Assistance"
"Øjenlægehjælp, Grå stær opr. a65",1,195034,19,Ophthalmology service,Ydelser Rammeaftaler,Ydelser Rammeaftaler,,"Ophthalmology Assistance, Group Major Operation a65"
"Øjenlægehjælp, Grå stær, Viborg amt",1,195024,19,Ophthalmology service,Ydelser Rammeaftaler,Ydelser Rammeaftaler,,"Eye Care, Emergency, Viborg County"
"Øjenlægehjælp, Grøn Stær YAG 1. A20",1,196620,19,Ophthalmology service,Ov.Yd. Grøn St.YAG 1,Overgangsydelser,,"Eye Help, Green Solid State YAG Laser 1. A20"
"Øjenlægehjælp, Grøn Stær YAG 1. A30",1,196630,19,Ophthalmology service,Ov.Yd. Grøn St.YAG 1,Overgangsydelser,,"Eye medical assistance, Green Nd:YAG 1. A30"
"Øjenlægehjælp, HRT-II kontrol gr.st",1,195022,19,Ophthalmology service,Ydelser Rammeaftaler,Ydelser Rammeaftaler,,"Ophthalmological assistance, HRT-II control group study"
"Øjenlægehjælp, Indiv. Svagsynsoptik",1,192005,19,Ophthalmology service,Tillægsydelser,Tillægsydelser,,"Eye care assistance, Individual refractive error correction"
"Øjenlægehjælp, Indkaldelse af pt",1,195019,19,Ophthalmology service,Ydelser Rammeaftaler,Ydelser Rammeaftaler,,"Eye doctor assistance, Call out patient"
"Øjenlægehjælp, Ingen tekst tilgængelig",17,192261,19,Ophthalmology service,,,,"Ophthalmology service, (no text available)"
"Øjenlægehjælp, Kons. + tillæg m.fon",1,195018,19,Ophthalmology service,Ydelser Rammeaftaler,Ydelser Rammeaftaler,,"Ophthalmology Help, Consultation and follow-up"
"Øjenlægehjælp, Kons.inkl.fundus a60",1,195112,19,Ophthalmology service,Flg. Ope. Rammeaft.,Ydelser Rammeaftaler,,"Eye doctor assistance, Consultation including fundus a60"
"Øjenlægehjælp, Kørselsgodtgør.  I",1,199001,19,Ophthalmology service,Kørselsgodtgørelse,Kørselsgodtgørelse,,"Eye care, Cross-certification I"
"Øjenlægehjælp, Laserbe. ret. rif.Fg",1,193607,19,Ophthalmology service,Følg. operationer,Operationer,,"Eye care, Laser ret. flap fix."
"Øjenlægehjælp, Laserbeh. ret. rift.",1,193507,19,Ophthalmology service,Operat. og undersøg.,Operationer,,"Eye Doctor Help, Laser Treatment for Retinal Rift"
"Øjenlægehjælp, Nødvendig Assistance",1,192102,19,Ophthalmology service,Tillægsydelser,Tillægsydelser,,"Eye Care Help, Necessary Assistance"
"Øjenlægehjælp, Ope. Indad. ¯jenl.An",2,194107,19,Ophthalmology service,Flg. Operation Anal.,Operationer Analog.,,"Eye Care, Intraocular Eye Surgery AN"
"Øjenlægehjælp, Ope. Indadd. ¯jenlåg",2,193007,19,Ophthalmology service,Operationer,Operationer,,"Eye care assistance, Operative Intraocular Lens Insertion"
"Øjenlægehjælp, Ope. Udad. ¯jenl. An",2,194010,19,Ophthalmology service,Operationer Analog.,Operationer Analog.,,"Eye assistance, Operative Outpatient Eye A"
"Øjenlægehjælp, Ope. Udaddr. ¯jenlåg",2,193010,19,Ophthalmology service,Operationer,Operationer,,"Eye care, Surgical removal of eyelid lesion"
"Øjenlægehjælp, Ope. grå stær m.li.2",1,196414,19,Ophthalmology service,Ov.Yd. Efterstær 1.,Overgangsydelser,,"Ophthalmology Help, Operative Glaucoma with Laser 2"
"Øjenlægehjælp, Ope.Grå Stær m.li.1.",1,195003,19,Ophthalmology service,Ydelser Rammeaftaler,Ydelser Rammeaftaler,,"Eye Care, Open Glaucoma Surgery with 1."
"Øjenlægehjælp, Ope.Grå Stær u.li.1.",1,195008,19,Ophthalmology service,Ydelser Rammeaftaler,Ydelser Rammeaftaler,,"Eye Medical Help, Open.Groin Sterile Unilateral 1."
"Øjenlægehjælp, Ope.grå stær m.li.1",1,196410,19,Ophthalmology service,Ov.Yd. Efterstær 1.,Overgangsydelser,,"Eye Care Help, Operation Great Strabismus Muscle 1"
"Øjenlægehjælp, Ope.grå stær m.li.1.",1,196413,19,Ophthalmology service,Ov.Yd. Efterstær 1.,Overgangsydelser,,"Eye Care Help, Operation Great Strabismus Muscle 1"
"Øjenlægehjælp, Ope.grå stær m.li.b.",1,196412,19,Ophthalmology service,Ov.Yd. Efterstær 1.,Overgangsydelser,,"Ophthalmology Help, Operative Glaucoma with Laser b"
