idx	id	description_da	specialty_en	auto_da_full
756	4016	Præhospital, el.kardiogr. inkl. præcordialafl.	Pre-hospital	Præhospital, el.kardiogr. inkl. præcordialafl.
757	4020	KFA-vagtordning 89, Akutte Tilfælde Ef	KFA on-call service 89	KFA-vagtordning 89, Akutte Tilfælde Ef
758	4021	KFA-vagtordning 89, Anlæg. Af Im.Bandage	KFA on-call service 89	KFA-vagtordning 89, Anlæg. af Im.Bandage
759	4028	KFA-vagtordning 89, Fremmedlegeme Hud Mv	KFA on-call service 89	KFA-vagtordning 89, Fremmedlegeme Hud Mv
760	4029	KFA-vagtordning 89, Fremmedlegeme øj. Mv	KFA on-call service 89	KFA-vagtordning 89, Fremmedlegeme øj. Mv
761	4036	KFA-vagtordning 89, Sindslid. 1. Indlæg	KFA on-call service 89	KFA-vagtordning 89, Sindslid. 1. Indlæg
762	4037	KFA-vagtordning 89, Sindslid. Genindlæg	KFA on-call service 89	KFA-vagtordning 89, Sindslid. Genindlæg
763	4038	KFA-vagtordning 89, Svang.reak.,urinc. 4	KFA on-call service 89	KFA-vagtordning 89, svangre reak,urinc. 4
764	4042	KFA-vagtordning 89, Urin Blod Mv V.stix1	KFA on-call service 89	KFA-vagtordning 89, Urin Blod Mv V.stix1
765	4045	Kirurgi, 1. Kons. M/operat.Mv	Surgery	Kirurgi, 1. konsultation med/operation Mv
766	4050	Kirurgi, Amputat. Finger   1.	Surgery	Kirurgi, Amputat. Finger   1.
767	4051	Kirurgi, Amputat. Finger Flg.	Surgery	Kirurgi, Amputat. Finger følgende
768	4052	Kirurgi, Analoperat. 1. An.	Surgery	Kirurgi, Analoperat. 1. anæstesi
769	4053	Kirurgi, Analoperation. Fg.An	Surgery	Kirurgi, Analoperation. Fg anæstesi
770	4059	Kirurgi, Behandl. Brud 1.	Surgery	Kirurgi, Behandl. Brud 1.
771	4062	Kirurgi, Blodpr. Exp        1	Surgery	Kirurgi, Blodpr. Exp        1
772	4063	Kirurgi, Bougiebeh. Uret.1.An	Surgery	Kirurgi, Bougiebeh. Uret 1 anæstesi
773	4064	Kirurgi, Bougiebeh. Ureth. 1.	Surgery	Kirurgi, Bougiebeh. Ureth. 1.
774	4065	Kirurgi, Bougiebeh. Ureth.Flg	Surgery	Kirurgi, Bougiebeh. Ureth følgende
775	4072	Kirurgi, Dopplerundersøgelse	Surgery	Kirurgi, Dopplerundersøgelse
776	4073	Kirurgi, Dopplerus. af vener	Surgery	Kirurgi, Dopplerus. af vener
777	4074	Kirurgi, Du-Sc af årekpat.A25	Surgery	Kirurgi, Du-Sc af årekpat.A25
778	4076	Kirurgi, Duplexscan. af vener	Surgery	Kirurgi, Duplexscan. af vener
779	4077	Kirurgi, Duplexscanning	Surgery	Kirurgi, Duplexscanning
780	4080	Kirurgi, Fj. Svulst Bry. 1.An	Surgery	Kirurgi, Fj. Svulst Bry. 1 anæstesi
781	4081	Kirurgi, Fj. Svulst Bryst  1.	Surgery	Kirurgi, Fj. Svulst Bryst  1.
782	4082	Kirurgi, Fj. Svulst Bryst Flg	Surgery	Kirurgi, Fj. Svulst Bryst følgende
783	4083	Kirurgi, Fj. byld på haleben	Surgery	Kirurgi, Fj. byld på haleben
784	4084	Kirurgi, Fj. polyp, rectum	Surgery	Kirurgi, Fj. polyp, rectum
785	4085	Kirurgi, Fj.Svulst Bry. Fg.An	Surgery	Kirurgi, Fj.Svulst Bry. Fg anæstesi
786	4089	Kirurgi, Fjer. Svulst H. 1.An	Surgery	Kirurgi, Fjer. Svulst H. 1 anæstesi
787	4090	Kirurgi, Fjer.Svulst H. Fg.An	Surgery	Kirurgi, Fjer.Svulst H. Fg anæstesi
788	4100	Kirurgi, Hæmor. Ligatur Fg.An	Surgery	Kirurgi, Hæmor. Ligatur Fg anæstesi
789	4101	Kirurgi, Hæmorr. Ligatur.1.An	Surgery	Kirurgi, Hæmorr. Ligatur 1 anæstesi
790	4102	Kirurgi, Hæmorr. Ligaturb. 1.	Surgery	Kirurgi, Hæmorr. Ligaturb. 1.
791	4103	Kirurgi, Hæmorr. Ligaturb.Flg	Surgery	Kirurgi, Hæmorr. Ligaturb følgende
792	4104	Kirurgi, Incis. Absces Fg. An	Surgery	Kirurgi, Incis. Absces Fg. anæstesi
793	4105	Kirurgi, Incis. Cyste Flg An.	Surgery	Kirurgi, Incis. Cyste følgende anæstesi
794	4112	Kirurgi, Indgreb Livmoder. 1.	Surgery	Kirurgi, Indgreb Livmoder. 1.
795	4113	Kirurgi, Injekt. Hæmor. Fg.An	Surgery	Kirurgi, Injekt. Hæmor. Fg anæstesi
796	4114	Kirurgi, Injekt. Hæmorr.   1.	Surgery	Kirurgi, Injekt. Hæmorr.   1.
797	4115	Kirurgi, Injekt. Hæmorr. 1.An	Surgery	Kirurgi, Injekt. Hæmorr. 1 anæstesi
798	4116	Kirurgi, Injekt. Hæmorr. Flg.	Surgery	Kirurgi, Injekt. Hæmorr. følgende
799	4117	Kirurgi, Injekt. åre 1.Kons.	Surgery	Kirurgi, Injekt. åre 1 konsultation
800	4118	Kirurgi, Injekt. åre Sen.Kons	Surgery	Kirurgi, Injekt. åre Sen konsultation
801	4126	Kirurgi, Kontrol Sigmoi/ Col.	Surgery	Kirurgi, Kontrol Sigmoi/ Col.
802	4127	Kirurgi, Oeso. Gast.     Duo.	Surgery	Kirurgi, Oeso. Gast.     Duo.
803	4128	Kirurgi, Op. Bullen Fing. Flg	Surgery	Kirurgi, operation Bullen Fing. følgende
804	4130	Kirurgi, Op. Kon. Håndf. 1.An	Surgery	Kirurgi, operation Kon. Håndf. 1 anæstesi
805	4131	Kirurgi, Op. Kont. Håndfl. 1.	Surgery	Kirurgi, operation kontrol Håndfl. 1.
806	4133	Kirurgi, Op. Lyskebrok Fg. An	Surgery	Kirurgi, operation Lyskebrok Fg. anæstesi
807	4135	Kirurgi, Op. Lyskebrok M.V.Fg	Surgery	Kirurgi, operation Lyskebrok med V Fg
808	4137	Kirurgi, Op.årekn.ex.lysk.hø	Surgery	Kirurgi, operation årekn ex lysk hø
809	4139	Kirurgi, Op.årekn.i lysk.hø.b	Surgery	Kirurgi, operation årekn i lysk.hø.b
810	4141	Kirurgi, Ope. Forhudsfor. Flg	Surgery	Kirurgi, operation Forhudsfor. følgende
811	4147	Kirurgi, Ope. Seneknude Fg.An	Surgery	Kirurgi, operation Seneknude Fg anæstesi
812	4148	Kirurgi, Ope. Springf. 1. An.	Surgery	Kirurgi, operation Springf. 1. anæstesi
813	4149	Kirurgi, Ope. Springfinger 1.	Surgery	Kirurgi, operation Springfinger 1.
814	4150	Kirurgi, Ope. åre. Lyske 1.An	Surgery	Kirurgi, operation åre. Lyske 1 anæstesi
815	4151	Kirurgi, Ope. årekn. Lyske 1.	Surgery	Kirurgi, operation årekn. Lyske 1.
816	4152	Kirurgi, Ope. årekn. Lyske Fg	Surgery	Kirurgi, operation årekn. Lyske Fg
817	4153	Kirurgi, Oper. Bullen Fing.1.	Surgery	Kirurgi, Oper. Bullen Fing.1.
818	4154	Kirurgi, Oper. Forhudsf. 1.An	Surgery	Kirurgi, Oper. Forhudsf. 1 anæstesi
819	4155	Kirurgi, Oper. Forhudsfors.1.	Surgery	Kirurgi, Oper. Forhudsfors.1.
820	4156	Kirurgi, Oper. Seneknude   1.	Surgery	Kirurgi, Oper. Seneknude   1.
821	4157	Kirurgi, Oper. Springf. Flg.	Surgery	Kirurgi, Oper. Springf. følgende
822	4160	Kirurgi, Operat. åreknud. Flg	Surgery	Kirurgi, operation åreknud. følgende
823	4162	Kirurgi, Opr. brystudvikling	Surgery	Kirurgi, Opr. brystudvikling
824	4163	Kirurgi, Opr. lyskebrok amt35	Surgery	Kirurgi, Opr. lyskebrok amt35
825	4165	Kirurgi, Oscillometri *2 Ex*6	Surgery	Kirurgi, Oscillometri *2 Ex*6
826	4166	Kirurgi, Plast. Oper. Flg. An	Surgery	Kirurgi, Plast. Oper. følgende anæstesi
827	4167	Kirurgi, Plast. Operat.    1.	Surgery	Kirurgi, Plast. operation    1.
828	4168	Kirurgi, Plast. Operat.  Flg.	Surgery	Kirurgi, Plast. operation  følgende
829	4169	Kirurgi, Plast. Operat. 1. An	Surgery	Kirurgi, Plast. operation 1. anæstesi
830	4174	Kirurgi, Rensning Småsår   1.	Surgery	Kirurgi, Rensning Småsår   1.
831	4175	Kirurgi, Rensning Småsår Flg.	Surgery	Kirurgi, Rensning Småsår følgende
832	4180	Kirurgi, Revision Sår Fg. An	Surgery	Kirurgi, Revision Sår Fg. anæstesi
833	4181	Kirurgi, Ritu. omskær.  2 A13	Surgery	Kirurgi, Ritu. omskær.  2 A13
834	4182	Kirurgi, Sekret-Gonokok*exp*1	Surgery	Kirurgi, Sekret-Gonokok*exp*1
835	4186	Kirurgi, Sigmoideo./ Colosco.	Surgery	Kirurgi, Sigmoideo./ Colosco.
836	4189	Kirurgi, Sterilisat. af mand	Surgery	Kirurgi, Sterilisat. af mand
837	4190	Kirurgi, Tapn. Vandbrok 1. An	Surgery	Kirurgi, Tapn. Vandbrok 1. anæstesi
838	4191	Kirurgi, Tapn. i Led     Flg.	Surgery	Kirurgi, Tapn. i led     følgende
839	4192	Kirurgi, Tapn. i Led 1. An.	Surgery	Kirurgi, Tapn. i led 1. anæstesi
840	4193	Kirurgi, Tapning Vandbrok  1.	Surgery	Kirurgi, Tapning Vandbrok  1.
841	4194	Kirurgi, Tapning Vandbrok Flg	Surgery	Kirurgi, Tapning Vandbrok følgende
842	4198	Kirurgi, Tlf.rådg.prakt.læge	Surgery	Kirurgi, telefon rådg prakt læge
843	4199	Kirurgi, Tolk ifm. kons.  3	Surgery	Kirurgi, Tolk ifm. konsultation  3
844	4202	Kirurgi, Tryk-flow undersøg.	Surgery	Kirurgi, Tryk-flow undersøg.
845	4203	Kirurgi, U-Bakt.*dyrk Rest*12	Surgery	Kirurgi, U-Bakt.*dyrk Rest*12
846	4208	Kirurgi, Ultralyd.sc.øv.abdom	Surgery	Kirurgi, Ultralyd.sc.øv.abdom
847	4217	Kirurgi, fj. polyp. colon	Surgery	Kirurgi, fj. polyp. colon
848	4224	Kirurgi, sigmo. a35	Surgery	Kirurgi, sigmo. a35
