# id	da_full	en	confidence	residual
166	Øjenlægehjælp, Fundusfoto	Ophthalmology service, Fundusfoto	high	
167	Øjenlægehjælp, Glaucomvurder. mv	Ophthalmology service, Glaucomvurder. etc.	low	Y
168	Øjenlægehjælp, Grå Stær 1. Ak. 20	Ophthalmology service, Cataract 1. ak. 20	low	Y
169	Øjenlægehjælp, Grå Stær 1. Ak. 25	Ophthalmology service, Cataract 1. ak. 25	low	Y
170	Øjenlægehjælp, Grå Stær 1. Ak. 30	Ophthalmology service, Cataract 1. ak. 30	low	Y
171	Øjenlægehjælp, Grå Stær 1. Ak. 42	Ophthalmology service, Cataract 1. ak. 42	low	Y
172	Øjenlægehjælp, Grå Stær 1. Ak. 50	Ophthalmology service, Cataract 1. ak. 50	low	Y
173	Øjenlægehjælp, Grå Stær 1. Ak. 80	Ophthalmology service, Cataract 1. ak. 80	low	Y
174	Øjenlægehjælp, Grå Stær Ak.15	Ophthalmology service, Cataract ak.15	high	
175	Øjenlægehjælp, Grå Stær Fg. Ak. 42	Ophthalmology service, Cataract fg. ak. 42	low	Y
176	Øjenlægehjælp, Grå stær	Ophthalmology service, Cataract	high	
177	Øjenlægehjælp, Grå stær opr. a65	Ophthalmology service, Cataract opr. a65	low	Y
178	Øjenlægehjælp, Grå stær, Viborg amt	Ophthalmology service, Cataract, viborg amt	high	
179	Øjenlægehjælp, Grøn Stær YAG 1. A20	Ophthalmology service, Glaucoma yag 1. a20	high	
180	Øjenlægehjælp, Grøn Stær YAG 1. A30	Ophthalmology service, Glaucoma yag 1. a30	high	
181	Øjenlægehjælp, HRT-II kontrol gr.st	Ophthalmology service, Hrt-ii follow-up gr.st	high	
182	Øjenlægehjælp, individuel Svagsynsoptik	Ophthalmology service, Individual svagsynsoptik	high	
183	Øjenlægehjælp, Indkaldelse af pt	Ophthalmology service, Indkaldelse of pt	low	Y
184	Øjenlægehjælp, Ingen tekst tilgængelig	Ophthalmology service, No text available	high	
185	Øjenlægehjælp, konsultation + tillæg med fon	Ophthalmology service, Consultation + supplement with fon	high	
186	Øjenlægehjælp, konsultation inkl fundus a60	Ophthalmology service, Consultation incl. fundus a60	low	Y
187	Øjenlægehjælp, Kørselsgodtgør.  i	Ophthalmology service, Mileage allowance. in	low	Y
188	Øjenlægehjælp, Laserbe. ret. rif.Fg	Ophthalmology service, Laserbe. ret. rif.fg	low	Y
189	Øjenlægehjælp, Laserbeh. ret. rift.	Ophthalmology service, Laserbeh. ret. rift.	low	Y
190	Øjenlægehjælp, Nødvendig Assistance	Ophthalmology service, Necessary assistance	high	
191	Øjenlægehjælp, operation Indad. øjenl anæstesi	Ophthalmology service, Operation indad. øjenl anaesthesia	low	Y
192	Øjenlægehjælp, operation Indadd. øjenlåg	Ophthalmology service, Operation indadd. eyelid	low	Y
193	Øjenlægehjælp, operation Udad. øjenl. anæstesi	Ophthalmology service, Operation udad. øjenl. anaesthesia	low	Y
194	Øjenlægehjælp, operation Udaddr. øjenlåg	Ophthalmology service, Operation udaddr. eyelid	low	Y
195	Øjenlægehjælp, operation grå stær med linse 2	Ophthalmology service, Operation cataract with lens 2	high	
196	Øjenlægehjælp, operation Grå Stær med linse 1	Ophthalmology service, Operation cataract with lens 1	high	
197	Øjenlægehjælp, operation Grå Stær uden linse 1	Ophthalmology service, Operation cataract without lens 1	high	
198	Øjenlægehjælp, operation grå stær med linse 1	Ophthalmology service, Operation cataract with lens 1	high	
199	Øjenlægehjælp, operation grå stær med linse 1	Ophthalmology service, Operation cataract with lens 1	high	
200	Øjenlægehjælp, operation grå stær med linse b	Ophthalmology service, Operation cataract with lens b	high	
201	Øjenlægehjælp, Oper. Blefarokal. anæstesi	Ophthalmology service, Operation. blefarokal. anaesthesia	low	Y
202	Øjenlægehjælp, Oper. Blefarokalasis	Ophthalmology service, Operation. blefarokalasis	low	Y
203	Øjenlægehjælp, Oper. grå stær/B042	Ophthalmology service, Operation. cataract/b042	low	Y
204	Øjenlægehjælp, operation F. Chalaz anæstesi	Ophthalmology service, Operation f. chalaz anaesthesia	high	
205	Øjenlægehjælp, operation F. Chalazion	Ophthalmology service, Operation f. chalazion	high	
206	Øjenlægehjælp, Opr. grå stær A30	Ophthalmology service, Opr. cataract a30	low	Y
207	Øjenlægehjælp, Opr. grå stær A76	Ophthalmology service, Opr. cataract a76	low	Y
208	Øjenlægehjælp, Opr. grå stær Amt76	Ophthalmology service, Opr. cataract amt76	low	Y
209	Øjenlægehjælp, Opr. gråstær A15	Ophthalmology service, Opr. cataract a15	low	Y
210	Øjenlægehjælp, Opr.for gråstær/B035	Ophthalmology service, Opr.for cataract/b035	high	
211	Øjenlægehjælp, Ortoptisk Vurd. mv	Ophthalmology service, Ortoptisk vurd. etc.	low	Y
212	Øjenlægehjælp, Pachymetri	Ophthalmology service, Pachymetri	high	
213	Øjenlægehjælp, Retin Fotokoagulat.	Ophthalmology service, Retin fotokoagulat.	low	Y
214	Øjenlægehjælp, Retin. Fotokoagulat.	Ophthalmology service, Retin. fotokoagulat.	low	Y
215	Øjenlægehjælp, Retin.fotokoagul. Fg	Ophthalmology service, Retin.fotokoagul. fg	low	Y
216	Øjenlægehjælp, Retinal fotokoagula	Ophthalmology service, Retinal fotokoagula	high	
217	Øjenlægehjælp, Senere Konsultation	Ophthalmology service, Later consultation	high	
218	Øjenlægehjælp, Skeleoperation	Ophthalmology service, Strabismus operation	high	
219	Øjenlægehjælp, Skeleoperation  anæstesi	Ophthalmology service, Strabismus operation anaesthesia	high	
220	Øjenlægehjælp, Skeleoperation anæstesi	Ophthalmology service, Strabismus operation anaesthesia	high	
221	Øjenlægehjælp, Sonder. Tåreveje	Ophthalmology service, Sonder. tear ducts	low	Y
222	Øjenlægehjælp, Sonder. Tåreveje anæstesi	Ophthalmology service, Sonder. tear ducts anaesthesia	low	Y
223	Øjenlægehjælp, Sonder. Tåreveje anæstesi	Ophthalmology service, Sonder. tear ducts anaesthesia	low	Y
224	Øjenlægehjælp, Sub. Injek. og blokade anæstesi	Ophthalmology service, Sub. injek. and block anaesthesia	low	Y
225	Øjenlægehjælp, Sub. Injek. og Blok.	Ophthalmology service, Sub. injek. and blok.	low	Y
226	Øjenlægehjælp, Særlig stæropr/B013	Ophthalmology service, Special cataract operation/b013	high	
227	Øjenlægehjælp, Telefonkonsultation	Ophthalmology service, Telephone consultation	high	
228	Øjenlægehjælp, Tolk ifm. konsultation  3	Ophthalmology service, Interpreter in connection with. consultation 3	low	Y
229	Øjenlægehjælp, undersøgelse diab.komp. amt60	Ophthalmology service, Examination diab.komp. amt60	high	
230	Øjenlægehjælp, Ventel.grå stær/B015	Ophthalmology service, Ventel.cataract/b015	high	
231	Øjenlægehjælp, YAGlaser følg.opera.	Ophthalmology service, YAG laser følg.opera.	low	Y
232	Øjenlægehjælp, Ydelser Rammeaftaler	Ophthalmology service, Ydelser rammeaftaler	high	
233	Øjenlægehjælp, grå stær opr. a76	Ophthalmology service, Cataract opr. a76	low	Y
234	Øjenlægehjælp, indber.screen.diab.	Ophthalmology service, Indber.screen.diab.	high	
235	Øjenlægehjælp, konsultation tillægsyd uden fon	Ophthalmology service, Consultation supplementary service without fon	high	
236	Øjenlægehjælp, opr gråstær i/forund	Ophthalmology service, Opr cataract in/forund	high	
237	Øjenlægehjælp, opr. blefarokalasis	Ophthalmology service, Opr. blefarokalasis	low	Y
238	Øjenlægehjælp, opr.grå st.indl.intr	Ophthalmology service, Opr.grå st.indl.intr	low	Y
239	Øjenlægehjælp, tillæg tolkebistand	Ophthalmology service, Supplement interpreter assistance	high	
240	Øjenlægehjælp, telefon rådg prakt læge	Ophthalmology service, Telephone rådg prakt doctor	low	Y
241	Øjenlægehjælp, tolkebistand	Ophthalmology service, Interpreter assistance	high	
242	Øjenlægehjælp, ukendt	Ophthalmology service, Ukendt	high	
243	Øjenlægehjælp, viktrektomi og neth.	Ophthalmology service, Viktrektomi and neth.	low	Y
244	Øjenlægehjælp, ¤ 3 grå stær SST A	Ophthalmology service, ¤ 3 cataract sst a	high	
245	Ortopædisk Kirurgi, Ingen tekst tilgængelig	Orthopaedic surgery, No text available	high	
246	Ortopædisk kirurgi, (procedure not documented)	Orthopaedic surgery, (procedure not documented)	low	
247	Ortopædisk kirurgi, 1. konsultation	Orthopaedic surgery, 1. consultation	high	
248	Ortopædisk kirurgi, 1. konsultation med/operation Mv	Orthopaedic surgery, 1. consultation with/operation etc.	low	Y
249	Ortopædisk kirurgi, 2. konsultation	Orthopaedic surgery, 2. consultation	high	
250	Ortopædisk kirurgi, Afstandstillæg	Orthopaedic surgery, Distance supplement	high	
251	Ortopædisk kirurgi, Amput. Finger 1. anæstesi	Orthopaedic surgery, Amput. finger 1. anaesthesia	low	Y
252	Ortopædisk kirurgi, Amputat. Finger   1.	Orthopaedic surgery, Amputat. finger 1.	low	Y
253	Ortopædisk kirurgi, Amputat. Finger følgende	Orthopaedic surgery, Amputat. finger subsequent	low	Y
254	Ortopædisk kirurgi, Art knæ min følgende operation	Orthopaedic surgery, Art knee min subsequent operation	high	
255	Ortopædisk kirurgi, Art knæ stør følgende operation	Orthopaedic surgery, Art knee stør subsequent operation	low	Y
256	Ortopædisk kirurgi, Artr. Fingerl. Fg anæstesi	Orthopaedic surgery, Artr. fingerl. fg anaesthesia	low	Y
257	Ortopædisk kirurgi, Artro knæ mindre ind	Orthopaedic surgery, Artro knee mindre ind	high	
258	Ortopædisk kirurgi, Artro knæ/st.indgreb	Orthopaedic surgery, Artro knee/st.indgreb	high	
259	Ortopædisk kirurgi, Artro. Fingerl. 1 anæstesi	Orthopaedic surgery, Artro. fingerl. 1 anaesthesia	low	Y
260	Ortopædisk kirurgi, Artrod. Fingerl.  1.	Orthopaedic surgery, Artrod. fingerl. 1.	low	Y
261	Ortopædisk kirurgi, Artrod. Fingerl. følgende	Orthopaedic surgery, Artrod. fingerl. subsequent	low	Y
262	Ortopædisk kirurgi, Behandl. Brud 1.	Orthopaedic surgery, Behandl. brud 1.	low	Y
263	Ortopædisk kirurgi, Behandl. Brud 1. anæstesi	Orthopaedic surgery, Behandl. brud 1. anaesthesia	low	Y
264	Ortopædisk kirurgi, Behandl. Brud Fg. anæstesi	Orthopaedic surgery, Behandl. brud fg. anaesthesia	low	Y
265	Ortopædisk kirurgi, Behandl. Brud følgende	Orthopaedic surgery, Behandl. brud subsequent	low	Y
266	Ortopædisk kirurgi, Besøg	Orthopaedic surgery, Visit	high	
267	Ortopædisk kirurgi, Biopsi	Orthopaedic surgery, Biopsy	high	
268	Ortopædisk kirurgi, Diag. Artro. med operation	Orthopaedic surgery, Diag. artro. with operation	low	Y
269	Ortopædisk kirurgi, diagnostisk Artroscopi	Orthopaedic surgery, Diagnostic artroscopi	high	
270	Ortopædisk kirurgi, Doppler	Orthopaedic surgery, Doppler	high	
271	Ortopædisk kirurgi, Dopplerus. af vener	Orthopaedic surgery, Dopplerus. of vener	low	Y
272	Ortopædisk kirurgi, Duplexscan. af vener	Orthopaedic surgery, Duplexscan. of vener	low	Y
273	Ortopædisk kirurgi, Dupuytren	Orthopaedic surgery, Dupuytren	high	
274	Ortopædisk kirurgi, Dupuytren følgende operation	Orthopaedic surgery, Dupuytren subsequent operation	high	
275	Ortopædisk kirurgi, E-mail konsultation	Orthopaedic surgery, E-mail consultation	high	
276	Ortopædisk kirurgi, Fj. Svulst H. Fg. anæstesi	Orthopaedic surgery, Removal. svulst h. fg. anaesthesia	low	Y
277	Ortopædisk kirurgi, Fj. af svulst i musk	Orthopaedic surgery, Removal. of svulst in musk	low	Y
278	Ortopædisk kirurgi, Fj.svusl musk følgende operation	Orthopaedic surgery, Removal.svusl musk subsequent operation	high	
279	Ortopædisk kirurgi, Fjer. Spoleb. Fg. anæstesi	Orthopaedic surgery, Fjer. spoleb. fg. anaesthesia	low	Y
280	Ortopædisk kirurgi, Fjer. Svulst H. 1 anæstesi	Orthopaedic surgery, Fjer. svulst h. 1 anaesthesia	low	Y
281	Ortopædisk kirurgi, fjernelse Negl       1.	Orthopaedic surgery, Removal negl 1.	high	
282	Ortopædisk kirurgi, fjernelse Negl     følgende	Orthopaedic surgery, Removal negl subsequent	high	
283	Ortopædisk kirurgi, fjernelse Neglel. 1. anæstesi	Orthopaedic surgery, Removal neglel. 1. anaesthesia	low	Y
284	Ortopædisk kirurgi, fjernelse Negleleje  1.	Orthopaedic surgery, Removal negleleje 1.	high	
285	Ortopædisk kirurgi, fjernelse Negleleje følgende	Orthopaedic surgery, Removal negleleje subsequent	high	
286	Ortopædisk kirurgi, fjernelse Spoleb. 1. anæstesi	Orthopaedic surgery, Removal spoleb. 1. anaesthesia	low	Y
287	Ortopædisk kirurgi, fjernelse Spoleben.  1.	Orthopaedic surgery, Removal spoleben. 1.	low	Y
288	Ortopædisk kirurgi, fjernelse Spoleben følgende	Orthopaedic surgery, Removal spoleben subsequent	high	
289	Ortopædisk kirurgi, fjernelse Svulst Hud 1.	Orthopaedic surgery, Removal svulst hud 1.	high	
290	Ortopædisk kirurgi, fjernelse Svulst Hud Fg	Orthopaedic surgery, Removal svulst hud fg	low	Y
291	Ortopædisk kirurgi, Gips ifm. operation	Orthopaedic surgery, Gips in connection with. operation	low	Y
292	Ortopædisk kirurgi, Gipsbandager	Orthopaedic surgery, Gipsbandager	high	
293	Ortopædisk kirurgi, Injekt. åre 1 konsultation	Orthopaedic surgery, Injection. vein 1 consultation	low	Y
294	Ortopædisk kirurgi, Injekt. åre Sen konsultation	Orthopaedic surgery, Injection. vein sen consultation	low	Y
295	Ortopædisk kirurgi, Intra-artikul.injek.	Orthopaedic surgery, Intra-artikul.injek.	high	
296	Ortopædisk kirurgi, Knogleforskyd følgende operation	Orthopaedic surgery, Knogleforskyd subsequent operation	high	
